first_name,last_name,state,party,handle
Sherrod,Brown,OH,Democrat,SenSherrodBrown
Maria,Cantwell,WA,Democrat,SenatorCantwell
Benjamin,Cardin,MD,Democrat,SenatorCardin
Thomas,Carper,DE,Democrat,SenatorCarper
Robert,Casey,PA,Democrat,SenBobCasey
Dianne,Feinstein,CA,Democrat,SenFeinstein
Amy,Klobuchar,MN,Democrat,SenAmyKlobuchar
Robert,Menendez,NJ,Democrat,SenatorMenendez
Debbie,Stabenow,MI,Democrat,SenStabenow
Jon,Tester,MT,Democrat,SenatorTester
Sheldon,Whitehouse,RI,Democrat,SenWhitehouse
John,Barrasso,WY,Republican,SenJohnBarrasso
Roger,Wicker,MS,Republican,SenatorWicker
Susan,Collins,ME,Republican,SenatorCollins
John,Cornyn,TX,Republican,JohnCornyn
Richard,Durbin,IL,Democrat,SenatorDurbin
Lindsey,Graham,SC,Republican,GrahamBlog
James,Inhofe,OK,Republican,JimInhofe
Mitch,McConnell,KY,Republican,McConnellPress
Jeff,Merkley,OR,Democrat,SenJeffMerkley
John,Reed,RI,Democrat,SenJackReed
James,Risch,ID,Republican,SenatorRisch
Jeanne,Shaheen,NH,Democrat,SenatorShaheen
Mark,Warner,VA,Democrat,MarkWarner
Kirsten,Gillibrand,NY,Democrat,GillibrandNY
Christopher,Coons,DE,Democrat,ChrisCoons
Joe,Manchin,WV,Democrat,Sen_JoeManchin
Robert,Aderholt,AL,Republican,Robert_Aderholt
Tammy,Baldwin,WI,Democrat,SenatorBaldwin
Karen,Bass,CA,Democrat,RepKarenBass
Michael,Bennet,CO,Democrat,SenatorBennet
Gus,Bilirakis,FL,Republican,RepGusBilirakis
Sanford,Bishop,GA,Democrat,SanfordBishop
Marsha,Blackburn,TN,Republican,MarshaBlackburn
Earl,Blumenauer,OR,Democrat,BlumenauerMedia
Richard,Blumenthal,CT,Democrat,SenBlumenthal
Roy,Blunt,MO,Republican,RoyBlunt
John,Boozman,AR,Republican,JohnBoozman
Kevin,Brady,TX,Republican,RepKevinBrady
Mo,Brooks,AL,Republican,RepMoBrooks
Vern,Buchanan,FL,Republican,VernBuchanan
Larry,Bucshon,IN,Republican,RepLarryBucshon
Michael,Burgess,TX,Republican,MichaelCBurgess
Richard,Burr,NC,Republican,SenatorBurr
George,Butterfield,NC,Democrat,GKButterfield
Ken,Calvert,CA,Republican,KenCalvert
Shelley,Capito,WV,Republican,SenCapito
André,Carson,IN,Democrat,RepAndreCarson
John,Carter,TX,Republican,JudgeCarter
Bill,Cassidy,LA,Republican,SenBillCassidy
Kathy,Castor,FL,Democrat,USRepKCastor
Steve,Chabot,OH,Republican,RepSteveChabot
Judy,Chu,CA,Democrat,RepJudyChu
David,Cicilline,RI,Democrat,RepCicilline
Yvette,Clarke,NY,Democrat,RepYvetteClarke
Emanuel,Cleaver,MO,Democrat,RepCleaver
James,Clyburn,SC,Democrat,WhipClyburn
Steve,Cohen,TN,Democrat,RepCohen
Tom,Cole,OK,Republican,TomColeOK04
Gerald,Connolly,VA,Democrat,GerryConnolly
Jim,Cooper,TN,Democrat,RepJimCooper
Jim,Costa,CA,Democrat,RepJimCosta
Joe,Courtney,CT,Democrat,RepJoeCourtney
Michael,Crapo,ID,Republican,MikeCrapo
Eric,Crawford,AR,Republican,RepRickCrawford
Henry,Cuellar,TX,Democrat,RepCuellar
Danny,Davis,IL,Democrat,RepDannyDavis
Peter,DeFazio,OR,Democrat,RepPeterDeFazio
Diana,DeGette,CO,Democrat,RepDianaDeGette
Rosa,DeLauro,CT,Democrat,RosaDeLauro
Scott,DesJarlais,TN,Republican,DesJarlaisTN04
Theodore,Deutch,FL,Democrat,RepTedDeutch
Mario,Diaz-Balart,FL,Republican,MarioDB
Lloyd,Doggett,TX,Democrat,RepLloydDoggett
Michael,Doyle,PA,Democrat,USRepMikeDoyle
Jeff,Duncan,SC,Republican,RepJeffDuncan
Anna,Eshoo,CA,Democrat,RepAnnaEshoo
Charles,Fleischmann,TN,Republican,RepChuck
Virginia,Foxx,NC,Republican,VirginiaFoxx
John,Garamendi,CA,Democrat,RepGaramendi
Bob,Gibbs,OH,Republican,RepBobGibbs
Louie,Gohmert,TX,Republican,RepLouieGohmert
Paul,Gosar,AZ,Republican,RepGosar
Kay,Granger,TX,Republican,RepKayGranger
Charles,Grassley,IA,Republican,ChuckGrassley
Sam,Graves,MO,Republican,RepSamGraves
Al,Green,TX,Democrat,RepAlGreen
H.,Griffith,VA,Republican,RepMGriffith
Raúl,Grijalva,AZ,Democrat,RepRaulGrijalva
Brett,Guthrie,KY,Republican,RepGuthrie
Andy,Harris,MD,Republican,RepAndyHarrisMD
Vicky,Hartzler,MO,Republican,RepHartzler
Martin,Heinrich,NM,Democrat,MartinHeinrich
Jaime,Herrera Beutler,WA,Republican,HerreraBeutler
Brian,Higgins,NY,Democrat,RepBrianHiggins
James,Himes,CT,Democrat,JAHimes
Mazie,Hirono,HI,Democrat,MazieHirono
John,Hoeven,ND,Republican,SenJohnHoeven
Steny,Hoyer,MD,Democrat,LeaderHoyer
Bill,Huizenga,MI,Republican,RepHuizenga
Sheila,Jackson Lee,TX,Democrat,JacksonLeeTX18
Bill,Johnson,OH,Republican,RepBillJohnson
Eddie,Johnson,TX,Democrat,RepEBJ
Henry,Johnson,GA,Democrat,RepHankJohnson
Ron,Johnson,WI,Republican,SenRonJohnson
Jim,Jordan,OH,Republican,Jim_Jordan
Marcy,Kaptur,OH,Democrat,RepMarcyKaptur
William,Keating,MA,Democrat,USRepKeating
Mike,Kelly,PA,Republican,MikeKellyPA
Ron,Kind,WI,Democrat,RepRonKind
Adam,Kinzinger,IL,Republican,RepKinzinger
Doug,Lamborn,CO,Republican,RepDLamborn
James,Langevin,RI,Democrat,JimLangevin
James,Lankford,OK,Republican,SenatorLankford
Rick,Larsen,WA,Democrat,RepRickLarsen
John,Larson,CT,Democrat,RepJohnLarson
Robert,Latta,OH,Republican,BobLatta
Patrick,Leahy,VT,Democrat,SenatorLeahy
Barbara,Lee,CA,Democrat,RepBarbaraLee
Mike,Lee,UT,Republican,SenMikeLee
Zoe,Lofgren,CA,Democrat,RepZoeLofgren
Billy,Long,MO,Republican,USRepLong
Frank,Lucas,OK,Republican,RepFrankLucas
Blaine,Luetkemeyer,MO,Republican,RepBlaine
Ben,Luján,NM,Democrat,SenatorLujan
Stephen,Lynch,MA,Democrat,RepStephenLynch
Carolyn,Maloney,NY,Democrat,RepMaloney
Edward,Markey,MA,Democrat,SenMarkey
Doris,Matsui,CA,Democrat,DorisMatsui
Kevin,McCarthy,CA,Republican,GOPLeader
Michael,McCaul,TX,Republican,RepMcCaul
Tom,McClintock,CA,Republican,RepMcClintock
Betty,McCollum,MN,Democrat,BettyMcCollum04
James,McGovern,MA,Democrat,RepMcGovern
Patrick,McHenry,NC,Republican,PatrickMcHenry
David,McKinley,WV,Republican,RepMcKinley
Cathy,Rodgers,WA,Republican,CathyMcMorris
Jerry,McNerney,CA,Democrat,RepMcNerney
Gregory,Meeks,NY,Democrat,RepGregoryMeeks
Gwen,Moore,WI,Democrat,RepGwenMoore
Jerry,Moran,KS,Republican,JerryMoran
Lisa,Murkowski,AK,Republican,LisaMurkowski
Christopher,Murphy,CT,Democrat,SenMurphyOffice
Patty,Murray,WA,Democrat,PattyMurray
Jerrold,Nadler,NY,Democrat,RepJerryNadler
Grace,Napolitano,CA,Democrat,GraceNapolitano
Richard,Neal,MA,Democrat,RepRichardNeal
Eleanor,Norton,DC,Democrat,EleanorNorton
Steven,Palazzo,MS,Republican,CongPalazzo
Frank,Pallone,NJ,Democrat,FrankPallone
Bill,Pascrell,NJ,Democrat,BillPascrell
Rand,Paul,KY,Republican,SenRandPaul
Nancy,Pelosi,CA,Democrat,SpeakerPelosi
Ed,Perlmutter,CO,Democrat,RepPerlmutter
Gary,Peters,MI,Democrat,SenGaryPeters
Chellie,Pingree,ME,Democrat,ChelliePingree
Robert,Portman,OH,Republican,SenRobPortman
Bill,Posey,FL,Republican,CongBillPosey
David,Price,NC,Democrat,RepDavidEPrice
Mike,Quigley,IL,Democrat,RepMikeQuigley
Harold,Rogers,KY,Republican,RepHalRogers
Mike,Rogers,AL,Republican,RepMikeRogersAL
Lucille,Roybal-Allard,CA,Democrat,RepRoybalAllard
Marco,Rubio,FL,Republican,SenRubioPress
C.,Ruppersberger,MD,Democrat,Call_Me_Dutch
Bobby,Rush,IL,Democrat,RepBobbyRush
Tim,Ryan,OH,Democrat,RepTimRyan
Gregorio,Sablan,MP,Democrat,Kilili_Sablan
John,Sarbanes,MD,Democrat,RepSarbanes
Steve,Scalise,LA,Republican,SteveScalise
Janice,Schakowsky,IL,Democrat,JanSchakowsky
Adam,Schiff,CA,Democrat,RepAdamSchiff
Kurt,Schrader,OR,Democrat,RepSchrader
Charles,Schumer,NY,Democrat,SenSchumer
David,Schweikert,AZ,Republican,RepDavid
Austin,Scott,GA,Republican,AustinScottGA08
David,Scott,GA,Democrat,RepDavidScott
Robert,Scott,VA,Democrat,BobbyScott
Tim,Scott,SC,Republican,SenatorTimScott
Terri,Sewell,AL,Democrat,RepTerriSewell
Richard,Shelby,AL,Republican,SenShelby
Brad,Sherman,CA,Democrat,BradSherman
Michael,Simpson,ID,Republican,CongMikeSimpson
Albio,Sires,NJ,Democrat,RepSires
Adam,Smith,WA,Democrat,RepAdamSmith
Adrian,Smith,NE,Republican,RepAdrianSmith
Jackie,Speier,CA,Democrat,RepSpeier
Linda,Sánchez,CA,Democrat,RepLindaSanchez
Bennie,Thompson,MS,Democrat,BennieGThompson
Mike,Thompson,CA,Democrat,RepThompson
Glenn,Thompson,PA,Republican,CongressmanGT
John,Thune,SD,Republican,SenJohnThune
Paul,Tonko,NY,Democrat,RepPaulTonko
Patrick,Toomey,PA,Republican,SenToomey
Michael,Turner,OH,Republican,RepMikeTurner
Fred,Upton,MI,Republican,RepFredUpton
Chris,Van Hollen,MD,Democrat,ChrisVanHollen
Nydia,Velázquez,NY,Democrat,NydiaVelazquez
Tim,Walberg,MI,Republican,RepWalberg
Debbie,Wasserman Schultz,FL,Democrat,RepDWStweets
Maxine,Waters,CA,Democrat,RepMaxineWaters
Daniel,Webster,FL,Republican,RepWebster
Peter,Welch,VT,Democrat,PeterWelch
Joe,Wilson,SC,Republican,RepJoeWilson
Frederica,Wilson,FL,Democrat,RepWilson
Robert,Wittman,VA,Republican,RobWittman
Steve,Womack,AR,Republican,Rep_SteveWomack
Ron,Wyden,OR,Democrat,RonWyden
John,Yarmuth,KY,Democrat,RepJohnYarmuth
Todd,Young,IN,Republican,SenToddYoung
Mark,Amodei,NV,Republican,MarkAmodeiNV2
Suzanne,Bonamici,OR,Democrat,RepBonamici
Suzan,DelBene,WA,Democrat,RepDelBene
Thomas,Massie,KY,Republican,RepThomasMassie
Donald,Payne,NJ,Democrat,RepDonaldPayne
Brian,Schatz,HI,Democrat,SenBrianSchatz
Bill,Foster,IL,Democrat,RepBillFoster
Dina,Titus,NV,Democrat,RepDinaTitus
Tom,Cotton,AR,Republican,SenTomCotton
Kyrsten,Sinema,AZ,Democrat,SenatorSinema
Doug,LaMalfa,CA,Republican,RepLaMalfa
Jared,Huffman,CA,Democrat,RepHuffman
Ami,Bera,CA,Democrat,RepBera
Eric,Swalwell,CA,Democrat,RepSwalwell
Julia,Brownley,CA,Democrat,RepBrownley
Tony,Cárdenas,CA,Democrat,RepCardenas
Raul,Ruiz,CA,Democrat,RepRaulRuizMD
Mark,Takano,CA,Democrat,RepMarkTakano
Alan,Lowenthal,CA,Democrat,RepLowenthal
Juan,Vargas,CA,Democrat,RepJuanVargas
Scott,Peters,CA,Democrat,RepScottPeters
Lois,Frankel,FL,Democrat,RepLoisFrankel
Tammy,Duckworth,IL,Democrat,SenDuckworth
Rodney,Davis,IL,Republican,RodneyDavis
Cheri,Bustos,IL,Democrat,RepCheri
Jackie,Walorski,IN,Republican,RepWalorski
Garland,Barr,KY,Republican,RepAndyBarr
Elizabeth,Warren,MA,Democrat,SenWarren
Daniel,Kildee,MI,Democrat,RepDanKildee
Ann,Wagner,MO,Republican,RepAnnWagner
Steve,Daines,MT,Republican,SteveDaines
Richard,Hudson,NC,Republican,RepRichHudson
Kevin,Cramer,ND,Republican,SenKevinCramer
Deb,Fischer,NE,Republican,SenatorFischer
Ann,Kuster,NH,Democrat,RepAnnieKuster
Grace,Meng,NY,Democrat,RepGraceMeng
Hakeem,Jeffries,NY,Democrat,RepJeffries
Sean,Maloney,NY,Democrat,RepSeanMaloney
Brad,Wenstrup,OH,Republican,RepBradWenstrup
Joyce,Beatty,OH,Democrat,RepBeatty
David,Joyce,OH,Republican,RepDaveJoyce
Markwayne,Mullin,OK,Republican,RepMullin
Scott,Perry,PA,Republican,RepScottPerry
Matthew,Cartwright,PA,Democrat,RepCartwright
Tom,Rice,SC,Republican,RepTomRice
Ted,Cruz,TX,Republican,SenTedCruz
Randy,Weber,TX,Republican,TXRandy14
Joaquin,Castro,TX,Democrat,JoaquinCastrotx
Roger,Williams,TX,Republican,RepRWilliams
Marc,Veasey,TX,Democrat,RepVeasey
Chris,Stewart,UT,Republican,RepChrisStewart
Derek,Kilmer,WA,Democrat,RepDerekKilmer
Mark,Pocan,WI,Democrat,RepMarkPocan
Robin,Kelly,IL,Democrat,RepRobinKelly
Jason,Smith,MO,Republican,RepJasonSmith
Cory,Booker,NJ,Democrat,SenBooker
Katherine,Clark,MA,Democrat,RepKClark
Donald,Norcross,NJ,Democrat,DonaldNorcross
Alma,Adams,NC,Democrat,RepAdams
Gary,Palmer,AL,Republican,USRepGaryPalmer
