handle,text
td_canada,@user Thanks for reaching out Darren. We are happy to go over this with you and provide further details and guidance. Please send us a DM - We are here to help! ^WL
td_canada,@user We're very sorry to learn this has been your experience and understand how this would feel frustrating. Please send us a DM so we can provide guidance and assist you further. ^WL
td_canada,@user Thanks for reaching out Ali. We're sorry to learn this has been your experience and would love the opportunity to make it right. Please send us a DM with more details so we can learn more and and see how we can help. ^WL
td_canada,@user Hi Tanu we're sincerely sorry to learn that you have been on hold for so long and we understand that your time is valuable. While we recommend holding the line for now we'd like to see how we can help. Please send us a DM at your earliest convenience. ^BP
td_canada,@user Hi Iau we're sorry to learn that you have been having issues receiving E-transfers and we understand how inconvenient this would be. We would like to see what we can do to help please send us a DM at your earliest convenience. ^BP
td_canada,@user Hi there Sean thank you for brining this to our attention. We apologize for the long wait times and understand how this can be frustrating. Please send us a DM we look forward to assisting further! ^JT
td_canada,@user Hi Michael we apologize for your recent experience. We want to help you as best as we can please send us  DM regarding the reason for your call. We look forward to chatting with you soon. Thank you for your patience. ^JT
td_canada,@user Hi Mike thank you for bringing this to our attention. This is not a TD contact please do not click on the link or reply. We advise that you block and delete this message. Do not hesitate to send us a DM if you have any other concerns. Thanks for being diligent! ^JT
td_canada,@user Hi Jacob we're sorry to hear this and understand how this can be frustrating. We want to make sure your father receives his expected bank card. Please send us a DM we want to learn more about your recent experience and assist you as best as we can. ^JT
td_canada,@user Hi Bradley we're sorry to hear this and understand how frustrating this experience is. We want to help please send us a DM regarding the reason for your call. We look forward to chatting with you further thanks. ^JT
td_canada,@user We certainly understand your concern and we'd like to learn more to assist. Please send us a DM and we'll be happy to help! ^JD
td_canada,@user For sure! Please send us a DM and we'll be happy to help in this matter! ^JD
td_canada,@user We certainly understand your concern Krance and we'd like to learn more to assist. Please send us a DM and we'll be happy to help! ^JD
td_canada,@user Hello Monika we are very sorry to hear about your experience and appreciate why this would be frustrating.  Please send us a DM so we can chat further and determine how we may be able to help. ^MN
td_canada,@user Hello Abdul we are sorry to learn that your luggage has been delayed and appreciate why this would be concerning.  Please send us a DM so we can obtain additional details and determine how we may be able to help. ^MN
td_canada,@user Good morning Nabeel we have picked up your tweet and this is certainly not how we want you to feel. Please send us a DM so we can chat further and determine how we may be able to help. ^MN
td_canada,@user Hi Eric thank you for reaching out! This certainly doesn't sound right to us. We would like to troubleshoot with you and kindly ask that you send us a DM to chat further. We are here to help and enjoy your Monday :) ^GH http
td_canada,@user Hi Shauna this certainly doesn't sound right to us. We would like to hear more about your experience with Expedia for TD to see how we can help. Please send us a DM to chat further and enjoy your Monday ^GH http
td_canada,@user Hi Carmen we've picked up your tweet and apologize for the extended wait time encountered. If you have yet to reach an agent please remain on hold and send us a DM so we can learn more and address this experience. ^DJ
td_canada,@user Hi there Andrew we've picked up your tweet and must apologize for the wait time encountered by your partner in calling. This is not the level of service we aim to provide and we would ask her to send us a DM so that we can address this experience. ^DJ
td_canada,@user We love to help set the ball in motion for you to serve great times and bump up the success in reaching this goal. The sliding scale will spiek joy in allowing more to participate in community recreation. ^DJ
td_canada,@user Great question! We certainly understand your concern with our security. Please send us a DM and we'll be happy to clarify! ^JD
td_canada,@user Hey Nicole we're really sorry to hear about your experience with mobile deposit. We would like to have the chance to review this with you and assist you further. Please send us a DM to chat more and see how we can help. ^WL
td_canada,@user Thanks for reaching out Martin.  We can appreciate the need to maximize your points.  Please send us a DM and we would be happy to help further.  ^GF
td_canada,@user Thanks for writing back Mike.  If purchasing cash from a TD branch and not using your card at an ATM the 3.5% would not apply.  Please send us a DM if you need further detail.  ^GF
td_canada,@user Hello Taylor. We are terribly sorry for any inconvenience caused &amp; want to help. Our international collect phone number is 1-416-983-5393. However we do have other options to contact us! To further discuss please DM us &amp; an agent will assist. ^JO
td_canada,@user Hello Mike &amp; great question! In this case the amount withdrawn from your account will include a fee equal to 3.5% of the purchase amount after conversion to Canadian dollars. Please let us know if you have any additional questions or concerns. Thank you! ^JO
td_canada,@user Hello we are very sorry to hear that this has been your experience. This is certainly not how we want you or your dad to feel-especially when celebrating your birthday! We want to learn more about this experience &amp; welcome you to DM us.! Thank you. ^JO
td_canada,@user Hello William. We strive to exceed expectations &amp; are truly sorry to hear that we are not currently doing so. We appreciate your feedback always. Please DM us to discuss payment options available. Thank you. ^JO
td_canada,@user Hi there we're sorry to hear about this and apologize for any inconvenience caused. We'd like to help investigate further. Please send us a DM to chat further. ^RS
td_canada,@user Hi Farzana we're sorry to hear about this experience and apologize for any inconvenience caused. We'd like to learn more about this situation. Please send us a DM to chat further. ^RS
td_canada,@user Hello Michael &amp; thank you for reaching out regarding the Two-Step Verification process when logging in. We are sorry to learn that the current settings are inconvenient. We want to help! Please DM us for next steps on personalizing the settings. Thank you! ^ JO
td_canada,@user Hello Mary we are very sorry to hear that this has been your experience. This is certainly not how we want you to feel! We welcome you to DM us and we will do our best to help! ^JO
td_canada,@user Thank you and we look forward to connecting! ^JO
td_canada,@user Hello Paula we are very sorry to hear that this has been your experience! That sounds frustrating and we want to do all we can to assist. We welcome you to DM us to discuss further. Thank you for all your patience. ^JO
td_canada,@user Hello Patti. We are terribly sorry for this experience &amp; any frustration caused. Please feel welcomed to DM us to further discuss next steps&amp; options. Thank you for reaching out! ^ JO
td_canada,@user Hello Erica &amp; thank you for your being so diligent with your banking. The number 416-941-0408 is not a TD number. Thank you for reaching out to confirm first! Please follow up via DM if you require further support.  ^ JO
td_canada,@user @user @user @user @user @user @user @user @user @user @user Thank YOU Jeff. We are truly proud to be a part of supporting this initiative! ^ JO
td_canada,@user Hello Derek we are very sorry to hear that this has been your experience. This is certainly not how we want you to feel! We welcome you to DM us and we will do our best to help! ^JO
td_canada,@user We are proud to be a part of the increasing awareness and to be supporting to this initiative! Thank YOU for all that you do! ^JO
td_canada,@user Good afternoon. At this time we are not supporting Google Pay and apologize for any disappointment caused. We will certainly notify our customers if anything changes. Feel free to send us a DM if you would like to chat further. ^MN
td_canada,@user Hello Danny we appreciate why this would be concerning. We can confirm this number is legitimate and is associated with the 'ID Assist' service. Feel free to send us a DM if you would like to chat further. ^MN
td_canada,@user Good morning Chris we are very sorry for the inconvenience caused and this is certainly not how we want you to feel. Please send us a DM so we can chat further and determine how we may be able to help. ^MN
td_canada,@user Hi Miina we're truly sorry to learn that you have been on hold for so long and we recognize that your time is valuable. While we recommend holding the line for now we would like to see how we can help. Please send us a DM at your earliest convenience. ^BP
