handle,text
usbank,"@OptoFortuna I am happy to hear this, Jeannie. I will be sure to notify her supervisors of the difference she made in handling this situation. If I can be of any further assistance, please feel free to DM us or follow up with me directly. Thank you. ^Ryan"
usbank,"@OptoFortuna You're welcome, Jeannie. We've received your DM and will be in touch shortly. ^lv"
usbank,"@_jweave23 Hello, We’re aware of an issue impacting online/mobile banking. We have teams working to investigate the issue and restore these services. We apologize for any inconvenience this may cause. Please contact 24-Hour Banking at 800-872-2657 with urgent account needs. Regards, ^Kim"
usbank,"@OptoFortuna Hello, Jeannie. We apologize you're having trouble with funding your account. We're happy to review this further and help in any way we can. Please DM your phone number and an Ambassador will call you directly. Thanks. ^lv"
usbank,"Simplify your business banking experience. A Business Checking Package allows you to manage your finances, deposit checks and send and receive money all from your phone. Earn an extra $300 when you open a new account with code Q2BUS22 and complete qualifying activities."
usbank,"Simplify your business banking experience. A Business Checking Package allows you to manage your finances, deposit checks and send and receive money all from your phone. Earn an extra 
$300 when you open a new account with code Q2BUS22 and complete qualifying activities."
usbank,"Simplify your business banking experience. A Business Checking Package allows you to manage your finances, deposit checks and send and receive money all from your phone. Earn an extra $300 when you open a new account with code Q2BUS22 and complete qualifying activities."
usbank,"Minneapolis residents and visitors will forever be greeted by this 100-foot mural of Prince, unveiled last week. It was an honor to be a sponsor of the mural and play a part in bringing this project to life. Thanks to @rmgcorp for leading this. #CrownOurPrince https://t.co/d1hBiwQR9h"
usbank,"Whether you’re a recent college grad or years into your career, we’ve put together a list of resources to help make the experience of starting a new job as smooth as possible.   
https://t.co/npBYVbOWwH"
usbank,"@ARome78818075 Hi, thank you for reaching out. How may we be of assistance today? ^kt"
usbank,"Take your business to the next level with a new Payment Solutions account. When you open an account before July 29th, you’ll get a $500 deposit in statement credits plus access to free point-of-sale hardware rental for the first 90 days. Hurry, this offer ends soon."
usbank,"Take your business to the next level with a new Payment Solutions account. When you open an account before July 29th, you’ll get a $500 deposit in statement credits plus access to free point-of-sale hardware rental for the first 90 days. Hurry, this offer ends soon."
usbank,"Take your business to the next level with a new Payment Solutions account. When you open an account before July 29th, you’ll get a $500 deposit in statement credits plus access to free point-of-sale hardware rental for the first 90 days. Hurry, this offer ends soon"
usbank,"With financial guidance and tools to help you save, budget, and plan, U.S. Bank is your partner in pursuing financial freedom. #TogetherWePride"
usbank,"With financial guidance and tools to help you save, budget, and plan, U.S. Bank is your partner in pursuing financial freedom. #TogetherWePride"
usbank,"With financial guidance and tools to help you save, budget, and plan, U.S. Bank is your partner in pursuing financial freedom. #TogetherWePride"
usbank,"As a U.S. Bank customer #SinceDay01, @LibertyPuzzles brings artisan-crafted puzzles to buyers around the country, including celebrities and major brands. There's nothing better than watching customers like Liberty become a smash hit. #usbanksmallbusiness https://t.co/1gFHFM0dWY https://t.co/ofMLgKPuyI"
usbank,@toni_lyn That's great to hear Toni! We're happy to help anytime. All the best. ^Chris
