handle,text
askregions,@KyubeyKyubae Our apologies for any frustrations this has caused. We'd be glad to learn more to document your concerns. To further discuss feel free to send us a DM. -Trish
askregions,@scrapboomin Our team would like to see how we can further assist. Please send over a DM with your phone number. -Ana
askregions,"Knowledge plays a key role in preventing fraud and financial exploitation. That's why we provide free resources to educate and protect seniors. #WEAAD #WorldElderAbuseAwarenessDay
https://t.co/DSe8v4ab25"
askregions,@sayitforyou We're happy to hear that Eileen is always a big help! We appreciate you taking time to share this feedback. Have a great day! -Ana
askregions,"@youloveKELL Oh, no! If we can assist you with anything, please send over a DM. -Ana"
askregions,"@scrapboomin Hey, there. If our team may assist you with anything, please let us know. -Ana"
askregions,@laaikey2 We're sorry to hear this was your experience. We'd be glad to learn more. To further discuss feel free to send us a DM. -Trish
askregions,@fvkntk Hello! Our team is happy to see how we can help. Please send us a DM. -Ana
askregions,"@AmamaBailey Hey, there. Our team would like to review the account. If we can speak with you, please send us a DM with your phone number. -Ana"
askregions,@arkansasssy Congratulations on your new home! 😀
askregions,@BranchesFL We're so glad to have been able to come out and help! 💚
askregions,"@MorganK87153940 Hello, Morgan. We’re so sorry for the experience you encountered while visiting our branch location. We’d like to learn more and see how we can better serve you. Please connect with us via DM to share more. We’ll be happy to engage and respond as soon as we can. - Hector"
askregions,"@Beachen8083 If you would like to further speak with us, please send us a DM with your phone number. -Ana"
askregions,@ArtsMemphis We love being a part of this! 😊
askregions,@EmployIndy We're proud to support this great program!
askregions,@LeadershipMphs We are happy to be a part of this!
askregions,@TOTSinDC Thank you! We're so happy to support!
askregions,"@nynjanate Hey, there. We're sorry to hear of this situation. You may contact our Electronic Banking team at 800-472-2265 for more information or assistance with Regions Mobile Deposit. -Tyler"
askregions,@foowords Congratulations! Welcome to the team!
askregions,"@ArceeJackson10 We're glad to hear that the situation was resolved. If we can help out in the future, please let us know. -Ana"
askregions,"From homeless to homeowner. Our team helped Mayfield tornado victim, Samantha Costello, finance a place for her and her kids to call home. #NationalHomeownershipMonth https://t.co/lbC8jGVnp0"
askregions,"@BullG_Zone6 Hello. Your concerns are very important to us! If our team can better serve you, please connect with us via DM to share more. Our team will be glad to engage and reply to you as soon as we can. - Hector"
askregions,"@AhkiraEssien We're sorry for any frustration you have had. If you would like to further discuss these details, please send us a DM. -Ana"
askregions,"@HeyItsAMonet We wouldn't like to see you leave us! If we can discuss any concerns, please send us a DM with your phone number. -Ana"
askregions,@miltonhein We're happy to hear that all is working well now! Please don't hesitate to let us know if you need us in the future! -Tyler
askregions,"@miltonhein Hey, there. Depending on the location, Online Banking may not be accessible. Are you receiving any error messages? -Tyler"
askregions,"@ArceeJackson10 We're sorry to hear that you are having trouble logging in to your account. If we can chat, please send us a DM with your phone number. -Ana"
askregions,"Just 25 days until Birmingham’s worldwide introduction to athletes and their fans. Let’s make them all fans of Birmingham. 

Regions. Proud sponsor of @TWG2022. #RoadtoBHM #TWG2022 https://t.co/022ifMN4g0"
askregions,"@RochellRock001 Hello. If our Social Media Customer Care Team can better serve you, please connect with us via DM. We’ll be delighted to engage with you and see how we can help. - Hector"
askregions,What kind of weird scam sends you money? We’ll tell you in What To Do If a Stranger Sends You Money: https://t.co/MdEyyw4JTw. #Fraud https://t.co/gpuJayG6DO
askregions,"@shvllo Hey, there! If you have any questions, we'd certainly be glad to help! -Tyler"
askregions,"@ArceeJackson10 Hey, there. If you are still having trouble, please send us a DM. -Ana"
askregions,@OBJUpdate Good luck to everyone that is nominated! We can't wait to present such amazing awards to our innovators and winners!!
askregions,"@screambeautyfu1 Oh, no! If our team can further assist you, please send us a DM. -Ana"
askregions,"@__NoJustTerry We certainly don't want you to feel this way! If we can help with anything, please send us a DM. -Tyler"
askregions,"@Jeff_Rushing We would be glad to check the status of the promotional offer. If you send us your phone number, we'll call you. -Tyler"
askregions,"@Jeff_Rushing Hi, there. We'd be glad to reach out. Could you provide more information on the situation you're needing assistance with? -Tyler"
askregions,"@RoneiHarden Hello, Ronei. Let’s learn more on this situation and our team will be glad to try to serve you as best as we can. Please connect with us via DM to share more. We’ll make certain to engage and respond as soon as we can. - Hector"
askregions,"@robpegoraro Hey, Rob. Our team would like to review these details. Please send us a DM with your phone number and we'll be in touch. -Ana"
askregions,"@Taldrkhansm1 If you send us a DM with your phone number, we'll be sure to reach out and learn more. -Tyler"
askregions,"With big returns could come big taxes. How much, you ask? Read “How Are Capital Gains Taxed?”: https://t.co/8LPOuMHpVN. #CapitalGains #stocks #taxes https://t.co/q5HS4XjFFq"
