handle,text
comericabank,"We’re proud to earn a perfect score for the eighth consecutive year on the @HRC 2022 Corporate Equality Index, which measures LGBTQIA+ workplace equality. 🏳️‍🌈🏳️‍⚧️  #PrideMonth

Learn more about our efforts: https://t.co/spsdwwELFK https://t.co/PnI3ugh3fE"
comericabank,Those long hours and hard work paid off - Congrats on the #promotion! 👏  What’s next? Here’s 3 #financialtips to consider after being promoted: https://t.co/A9vfbooP52
comericabank,"After @IronMountain securely destroys your paper documents, the processed materials are transported to paper mills to be turned into pulp for recycled paper. This destruction process greatly reduces pollution, preserves landfill space, &amp; saves trees, water &amp; oil resources. https://t.co/UGEwPlLMVs"
comericabank,Volunteers from @Gleaners Community Food Bank are on-site at Comerica Bank Shred Day to collect food donations. https://t.co/ACzJ7TtzJC
comericabank,Shred your private documents for FREE at Comerica Bank Shred Day! Join us today from 8am - 1 pm at our Livonia Operations Center. https://t.co/tPongqPCJ4
comericabank,"Major stock indexes saw positive gains this week, but experts are wary of how stable these upswings are. Learn more from our chief investment officer John Lynch in @Kiplinger: https://t.co/SIH4ojDWu3"
comericabank,A majority of Americans believe the nation is currently in a recession or that one is coming soon. Our chief economist @BillAdamsEcon explains in @ChiefInvOfficer why we aren't actually in one: https://t.co/jjCZ5xWu6f
comericabank,"With the highest inflation rates in 40 years and rising interest rates, it's tough to find a stable place to invest in stocks. Our chief investment officer John Lynch encourages investors to embrace this new reality. Read more in @USATODAY: https://t.co/OKWWeo9QIR"
comericabank,"@Floppitypenguin For assistance, please call our Customer Contact Center at 1.800.266.3742 or visit a local banking center and a representative will be happy to help. Thank you for visiting."
comericabank,"Unemployment is lowering and wages are rising, but industries that boomed during the pandemic are facing difficulties. Check out the latest U.S. Economic Outlook from our chief economist @BillAdamsEcon to learn more: https://t.co/2wO7KcXdUf"
comericabank,"@Eize50 Thank you for your feedback.  We have forwarded a copy of your comments to our Corporate Quality Process Department.  If you would like to discuss, you may call the Corporate Quality Process Department at 313.222.3435, M - F 8:00 a.m. - 5:00 p.m. (ET).  Thank you for visiting."
comericabank,Our 13th annual #ShredDay is just TWO days away! Join Comerica Bank and @IronMountain on June 11th. A canned food donation for @Gleaners would be appreciated. https://t.co/SH4nhjQNVQ https://t.co/AP9XPWn9dX
comericabank,"@SW_S_W_A_G Thank you for your feedback.  We have forwarded a copy of your comments to our Corporate Quality Process Department.  If you would like to discuss, you may call the Corporate Quality Process Department at 313.222.3435, M - F 8:00 a.m. - 5:00 p.m. (ET).  Thank you for visiting."
