handle,text
BobbyScott,"The formula shortage has disproportionately affected women &amp; children who rely on WIC benefits. The Access to Baby Formula Act will provide additional WIC flexibilities, so vulnerable families can use their benefits on other safe &amp; available formula products. #FeedOurInfants https://t.co/ZuwsjGsOfk"
BobbyScott,"We currently have record low unemployment &amp; job growth, yet job openings currently exceed applicants &amp; employers are clamoring for skilled workers. To help solve this problem, I led passage of the bipartisan Workforce Innovation &amp; Opportunity Act of 2022 
https://t.co/vGkTZ3MKzS https://t.co/MlEEZ21xjd"
BobbyScott,We cannot protect our nation’s health or help communities recover if we do not strengthen our mental health care system. The Mental Health Matters Act takes the critical steps we need to confront the mental health crisis facing too many Americans. https://t.co/J19a42d2Tg
BobbyScott,I stand with the LGBTQ+ community and will continue the fight for full equality and acceptance for all LGBTQ+ people in this country and around the world. #IDAHOBIT https://t.co/ut1EOsm34e
BobbyScott,"Honored to have Father George Chioros from Saints Constantine &amp; Helen Greek Orthodox Church in Newport News as my guest for today’s Joint Meeting of Congress with His Excellency Kyriakos Mitsotakis, the Prime Minister of Greece. https://t.co/ipDFPTDZ1e"
BobbyScott,"On the anniversary of the historic Brown v. Board of Education decision, we must recommit ourselves to the eliminate persistent funding and achievement gaps and finally take actions to achieve the promise of Brown. https://t.co/cCU3cBL0o5"
BobbyScott,You can now order a third round of free at-home COVID-19 tests to be delivered directly to you. https://t.co/T3ZYjkX3wD
BobbyScott,Congratulations to @GayleneKan for being the 2022 Hampton Alumnae Chapter of Delta Sigma Theta Community Woman of the Year! https://t.co/0zqVCtlZDJ
BobbyScott,My thoughts are with the Buffalo community as they grapple with this tragedy. Gun violence and white supremacy are scourges on our society and require us to take meaningful action to combat these forces.
BobbyScott,"The Biden-Harris Administration has launched a new webpage that provides resources and places that parents can go to obtain formula, including contacts with companies, food banks, and health care providers. Visit: https://t.co/5CbG9vG78y https://t.co/zPblC3mweQ"
BobbyScott,"As the Chairman of @EdLaborCmte, I have been working with @SpeakerPelosi and other House leaders on legislative solutions to strengthen the WIC program and ensure all families have access to the baby formula they need. https://t.co/VNJRmO5OGF"
BobbyScott,"Today, I helped lead house passage of legislation to help lift millions of Americans out of poverty. By investing in local community organizations in Virginia and across the nation, we will provide Americans with the tools they need to achieve economic security. Watch: https://t.co/Bb7G9BjwpY"
BobbyScott,".@TSA’s frontline Transportation Security Officers, who have helped keep our skies secure during COVID-19, lack the same basic workplace protections as the rest of the Federal government. I'm proud to support the #RightsForTheTSAWorkforce Act today to improve TSA's workforce. https://t.co/qzBx9sJuSm"
