handle,text
BradSherman,"I commend @POTUS for invoking the Defense Production Act, a move my bill called for as soon as this crisis struck families across our country. We must do all we can to bring this to a swift and immediate end. https://t.co/Dw9ItaSQZ9"
BradSherman,I had the pleasure of meeting students from @sierracanyon on the Capitol steps. It was great to hear from bright young minds and answer their questions on the issues they're most passionate about. https://t.co/TxiZlTvfeT
BradSherman,Most important is that we put real pressure on the governments of Eritrea and #Ethiopia to let more food in -- we need 100 trucks everyday. (2/2)
BradSherman,".@PowerUSAID heads our international aid efforts at @USAID and is famous for her work on genocide. At today's @HouseForeign hearing, I called on her to provide more aid to the people of #Tigray and Tigrayan refugees in Sudan. (1/2)
https://t.co/KWPvEbxc1q"
BradSherman,"Was pleased to meet with Ronda Wilkin, a fellow Valley resident and vocal advocate for the @alzassociation. I will continue to fight for Alzheimer's and Dementia research funding. #ENDALZ https://t.co/FJP1CJvD0X"
BradSherman,"The devastation in #Buffalo is a painful reminder of the tragedy that can ensue when racist, anti-Semitic, nativist conspiracy theories and other vile ideologies are not strongly rebuked in one resounding, unequivocal and united voice. https://t.co/qNTHxntRsX"
BradSherman,".@kmitsotakis, Prime Minister of the #HellenicRepublic, gave an excellent speech to our joint session of Congress to commemorate the #GreekBicentennial and the strong relationship between our countries. https://t.co/wckQk3hvTv"
BradSherman,"I joined @CBSLA over the weekend to discuss solutions to the current #BabyFormulaShortage including my bill, the Emergency Infant Formula Act, that focuses on increasing supply. 

Watch the interview below: https://t.co/SnNcvngwwn"
BradSherman,"We ended this weekend with yet another shooting, this time right here in California.

As long as we fail to get serious as a nation and act, everyday moments - a trip to the grocery store or attending church - can end in tragedy.

This is unacceptable and can't be our new normal. https://t.co/JiMcbV80E4"
BradSherman,"Two mass shootings in just 24 hrs, in Milwaukee and Buffalo. My heart goes out to the victims and their families. 

How many more atrocities must we endure before the Senate, GOP and those who claim they’re “pro-life” finally act and join us to end this scourge of #GunViolence?"
BradSherman,"I will be appearing on @CBSLA later tonight to discuss my bill, the Emergency Infant Formula Act – legislation that focuses on increasing the supply of infant formula in response to the #BabyFormulaShortage.

Learn more about the bill here:
https://t.co/pav7sOIQIM"
BradSherman,"Will be joining @FoxNews Live today at 12:10 PM EST/9:10 AM PS to discuss the state of our economy, our efforts to combat #inflation, the SCOTUS draft opinion on #RoeVWade and more."
BradSherman,"In response to the #BabyFormulaShortage that has been impacting families across the country, I am introducing the Emergency Infant Formula Act – legislation that focuses on increasing the supply of infant formula.

Learn more here: https://t.co/pav7sOIQIM"
BradSherman,It was a pleasure to meet once again with Jordan’s @KingAbdullahII &amp; discuss new possibilities for the longstanding friendship between the U.S. and the Hashemite Kingdom. https://t.co/rlJO5s9lUO
