handle,text
ChrisCoons,"Congratulations to @NatlHeadStart on 57 years of changing the lives of young Americans! Head Start helps kids develop language, cognitive and literacy skills at an early age – that’s why I’m proud to support efforts to fully fund it each year. https://t.co/E9lI69ylWh"
ChrisCoons,"I'm glad Abbott and the @FDA have worked out a deal to speed up production of baby formula, but we never should have reached this point. Congress must now work to understand the failures that led us here so that we can prevent families from struggling with this in the future. https://t.co/kAZ85t2OJu"
ChrisCoons,"As co-founder of the Senate ALS Caucus, I know that increasing awareness for this debilitating disease moves us closer to a cure. This week, the Senate adopted my resolution designating May as ALS Awareness Month – an important sign of support for patients and their loved ones."
ChrisCoons,"With $4.2 million in funding we’ve delivered for Delaware, we’ll be able to make a real difference in Delaware law enforcement officers’ relationships with the communities they serve during #NationalPoliceWeek and every week after. https://t.co/o2X3Dx16cU"
ChrisCoons,"Last week, @POTUS signed into law my bill to recognize the sites in DE and across the country that contributed to the #BrownVBoard decision. Today, 68 years since the decision, I'm thinking of the families who led the way &amp; fought to make our nation more just."
ChrisCoons,"Greece has been our partner for over two centuries, and they continue to work with us on vital global challenges. I’m looking forward to hearing from Prime Minister @kmitsotakis as he addresses a Joint Meeting of Congress shortly. Tune in here: https://t.co/CcAUzeHsen"
ChrisCoons,"Thanks to President Biden, Delawareans can now order more at-home COVID tests, free of charge. Testing a great way to keep our community safe – and it only takes a few minutes.
https://t.co/sE1fGxRKOw"
ChrisCoons,"@RepLBR @SenatorCarper This week and every week, I promise I’ll continue funding the police and working to ensure that they have the resources they need to serve and protect every Delawarean."
ChrisCoons,"In this Congress, I’ve helped secure more money for communities to hire law enforcement officers in the American Rescue Plan, introduced bills to address PTSD among officers, and worked with @RepLBR and @SenatorCarper so that every DE officer will be equipped with a body camera. https://t.co/AHqHgCmede"
ChrisCoons,"As a co-chair of the Senate Law Enforcement Caucus, I’ve worked with colleagues on both sides of the aisle to ensure our peace officers don’t just have our thanks, but are also receiving the critical resources they need. https://t.co/QkrE1t3hus"
ChrisCoons,"This week is #NationalPoliceWeek, and a reminder that the men and women who protect and serve our communities in Delaware deserve senators who recognize that the more we put into our law enforcement officers, the more connected they are to our neighbors and neighborhoods. https://t.co/1I5HymBgHo"
ChrisCoons,"Thinking of Chris, Katherine and their family today as he recovers from his stroke. I’m glad to hear he’ll make a full recovery and that he’ll be back in the Senate working for Maryland families before the week is out. https://t.co/alGemVh0OX"
ChrisCoons,What a win for the Blue Hens! https://t.co/z2Bbz8sk2k
ChrisCoons,My heart breaks to hear of the reportedly white supremacy-fueled mass shooting in Buffalo today. We cannot let extremism and gun violence continue to plague our country like this. https://t.co/LpTK9BGpDQ
ChrisCoons,"Today, @POTUS brought badly needed transparency to federal judges’ finances by signing my bill with @JohnCornyn into law. 
https://t.co/nIUxYuElB3"
ChrisCoons,Presided over a vital @SenateApprops hearing yesterday with my colleague @LindsayGrahamSC. The world is counting on the US to lead the way in fighting global hunger and COVID-19. It’s crucial for Americans’ safety and security that we fully fund our response to these threats. https://t.co/UdaEM5rmzf
