handle,text
MikeKellyPA,"A win for free speech!
https://t.co/ieoKZGAx1T"
MikeKellyPA,Depleting the SPR -- which is not expected to refilled until at least the fall -- for short-term political gains threatens our national security.
MikeKellyPA,"President Biden said releasing 180 million barrels of oil from the Strategic Petroleum Reserve would lower gas prices ""10 cents to 35 cents a gallon."" That was March 31.

Gas has skyrocketed 58 cents in Pennsylvania over the last month &amp; we set another national record-high today. https://t.co/ZPfx3XsQdA"
MikeKellyPA,"From one Notre Dame grad to another, Congrats to The Bus! https://t.co/t3YwpdIwXD"
MikeKellyPA,"These are record high numbers WITH Title 42.

When Title 42 ends: 
~ 18,000 encounters/day (DHS estimates)
~ 540,000 encounters/month

I introduced the Spc. Bishop E. Evans Border Security Act, which extends Title 42 to 2025. I have no confidence in the Biden Admin to fix this. https://t.co/qVhZX5nn3w"
MikeKellyPA,"Building semiconductor chips here in America strengthens the U.S. supply chain, lessens our reliance on foreign products, and creates more jobs here at home.

Details on how the bill I'm co-sponsoring will help Americans is in today's @rollcall ⬇️
https://t.co/oRSViBbwmN"
MikeKellyPA,"A big thank you and congratulations to Boy Scout Troop 58 for their service to our local communities. These scouts represent the best of our youth and will surely make Western PA proud in their future endeavors!

https://t.co/9kmG5cDtkQ"
MikeKellyPA,"Pennsylvania's average gas price is $4.63/gallon.

That's 47 cents higher than last month.

Meanwhile, as $5/gallon quickly approaches, the Biden administration canceled three major oil &amp; gas lease sales last week.

We need pro-American energy policy!
https://t.co/XBEcFvXS3w"
MikeKellyPA,My thoughts are with the people of Buffalo following this weekend’s deadly shooting. I condemn this hateful act of violence. People should be able to feel safe at their grocery store and other public spaces. Thank you to the brave first responders for securing the scene.
MikeKellyPA,It was great to meet with the very talented students who participated in this year's Congressional Art Competition in Greenville over the weekend! Congratulations to the winners! https://t.co/5kztoTIZuy
MikeKellyPA,"There is nothing more precious than life. 

The numbers on the board beside me show just fragile life really is and why we must continue to protect the unborn. https://t.co/zufPU4LP9v"
MikeKellyPA,"My bill to rename the Butler, PA Post Office after local Civil War hero Andrew Gomer Williams is one step closer toward becoming law!

Details ⬇️
https://t.co/ClclX6XK1D https://t.co/68QCz58pFP"
MikeKellyPA,"Let's be clear: a heartbeat equals life. 

Last night, I took to the House floor to defend the unborn and promote my legislation, the Heartbeat Protection Act. The right to life is as fundamental as it gets. https://t.co/mqFSWLKFcN"
MikeKellyPA,"I have no confidence in the Biden administration to develop a long-term, comprehensive immigration plan.

That's why I introduced legislation this week to extend Title 42 and to secure our border. More details ⬇️
https://t.co/wGwMnkWMBJ"
MikeKellyPA,"With gasoline at a record-high $4.57 a gallon in Pennsylvania, this administration *should not* be canceling oil and gas leases.

https://t.co/QoQkWwYmR9"
