handle,text
NormaJTorres,".Thank you @GavinNewsom, #California is always ready to help our neighbors. #NMFire https://t.co/1c8rKMjiLM"
NormaJTorres,"This is historic! No matter the sport, our women athletes deserve to be paid equally to their male counterparts. Sports belong to all, and so does equal pay. https://t.co/sjbFhMbZJT"
NormaJTorres,"The United States welcomes Sweden and Finland to North Atlantic Treaty Organization, @NATO. This step is making it clear to President Putin we are standing strong for Ukraine and its bordering countries. https://t.co/5cLvKi8Kkm"
NormaJTorres,"Celebrating the 25th Anniversary of @NewDemCoalition with my colleagues, we will continue to work together to deliver on policies that improve American lives. New Dems get stuff done! https://t.co/7JYmwkbwbE"
NormaJTorres,"Today I will vote for the Domestic Terrorism Prevention Act of 2022 because domestic terrorism has no home in our country. This legislation will ensure our law enforcement has the necessary tools, training and resources to combat this rising issue."
NormaJTorres,"I support getting rid of the Hyde Amendment, which impacts this story. However, the State Department still can do much more regarding reproductive health care for those who dedicate their careers to public service with the Department."
NormaJTorres,"This is horrific and incredibly alarming. Our American diplomats should be provided the same reproductive health services readily available here in the United States, no matter where they are abroad. https://t.co/4uR1TIZxXW"
NormaJTorres,"It’s a pleasure to welcome and meet with the National Association of Development Companies. Certified Development Company has had a tremendous impact on California’s small businesses, economic development, and job creation. https://t.co/r5A8qwDDcf"
NormaJTorres,"#NationalTransportationWeek is a great time to apply for @USDOT's Safe Streets and Roads Grant. This program provides funding to projects that will help prevent roadway deaths and serious injuries, including pedestrian incidents. https://t.co/MZ9zhD4ps3"
NormaJTorres,"Si tiene problemas para encontrar fórmula infantil debido a la escasez actual, estos recursos de @HHSgov pueden ayudarle. https://t.co/3VzlM2XkL2"
NormaJTorres,"If you are having trouble finding infant formula due to the current shortage, these resources from @HHSgov may help. https://t.co/3VzlM2XkL2"
NormaJTorres,"It’s a pleasure to meet with local @UAW leaders to talk about how Congress is lowering inflation, addressing consumer price gouging, and investing in our auto and manufacturing workers. https://t.co/FRlfmYaWb7"
NormaJTorres,"Today, I express my commitment to fighting homophobia, transphobia, and biphobia in our country. We must work tirelessly for a more inclusive and welcoming America. There is no place for discrimination toward LGBTQ+ youth and people."
NormaJTorres,"In Southern California, we feel the rising costs of housing acutely. I look forward to continue to work with the Biden Administration to tackle this issue, and help expand access to quality, affordable housing for all. Everyone deserves a home 🏡 https://t.co/JFGPwHssgJ"
NormaJTorres,I’m back in Washington this week with my colleagues to address the ongoing formula shortage caused by the recall. We must take steps to address this crisis now for the health and well-being of our families. https://t.co/90sFVhycpo
NormaJTorres,"I am heartbroken for the victims and the families affected by the horrific hate crime in Buffalo that cut 10 lives short. In order to eradicate this violence, we must acknowledge it for what it is - blatant domestic terrorism. https://t.co/MZRx2XslKE"
NormaJTorres,"This is a horrific attack, and it would have been much worse if it weren’t for the bravery and heroism of the people in the church. My prayers are with the victims and all those affected. https://t.co/pb2ika4bh6"
NormaJTorres,Be in the lookout! The California Mortgage Relief Program will soon expand to include assistance with past due property taxes for all eligible homeowners. Be notified when applications open at https://t.co/J69xRGXXwG.
NormaJTorres,"Everyone — no matter where you live or how much money you make — deserves access to essential health care, including abortion care, free of barriers or political roadblocks.
 
No vamos a permitir que una Corte Suprema conservadora y Republicanos criminalicen la atención médica. https://t.co/F07RRgmUmY"
NormaJTorres,"Congratulations to Carolina Gonzalez Ceja from Bloomington, who won this year’s #CA35 Congressional Art Competition with her work “It’s the mirror that stings.” This piece will be on display in the U.S. Capitol for the next year! https://t.co/P1TE9gmtcd"
NormaJTorres,"Judiciary employees should have the same civil rights as other federal employees, and should be guaranteed a safe workplace free of harassment. I asked Judge Roslynn Mauskopf how the federal courts are protecting their employees. https://t.co/KTj5Rr3HQ3"
NormaJTorres,"This is an excellent step by President Biden to make our communities safer! $10 million from the American Rescue Plan has been committed to help counteract crime, prevent police layoffs, and grow police academies, among other things. #NationalPoliceWeek https://t.co/YVTTU3WLmI"
NormaJTorres,.@SBCounty hosted a hiring and expungement event to bring employment and record-clearing resources to the community. Thanks to all who made this event possible! https://t.co/T5oQtVLqCw
NormaJTorres,"I joined my colleagues for a moment of silence to remember the 1 million Americans we have lost to the #COVID19 pandemic. 1 million lives have been tragically cut short, and countless more are left to grieve their loss. https://t.co/lpdMVeRUZf"
NormaJTorres,"Dr. Huu Vo has dedicated years of his life to supporting our community as a leader of the Vietnamese Community of Pomona Valley. Yesterday, he organized the 47th Commemoration Fall of Saigon at Hoa Binh Holt Plaza. Thank you for your leadership, Dr. Vo! https://t.co/QOwqqNgasF"
NormaJTorres,"The @January6thCmte has been working incredibly hard to find out the facts about what happened on January 6th. Today, they took an additional step to hold people accountable for the insurrection by subpoenaing members of Congress who may know those facts. https://t.co/YKGgCDi8qB"
NormaJTorres,"A couple of months ago I met with federal wildland firefighters who described the fatigue and smoke inhalation issues they experience on the job, and felt like the federal government didn’t do enough to help them. This bill will right that wrong."
NormaJTorres,I included two amendments in the Federal Firefighters Fairness Act to guarantee health protections for Federal Firefighters who face work-related health risks due to exposure. https://t.co/EHrqJHAF08
