handle,text
PattyMurray,"Click the link below to share how #RoeVWade has impacted your life and why you care about protecting the right to abortion.

By speaking out, we can work together and fight back against Republicans taking away the right to abortion. https://t.co/OB2DMSiBHU"
PattyMurray,"I spoke with veterans &amp; leaders from King County about our efforts to end veteran homelessness. Housing saves lives &amp; we should always be there for our veterans.

I'll keep fighting for every dollar I can to support these incredible local programs that keep our veterans housed. https://t.co/4yxAbVMYLC"
PattyMurray,"Thanks to everyone in Seattle for making your voices heard and speaking out to protect the right to abortion. From Washington state to Washington, D.C., we’re not just going to let our rights be ripped away from us. https://t.co/UeV6AUx7EC"
PattyMurray,"We need organized leadership and a clear plan for addressing the baby formula shortage crisis.

I'm calling on @POTUS to immediately assign a coordinator within the White House to take action—now and in the future."
PattyMurray,"Let's be clear: the ""Great Replacement"" is a racist, dangerous lie some Republicans have pushed in a calculated effort to fearmonger for votes or views.

It’s shameful &amp; they’ve got to denounce it. Their continued silence on it now speaks volumes. https://t.co/1LTt2BR9zE"
PattyMurray,"Republicans want to rewind the clock on your rights.

Abortion. Birth Control. IVF. Plan B. You name it—Republicans want it gone.

Meanwhile, Senate Democrats are fighting back to protect them. Today is just the start. #RepublicansRightsRewind https://t.co/S9cLFjLDqh"
PattyMurray,"We've seen anti-abortion activists use location data to target women at abortion clinics. In some cases, that data has been used by prosecutors to criminally charge people.

That is absolutely unacceptable. I joined @SenWarren to demand data brokers ban these practices. https://t.co/uUebgC0UrU"
PattyMurray,"Families need us to treat cybersecurity like the national security threat it is. As China, Iran, Russia, and other adversaries get more aggressive with their cyberattacks, we've got to make sure we aren’t just keeping up here—but keeping ahead. https://t.co/ozektIfOpn"
PattyMurray,"The number of cyberattacks against Washington state businesses, health care facilities, schools, and more has increased drastically in the last few years.

Today I led a @HELPCmteDems hearing on how to increase cybersecurity and keep people’s data safe. https://t.co/M7oNdGHh3R"
PattyMurray,Do you have a story to share about what Roe v. Wade means to you? Click the link below to submit it. Fight to protect abortion care by speaking out about why this is an important and fundamental right. https://t.co/OB2DMSiBHU
PattyMurray,"High speed internet is as necessary as running water. That’s why I fought to pass bipartisan legislation that would help more people in WA state get &amp; afford internet.

Click the link below for more information on this new program &amp; help spread the word. https://t.co/CiNHPkILAf"
PattyMurray,"I’ve long fought to defend the right to abortion. Now, this fight is as important as ever and I'm ready to do everything I can to stop extreme Republicans from rolling back the clock on women’s rights. https://t.co/cP7nzsQ4F2"
PattyMurray,"Since February, @SenBobCasey and I have been demanding answers about the baby formula crisis.

Now, we’re pushing for immediate action from companies to get more formula on shelves ASAP. https://t.co/I5pKL8b5VN"
PattyMurray,"Washington state’s LGBTQ+ community deserves nothing but love and respect—free from fear or discrimination.

I’m working to pass policies to help make our country more equal and protect our kids against cruel Republican attacks. #IDAHOBIT2022"
PattyMurray,"Abortion bans are devastating for everyone—and they disproportionately hurt people with disabilities who already face barriers to get reproductive health care. I’m fighting to make sure EVERYONE can get the health care they need, always. https://t.co/clvCDl4QSb"
PattyMurray,Cannabis shops in Washington state should be able to do business without fearing for their safety because they can only accept cash. I’m working to include the #SAFEBankingAct in bipartisan legislation to change that. https://t.co/ph9j3kLfqX
PattyMurray,"The child care sector is on the brink of collapse—&amp; families across the country will pay the price if we fail to fix it.

My new child care proposal will save WA families thousands of dollars on child care each year, expand their options, &amp; raise wages for child care workers. https://t.co/48foQGqO5p"
PattyMurray,"Wishing you a quick and speedy recovery, @ChrisVanHollen. Looking forward to seeing you back here in the Senate soon. https://t.co/lpYHiJjh2j"
PattyMurray,The right to abortion is so important and so personal to so many of us. Share your story below and help us continue the fight to protect this important right. https://t.co/OB2DMSAd6u
PattyMurray,The consequences of the climate crisis are clear. Let’s take the bold action needed to prevent the absolute worse. https://t.co/l0EFwIhTUM
PattyMurray,"Child care 
Prescription drugs 
Housing 
 
These are just some of the ways Democrats are focused on lowering costs for Washington state families."
PattyMurray,"Too many Washington state small businesses are still trying to get back on their feet.

The Senate has got to pass legislation to make sure every small business—whether it’s a restaurant, gym, or otherwise—gets the support they need."
PattyMurray,"I want to hear from you 📣📣

Speak out against the extreme Republican attacks on the right to abortion and share your story about how important Roe v. Wade is in your life. https://t.co/OB2DMSiBHU"
PattyMurray,"My heart is with Buffalo &amp; the loved ones of those killed in yesterday’s tragic shooting.

Make no mistake: this was a methodically planned white supremacist attack on a Black community. We must root out hate everywhere—&amp; ensure deadly weapons aren’t falling into the wrong hands."
PattyMurray,"You should be able to walk into a pharmacy without worrying about whether you can afford the prescription drugs you need.

Right now, that isn’t always the case. I’m working to change it."
PattyMurray,"Thanks to funding I helped secure, soon the @800273TALK lifeline will have an easy 3-digit line anyone in WA state can call free &amp; confidentially when they want someone to talk to.

And I'm working on more common-sense steps to address our mental health crisis."
PattyMurray,"To everyone in Washington state and across the country speaking up to protect the right to abortion today: I'm behind you 100%.

We have no choice but to keep fighting—and that's what I'm going to do every day in the Senate."
PattyMurray,It was great to see a few of Washington state’s mayors here in the other Washington this week! Thanks to @MayorCassie from Everett and @MyLongview Mayor Wallis for taking the time to meet with me and discuss what we can do together to help our communities. https://t.co/qLrBGBz8EP
PattyMurray,"I was in Seattle today to talk about the dire situation of the opioid crisis in WA state. I’m focused on passing legislation to help get people the support they need.

Thanks to @SeattleFire Chief Scoggins, Rep. Macri, &amp; folks from @aurora_commons &amp; @adai_uw for joining me today. https://t.co/NC8qe9MhO0"
PattyMurray,"This week I met with @WANationalGuard General Gent Welsh and his team to thank them for their service and hear more about their efforts to get new aircraft at Fairchild Air Force base.

We’ve got to support our servicemembers who have our backs every day. https://t.co/C8Uyt8JIbw"
PattyMurray,"Fentanyl deaths in King County doubled last year. Drug-related overdoses have skyrocketed. We’ve heard story after story about lost loved ones. This is a crisis.

I secured funding to help our communities with this, &amp; I’m working on legislation to do even more."
PattyMurray,"It’s going to take all of us standing together and speaking out about the importance of Roe v. Wade.

Share your story about how Roe v. Wade, and the right to make your own decisions about your body and your future, has impacted your life. https://t.co/OB2DMSAd6u"
PattyMurray,"Yesterday I had the opportunity to meet with a few folks from @washingtonea and thank them for all they’re doing to support Washington state students, educators, and staff. Their work is so important for supporting our students both in and out of the classroom. https://t.co/1mJuq9cnU4"
PattyMurray,"I’ve been pressing for info about the formula situation since Abbott’s massive recall in February. Manufacturers must act ASAP to get formula back on shelves. Parents won’t rest easy until they can get the formula their kids need, and I won’t rest either."
PattyMurray,"In WA state, we lost over 2,000 people to drug-related overdose deaths in 2021—a heartbreaking rise from just a few years ago &amp; why I'm focused on this.

I've managed to secure more federal funding to tackle this crisis &amp; I'm working on major bipartisan legislation right now."
PattyMurray,"Homelessness in Washington state has long been a crisis for our communities, and fixing it is one of my priorities. Today, I emphasized to @SecFudge the need to address homelessness in our communities and the urgency of this crisis. https://t.co/xUBDxwmp0p"
PattyMurray,Our nation’s child care system is on the brink of collapse and we absolutely have to act now to save it.
PattyMurray,"1,000,000 loved ones lost to COVID-19.

My heart is with everyone missing someone. The pain our families have suffered from the COVID-19 pandemic is unthinkably heartbreaking. We owe it to them to take action so we are never in a situation like this again."
PattyMurray,"American taxpayers shouldn’t have to subsidize corporations’ anti-union campaigns, but right now our tax code is actually rewarding union busters.

I'm introducing legislation with @SenBobCasey to fix this. #NoTaxBreaksForUnionBusting"
PattyMurray,"I introduced WA state’s own Judge Salvador Mendoza Jr at his @JudiciaryDems hearing.

As the son of farmworkers and a judge committed to ensuring a fair &amp; just legal system, he will bring the qualifications &amp; perspective we need to the 9th Circuit Court of Appeals. https://t.co/B769YOwDh4"
