handle,text
PeterWelch,"The infant formula shortage is hitting close to home for Vermonters. 

I'm cosponsoring new legislation to fix supply chain disruptions, so we can put more formula on shelves and make sure every family can access the formula they need.  https://t.co/RDewQFQRSy"
PeterWelch,"Today, @NatlHeadStart is celebrating their 57th anniversary. This program does such good work by providing essential services for low-income students and their families. I wish them a happy 57th birthday and many more years of service on behalf of working families. https://t.co/C9P6dqVuFp"
PeterWelch,"No one should face harassment, discrimination or violence because of who they love or how they identify. 

On the International Day Against Homophobia, Transphobia, and Biphobia, I’m standing in solidarity with the LGBTQ+ in the fight for a more welcoming world. https://t.co/HS29JFb9ag"
PeterWelch,"Rising costs have made it even harder for Vermont families to find affordable housing. 

I'm glad @POTUS has announced a new action plan to reduce the burden of housing costs for Americans. This is an important investment in working families. https://t.co/KL8gFLdiKf"
PeterWelch,Our communities need more than thoughts and prayers. Action is long overdue. 6/6 https://t.co/htByziJ1ve
PeterWelch,It has to stop. All of us must commit to doing everything we can to fight this hate and violence in America and to advance effective gun control that will keep dangerous weapons out of the hands of violent extremists. 5/6
PeterWelch,"This hateful ideology, coupled with easy access to dangerous firearms, puts our communities at risk, in particular Black, Asian, Latino, immigrant, Jewish, and Muslim communities. 4/6"
PeterWelch,"From online forums to cable news, racist, anti-Semitic, and Islamophobic ideas have become increasingly mainstream, increasingly tolerated, and widely propagated by certain people in power. 3/6"
PeterWelch,"In this moment, all of us must confront the truth: this act of violence is the product of white supremacist ideology. 2/6"
PeterWelch,"The lives lost in Buffalo this weekend were those of grandparents, church leaders, community advocates, friends, and neighbors. 

Their loss is immeasurable. They should still be with us today. 1/6"
PeterWelch,It’s incredibly important to give students access to the tools that can help them succeed. That’s why I was glad to help get funding for the Student Support Services program at NVU which will provide essential resources to first-generation and low-income students. https://t.co/cTrC77jG3O
PeterWelch,"In today’s world, high-speed internet is not a luxury, it’s a necessity. @POTUS’s new Internet for All Initiative puts billions in funding towards increased broadband access in underserved communities – that’s big news for Vermonters. To learn more visit https://t.co/uXPoY8jRZy https://t.co/FQE1JaB3Ny"
PeterWelch,"The national formula shortage has hit working moms especially hard. @POTUS just announced new steps to resolve the shortage and it's critical that suppliers solve this issue now to get formula supply back up to speed.

No parent should ever worry that they can't feed their child. https://t.co/pGSxaNBiLN"
PeterWelch,Congratulations to the winners of the 2021 Vermont Milk Quality Awards! Vermont dairy farmers work so hard to provide high quality products to consumers and I’m glad to see their accomplishments being recognized. https://t.co/CiuzvDwhli https://t.co/JN4L4TItg2
PeterWelch,"I completely agree, @JRosenworcel. For our rural kids, wi-fi  on school buses will help turn long commutes into opportunities to get online. So important as we work to get our kids back on track after school closures. https://t.co/Z3vMiBui2R"
