handle,text
RepAdamSmith,"I am committed to fighting for the people of Washington’s Ninth District and today I am thrilled to announce the 15 community project funding requests that I submitted for consideration in the FY 2023 appropriations bill. 

My full statement:
https://t.co/hli2Oz8Xag"
RepAdamSmith,"Infant formula shortages across the country are forcing parents to go to bed wondering how they will get their babies the food they need.

That's why today I'm voting to pass emergency funding to help fix the shortage and prevent it from happening again. #FeedOurInfants"
RepAdamSmith,"I commend these incredible students for their leadership, passion, and dedication. Their contributions have made our collective future brighter and look forward to seeing all that they will accomplish."
RepAdamSmith,"Congratulations to these students from Washington's 9th District for winning this award: Kathy Nguyen, Makena Yee, Saron Almaw, Gabriela Claravall, Hayley Park, Joey Liang, Joyce Lin, Jasmine Nguyen, Andrea Scallon, Sharlene Shirali, Sheharbano Jafry, and Wendi Zhou."
RepAdamSmith,"Each year, the Husky 100 recognizes top undergraduate and graduate students from @UW's Bothell, Seattle, and Tacoma campuses who making an impact on campus and in the community."
RepAdamSmith,"Today, on the fourth annual Asian American and Pacific Islander (AAPI) National Day Against Bullying and Hate we must denounce bullying, hated, and violence in all forms and recommit ourselves to building a more inclusive society.

My full statement: https://t.co/puqqdXwNJD"
RepAdamSmith,"Today the House passed H.R. 7309, the Workforce Innovation and Opportunity Act of 2022, which would reauthorize and strengthen our nation’s workforce development programs and make them more equitable for all individuals. 

My full statement:
https://t.co/maKeBRlynN https://t.co/TQbhF53C0O"
RepAdamSmith,"Learn more:
https://t.co/BJev5GAiCw"
RepAdamSmith,Parks and trails are essential to the health and prosperity of our families and our communities. The funding from the ORLP Program will help expand access to parks and trails across the United States and encourage more members of our communities to enjoy our beautiful outdoors.
RepAdamSmith,"Garfield Park in Seattle will receive $2,170,902 to install new play equipment, restrooms, a covered picnic area, a lighted pathway and to make improvements to the sports fields and landscape to turn the area into a high quality, comprehensive, multi-use park."
RepAdamSmith,"Be'er Sheva Park in the Rainier Beach neighborhood of Seattle will receive $491,446 for enhancements, including a fitness zone, a lighted walking pathway, exercise equipment, picnic tables, barbecues, bike racks, and a community gathering space."
RepAdamSmith,"Recently, @SecDebHaaland and Assistant Secretary for Fish and Wildlife and Parks @ShannonEstenoz announced $61.1 million in grant funding for communities across the country to create and upgrade parks and trails through the Outdoor Recreation Legacy Partnership (ORLP) program."
RepAdamSmith,"We must build a more inclusive society where every person, regardless of sexual or gender identity, is treated with the respect and dignity they deserve. I remain committed to working with the LGBTQ+ orgs in my district and across the country to protect and uplift this community."
RepAdamSmith,"Today we recognize International Day Against Homophobia, Transphobia, and Biphobia and call attention to the intolerable discrimination, hatred, and violence experienced by the LGBTQ+ community."
RepAdamSmith,"This week is #WomensHealthWeek. Take care of your own health and make sure you are getting the routine cancer screenings you need. 

Learn more:
https://t.co/jRn9S0kDkM"
RepAdamSmith,"May is National Drug Court Month. Treatment courts unite public health and public safety to offer an evidence-based alternative to incarceration.

I'm grateful for the work these courts do to save lives and improve communities in Washington's 9th District and across the country."
