handle,text
RepAlGreen,"We must continue speaking out against hate in light of the Buffalo, NY mass shooting. If we fail to prosecute hate, we fail our country. https://t.co/mj7UPjSzwQ"
RepAlGreen,"Homophobia is antithetical to American ideals &amp; has no place in our society. On International Day Against Homophobia, Biphobia, &amp; Transphobia, and every single day, I’m standing with the LGBTQ+ community to continue fighting for equal opportunity to love &amp; happiness. 🏳️‍🌈🏳️‍⚧️"
RepAlGreen,"Every May we observe Asian American Pacific Islander Heritage Month to honor the history, contributions, and accomplishments of the AAPI community. I could not have been prouder to celebrate it this year than with a visit to the @WhiteHouse alongside @POTUS and my AAPI friends. https://t.co/C1gl6lPXpZ"
RepAlGreen,"It was a pleasure to welcome Prime Minister of Greece Kyriakos Mitsotakis to our nation’s Capitol today. 🇬🇷

Thank you @kmitsotakis for reminding us of the common values and shared democratic principles that continue to unite our countries. https://t.co/nHGqFBtGcT"
RepAlGreen,"I VOTED! ✅

The foundation, security, &amp; success of our democracy relies on the power of the vote. 

So please dear friends, I implore you to head to polls &amp; be the change you wish to see in the world. 

For more on the May 24th election visit: https://t.co/VWCRjGa62i https://t.co/PrD05FC6Hw"
RepAlGreen,"Join us live now as we markup key legislation to benefit communities across our nation:
https://t.co/1zBGryT25w https://t.co/zwnhs0zgrq"
RepAlGreen,"Starting live now, you won’t want to miss it! https://t.co/pwAknEUSvV"
RepAlGreen,"The Buffalo massacre is not the first, and unless we so something, it won’t be the last. Tune in live now to https://t.co/NL8Dd3FMU8 with @rolandsmartin as we discuss more."
RepAlGreen,"It is always an honor to be back on home turf, especially to celebrate momentous milestones.

Congratulations to all @TexasSouthern Spring 2022 graduates! 🎓 #TSUProud #OnceATigerAlwaysATiger https://t.co/DdDygaNg77"
RepAlGreen,"Again, a white supremacist has senselessly murdered African Americans. Criminal prosecution is only part of the solution. We must not only denounce the white supremacist but also those who incite white supremacy. Those who tolerate hate perpetuate hate. Black lives still matter."
RepAlGreen,"Incredibly grateful to Qatar for extending a hand of friendship to Houston &amp; facilitating the construction of 5 soccer fields in #TX09.

These fields will allow the community to enjoy a safe recreational space &amp; reduce the risk of flooding along Sims Bayou.

Gooooooool! ⚽️ https://t.co/Rojfqlh5e7"
RepAlGreen,Going #LIVE now on @BlackPressUSA to discuss the implications of the leaked SCOTUS draft overturning Roe. Tune in 🔽 https://t.co/Bo5e9WMyfX
RepAlGreen,"In this morning's @FSCDems hearing, I had the opportunity to touch upon the American Rescue Plan during @SecYellen's testimony. WATCH: https://t.co/L0jRgnbKv7 https://t.co/e2NQbScPWq"
RepAlGreen,#Today @FSCDems are welcoming @SecYellen to hear more about important steps being taken to strengthen the Financial Stability Oversight Council and build a resilient financial system &amp; economy. Join the discussion happening LIVE NOW here: https://t.co/K1qrIPncH5 📺
