handle,text
RepArmstrongND,I caught up with the North Dakota Petroleum Marketers in DC today. We are working to address the shortage of CDL drivers in the state to help get our goods to market. https://t.co/ZQx9FK7DEh
RepArmstrongND,Small businesses are critical for North Dakota's communities. Emily Pogatshnik of Bismarck and Nick Paulson of Fargo both own small businesses in our state. They shared with me how they use social media to stay connected with their customers across the country. https://t.co/k6WGsiOWyF
RepArmstrongND,"Great to meet Tyler and Kevin with @sfg_companies, which has its markets division in Fargo. https://t.co/v0xig7uRLN"
RepArmstrongND,Thank you to @alzMNND for sharing with me your vision for a world without Alzheimer’s and other dementia. #ENDALZ https://t.co/l7AHM8ruPF
RepArmstrongND,"I appreciate Donn Diederich with Industrial Builders, Inc. in Fargo for the discussion about helping alleviate the workforce shortage and supply chain issues affecting North Dakota's construction industry. https://t.co/jYbhGZ6AMn"
RepArmstrongND,"Happy Syttende Mai! Today, Norway celebrates its constitution, and in the US, this day has become a celebration of Norwegian heritage. Nearly 200,000 North Dakotans are of Norwegian ancestry, which is the most per capita in the nation. 🇺🇸🇳🇴

https://t.co/jQMUOX32Yv"
RepArmstrongND,I met with Ed O'Keefe and Robbie Lauf for an update on the @TRPresLibrary. I look forward to seeing this project honoring our 26th president come to life in North Dakota. https://t.co/aWG7L3MB4D
RepArmstrongND,Thank you to Nick Archuleta and Brenda Seehafer from @NDUnited for a discussion about addressing our state's educator shortage and the importance of supporting our students. https://t.co/4fqpPJAK62
RepArmstrongND,Leaders with the North Dakota Chiropractic Association stopped by my office this week to talk about efforts to expand chiropractic care access for all patients in our state. https://t.co/rQXWXfIoov
RepArmstrongND,"The CDC needs to explain to the American people what authority it has to collect their location data.

If the CDC made an unauthorized purchase of location information, its reputation and ability to carry out its mission will suffer.
https://t.co/jzbscuvvyC"
RepArmstrongND,"More than 200 @NDNationalGuard members are stationed in DC as part of Operation Noble Eagle. @SenJohnHoeven, @SenKevinCramer, and I hosted them at the U.S. Capitol this week to thank them for their service to our state and nation. https://t.co/O6c0xhf62Z"
RepArmstrongND,"We will never forget Lt. Adam Gustafson's service to our state. He is deserving of this honor.
https://t.co/nsY1hlppXm"
