handle,text
RepBost,"Big win for free speech – Biden’s Disinformation Governance Board was sidelined &amp; its executive director has resigned. This board has been a First Amendment nightmare from the start, which is why my Republican colleagues &amp; I were fighting to shut it down.
https://t.co/IholsMWwZr"
RepBost,"I cosponsored the Thin Blue Line Act, which would make the murder or attempted murder of police &amp; first responders an aggravating factor in federal death penalty determinations. I also joined over 50 of my colleagues in urging Speaker Pelosi to bring this bill up for a vote ASAP. https://t.co/Qqiigz0H7D"
RepBost,"In 2021, 73 police officers were killed in the line of duty. There must be serious consequences for those who target our police and first responders."
RepBost,"You can read the brief here ↓

https://t.co/yGUYbS9T4s"
RepBost,"As long as Planned Parenthood is performing abortions, they should not receive taxpayer funded Medicaid dollars. 100+ of my colleagues &amp; I signed an amicus brief urging the Supreme Court to give individual states the right to determine what providers can receive Medicaid funds."
RepBost,"No surprise that Biden’s anti-American energy policies aren’t working.  (2/2)

https://t.co/tGcGfq9jkb"
RepBost,"Remember when President Biden said that tapping into the Strategic Petroleum Reserve was going to lower gas prices? A month and a half later, gas prices topped $4 per gallon in every state for the first time EVER. And the average price of gas in IL is $4.84 per gallon. (1/2)"
RepBost,"Today, on Peace Officers Memorial Day, please join me in honoring the brave men and women in blue who have lost their lives in the line of duty. We are forever grateful for their service to our communities. https://t.co/CHFyLpLClF"
RepBost,"While VA home loans have given millions of veterans the opportunity to purchase a home, many are forced to wait longer to complete the closing process than non-veterans. My bill would modernize the VA’s process so that they can move into their new home as quickly as possible."
RepBost,"This week, I introduced the Improving Access to the VA Home Loan Act to help streamline the home buying process for veterans and their families. 

https://t.co/Tw6Hj9O0jA"
RepBost,"In honor of #NationalPoliceWeek, my Republican colleagues &amp; I held a press conference to pay tribute to our nation’s men &amp; women in blue. Our police officers deserve our gratitude this week &amp; every week of the year. Thank you to our Southern IL police officers for all you do! https://t.co/eDtfq2Vg0a"
