handle,text
RepBrianHiggins,"This is a community that rallies together in good times and bad. Today and everyday we are #OneBuffalo. Many thanks to the @buffalobills, @buffalosabres &amp; @buffalobandits who came out to support and serve the community. https://t.co/bxMeer0o7v"
RepBrianHiggins,"We need to give our communities and law enforcement the tools to root out and hold accountable racist and radicalized individuals who are threatening and terrorizing our neighborhoods. 

Tonight we start with a House vote on the Domestic Terrorism Prevention Act."
RepBrianHiggins,Racist garbage. US conservative leaders should renounce this out of respect for the victims of our community. https://t.co/j80UKVHDwv
RepBrianHiggins,"The @POTUS &amp; @FLOTUS lead with compassion and conviction.

Thank you for being here in Buffalo to listen &amp; grieve with a community that is hurting and to reaffirm that there must be no tolerance - here or anywhere in this country - for racism and hate. https://t.co/cMkZBoDCJq"
RepBrianHiggins,"Thank you, @POTUS &amp; @FLOTUS. Our hearts are heavy, but our community is resilient. It's time to get to work to bring out the best in Western New York &amp; our country. https://t.co/L2dDgxWSpP"
RepBrianHiggins,"Speaking at Delavan-Grider Community Center:

""The hope is that we will find a way to stop the violence and hate in this community, this country, and throughout the world."" https://t.co/SJpYYtaVLo"
RepBrianHiggins,Watch @POTUS speak to our community at Delavan-Grider now:  https://t.co/ZXQySm1rfy
RepBrianHiggins,Inside the Delavan Grider Community Center where community leaders &amp; victims’ families are gathering to hear remarks by @POTUS following the racist mass shooting in Buffalo. https://t.co/k7w6yvpDbV
RepBrianHiggins,"Right now, @POTUS and @FLOTUS paying their respects to the victims outside Tops on Jefferson.

📷: @JonLemire https://t.co/Xjmi6PbqsL"
RepBrianHiggins,"It is a solemn day. We welcome @POTUS and @FLOTUS to WNY to help our community grieve and try to heal. 

📷: @buffaloscribe https://t.co/ska88cjQ3v"
RepBrianHiggins,"Tonight on the House floor we remembered the victims of the horrific mass shooting in Buffalo.

I am grateful to my colleagues who joined in supporting our community.

We need action and unity in the fight against racism and hate. https://t.co/1iiCj4ABmy"
RepBrianHiggins,"For those in ZIP codes 14208 &amp; 14209: ride-share companies Lyft and Uber have agreed to provide rides to and from local grocery stores: Tops Friendly Markets (425 Niagara Street, Buffalo) and Price Rite (250 Elmwood Avenue, Buffalo).

@lyft code: BuffaloLyftUp
@Uber code: SHOPBUF"
RepBrianHiggins,"Victim &amp; crisis resources announced by @GovKathyHochul &amp; available to residents in response to the Buffalo shooting:

https://t.co/928MITQI36"
RepBrianHiggins,On Tuesday @POTUS and @FLOTUS will come to Buffalo as our community grieves and heals. https://t.co/ubGTTkLu2t
RepBrianHiggins,"Thank you, @POTUS. Hate &amp; racism have no home in Western New York. Let’s work together to make sure Buffalo is the last community to experience this tragedy. https://t.co/YagR5j6Jl9"
RepBrianHiggins,A statement from @VP Kamala Harris on the tragedy that took place yesterday: https://t.co/TVJ5YIThhs
RepBrianHiggins,"The @FBIBuffalo is asking the community to share information and videos from yesterday's shooting in Buffalo.

Go to: https://t.co/mnlJarHxN2"
RepBrianHiggins,My full statement on the mass shooting: https://t.co/oOt0zggcZO
RepBrianHiggins,Statement out of the @WhiteHouse from @POTUS Biden: https://t.co/SOCKHusbp9
RepBrianHiggins,Statement from @TheJusticeDept https://t.co/FvGk5xJhx4
RepBrianHiggins,Horrified by the mass shooting in Buffalo. We are in communication with local leaders and authorities to offer any federal support necessary.
RepBrianHiggins,"Indian boarding schools damaged native language &amp; culture, forever impacting indigenous communities.

We thank @SecDebHaaland for including the Thomas Indian School, Tonawanda Mission, &amp; Seneca Mission in the Federal Indian Boarding School Initiative.

https://t.co/Mnp68CABED"
RepBrianHiggins,We will fight to ensure everyone is stepping on an airplane with a fully trained pilot. https://t.co/ooSHXh9Hy5
RepBrianHiggins,We recently had the opportunity to meet with Dr. Siddiqui for an update on how innovation and collaboration at the @JacobsInstitute are helping drive advancements in medicine. https://t.co/tPI1JzdPht
RepBrianHiggins,"It was a pleasure meeting with 2020 National Teachers Hall of Fame inductees from WNY, Andrew Beiter and Thomas Knab. A well-deserved honor for these educators and forward-thinking advocates in the classroom and beyond. https://t.co/2FdaUoHiXi"
RepBrianHiggins,"Great meeting with Serena Kotch, a Spanish teacher at @CleveHillHS, @NEAToday Regional Director for New York! We discussed the challenges facing today’s teachers and how we can best support educators at the federal level https://t.co/1NpC0eObrr"
RepBrianHiggins,"During #NationalNursesWeek we'd like to send a special thank you to all of the WNY nurses working hard daily to keep our community healthy and safe. From working on the front lines of the pandemic to the everyday sacrifices made, we are grateful for your service to the community. https://t.co/B3WrCwPpyl"
RepBrianHiggins,"After the Flight 3407 tragedy we fought alongside @3407Families to implement flight safety measures.

Republic Airways is asking @FAANews to cut training hours from 1,500 to 750. To prevent another tragedy we are calling on the FAA to reject this request.

https://t.co/SoH1Hxiyej"
RepBrianHiggins,".@GovKathyHochul is working to transition the North Aud block at Canalside from vacant to vibrant.

A $10M infrastructure investment will lay the groundwork for new private sector development that embraces Buffalo's Erie Canal history while fueling Buffalo's economic future. https://t.co/z6PF20tgrn"
RepBrianHiggins,"Maritime Heritage Grants, administered by the @NatlParkService, help preserve the lessons from our maritime &amp; military history.

We are advocating for grant funding to support preservation efforts for the USS The Sullivans, USS Little Rock, &amp; USS Croaker at the @BfloNavalPark. https://t.co/M682fT1RuK"
RepBrianHiggins,"$2M in federal funding coming to help transform Buffalo's Centennial Park.  

More from @SPECNews1BUF: https://t.co/gQ9uxHubnh"
