handle,text
RepCardenas,"Great news! Portions of my #988Implementation Act passed out of @EnergyCommerce today and is headed to the House floor for a vote!

My legislation secures crucial funding for 988 infrastructure. We must be prepared to help those in need. https://t.co/ZkH5JzkBdW"
RepCardenas,"Yesterday I met with students at Van Nuys High School. It’s so inspiring to see how passionate our young people are about issues impacting our community. 

I'm looking forward to seeing these Valley kids become leaders! https://t.co/HbIFTni6ju"
RepCardenas,"Valley families are feeling the pain of going to the grocery store and seeing empty shelves with no infant formula.

Today I'm voting to pass emergency funding to address this shortage immediately and help prevent it from ever happening again. 
https://t.co/b5OmvqU3Xs"
RepCardenas,"Spanish language disinformation is running rampant on encrypted messaging apps.

I led a letter with @SenatorLujan and @SenatorMenendez calling on tech companies to increase their resources to monitor and stop the spread of disinformation.

https://t.co/etSm4In4wD"
RepCardenas,Today would be a great day for President Biden to deliver on his promise to #CancelStudentDebt. https://t.co/DxcIqTNp5K
RepCardenas,"Applaud @TMobile @CTIA leadership on the @FCC order which is crucial to ensuring individuals in crisis have the optimal end user experience when texting the 988 Lifeline. This is a positive step forward as we prepare for the launch of 988! 
https://t.co/sYUNt8FaYp"
RepCardenas,"When police officers put their badge on every morning, they don't know what the day has in store for them, but they do know they're willing to put their life on the line if they have to.
 
During #NationalPoliceWeek, we honor that sacrifice. https://t.co/BjXWqk03s3"
RepCardenas,"President Biden just made more free COVID tests available. You can receive up to 8 per address.

Get yours now ⬇️
https://t.co/y6LiDd4PKR"
RepCardenas,"We currently have record low unemployment and job growth, yet job openings currently exceed applicants and employers are struggling to find skilled workers. 

Today I'm voting for the Workforce Innovation and Opportunity Act of 2022 to help solve this problem. ⬇️ https://t.co/3cNYGEBMoe"
RepCardenas,"On this International Day Against Homophobia, Transphobia and Biphobia, I recommit my support of the LGBTQ community and condemn hatred &amp; discrimination against it. 

No one should have to live in fear of being who they truly are. #IDAHOBIT https://t.co/ZbCx4yK45P"
RepCardenas,"At 1 p.m. ET/10 a.m. PT I'll be speaking on @TheHillEvents’ Mental Health Summit about my 988 Implementation Act and other legislation that I've worked on to help improve mental health care in the U.S.

Tune in! https://t.co/TDxzNRsRuG"
RepCardenas,Today President Biden signed my Safe Sleep for Babies Act into law. Parents will finally have peace of mind knowing unsafe inclined sleepers and crib bumpers are banned. https://t.co/1ceIaw1HPV
RepCardenas,"Happy 30th anniversary, Norma! Here’s to another year of making memories together with our beautiful family. https://t.co/kjvl5V0jiz"
RepCardenas,"Planes are falling out of the sky, people are dying and our community is suffering. 

That’s why I’m calling on Los Angeles County to temporarily shut down Whiteman Airport while the FAA investigates its safety and operation standards. 
https://t.co/Vlp1KfzREV"
RepCardenas,"Today another tragedy has struck, this time close to home. Praying for the Geneva Presbyterian Church congregation and Laguna Woods community.

https://t.co/bDSTwSmLsp"
RepCardenas,I couldn’t be more proud to stand up for abortion rights with @womensmarchla today. We will continue the fight to codify Roe v. Wade and protect the right to choose. https://t.co/yJuTzeHeyT
RepCardenas,"Devastated and horrified by this senseless act of violence rooted in extremism and white supremacy. 

Praying for the victims, their families and the Buffalo community."
RepCardenas,"Parents shouldn't have to go on a search for formula to feed their babies.

Now, corporations are adding to their stress by increasing prices to profit from this shortage. You can report price gouging to your state AG:

https://t.co/unEb3Hd2lw"
RepCardenas,"Today, on what would've been his 81st birthday, we dedicated the Pacoima Post Office to the late rock 'n' roll legend, Ritchie Valens. We also unveiled a mural that will be installed in June.

May Ritchie's memory and music continue to live on in our hearts and community. https://t.co/g65J41oOfq"
RepCardenas,"Miguel Gonzalez was a visionary, businessman and immigrant. A co-founder of Vallarta Supermarkets, he brought a taste of home to Mexican-Americans in Southern California and was beloved by his community. We were honored to welcome his family to the Capitol this week. https://t.co/m1YILf6zhp"
RepCardenas,See you soon! https://t.co/pwJbOWBvLK
RepCardenas,"We're having a dedication ceremony for the Ritchie Valens Post Office tomorrow, and YOU are invited! Come by to hear community leaders speak and celebrate with us. https://t.co/6ayo6fkgZD"
RepCardenas,"High school students who graduate this year can expect to end up with as much as $40,000 in loans. 

We need loan forgiveness for those who have student debt NOW and a plan to keep future students from ending up saddled with the same costs.

https://t.co/lPveIqQFJy"
