handle,text
RepChrisPappas,"I just voted to pass legislation to increase access to formula and provide relief to families. 

We must do more to protect the health and well-being of America’s children, and I’ll keep fighting so New Hampshire families can get the formula they need.

https://t.co/XCiMxMW4dy"
RepChrisPappas,"Advancing this legislation is a victory for toxic-exposed veterans who have waited too long for us to uphold our promise to them. 

We're now one step closer to getting this done.

https://t.co/1SDZEfrHat"
RepChrisPappas,"We must do more to invest in and develop New Hampshire's workforce. That's why I voted to pass legislation that will help Granite State businesses fill current openings, expand job training programs, and spur economic growth across our state. 

https://t.co/PC2okrr03b"
RepChrisPappas,"As a negotiator working to craft bipartisan manufacturing and competitiveness legislation, I’m committed to being NH's voice in this process. I’ll fight for Granite State businesses and workers so that the future is made right here in New Hampshire. 

https://t.co/2tSNOS8kAZ"
RepChrisPappas,"We need an all-of-government approach to address the baby formula shortage impacting New Hampshire families, and I’m calling on @POTUS to swiftly take additional action.

This shortage is alarming. We can’t allow it to go on. 

https://t.co/3picdSdHRV"
RepChrisPappas,"It was an honor to escort Greek Prime Minister @kmitsotakis to the House Chamber this morning for his joint address to Congress.

Great to celebrate the bicentennial of Greek independence and our nations’ strong bilateral relationship rooted in our shared democratic values. https://t.co/nBZMlea6rm"
RepChrisPappas,"While these additional H-2B visas are a step in the right direction, more action is still needed from this Administration to address our workforce needs. I’ll keep fighting for changes to the H-2B program to support Granite State small businesses. 

https://t.co/8QlJMbgDik"
RepChrisPappas,"During #EMSWeek, we thank and celebrate the men and women in EMS who play vital roles in our communities. 

Our EMS community provides lifesaving services each and every day, and they’re often the first to run into harm’s way to keep us safe. Thank you for all you do. https://t.co/xDxIkSAoOs"
RepChrisPappas,"No one in New Hampshire has gone untouched by the opioid and addiction epidemic continuing to harm our communities and families. I’m committed to doing all that I can to get dangerous drugs like fentanyl out of our neighborhoods and save lives.

https://t.co/xLuAwpBss9"
RepChrisPappas,"Thousands of Granite Staters have written in or called one of my offices to voice concern about the report of the Supreme Court’s decision to overturn Roe. 

I’ll never stop fighting to protect the right to safe, legal abortion.

https://t.co/YssWxcYeLp"
RepChrisPappas,"Interested in attending any of our country’s service academies? Join us for New Hampshire Service Academy Day on May 21st. 

Learn more here:

https://t.co/RjP9Xf31yQ"
RepChrisPappas,"Here at the Supreme Court to stand in support of the right to safe, legal abortion.

If the Court won’t defend a woman's right to make their own health care decisions, then we must answer the call of the vast majority of Americans and pass legislation to codify Roe. https://t.co/ZTMUeV9f3s"
RepChrisPappas,"Great to catch up with Capt. Patrick Cheetham from the Londonderry Police Department here in Washington for National Police Week! I hope you enjoyed your tour of the Capitol. 

Thanks for stopping by my office! https://t.co/ZjqDXFssL8"
RepChrisPappas,"I strongly oppose the Biden Administration’s proposed sale of weapons and equipment to Turkey. 

Their increasingly belligerent rhetoric and behavior towards Greece, a reliable democratic NATO ally, cannot be ignored. 

https://t.co/cS16LWQkqq"
RepChrisPappas,"Our firefighters put their lives on the line every single day to keep our communities safe. 

Yesterday, I proudly supported this measure to ensure our firefighters are able to access the health care benefits they have earned. https://t.co/8MSR6ZBWb7"
RepChrisPappas,"As a member of the committee negotiating the critical domestic manufacturing and competitiveness legislation in Congress, I’m committed to being New Hampshire’s voice in this process.

We can make this century another American century and outcompete the world. Let's get to work. https://t.co/XHq6RCrlDQ"
RepChrisPappas,"This morning I joined Republicans and Democrats to mark #PoliceWeek and urged passage of the Invest to Protect Act. This bipartisan bill I helped introduce provides funding to small police departments and will support NH law enforcement.

It's time for leadership to call a vote. https://t.co/wVKalkA2ll"
