handle,text
RepCohen,"If Republicans take control of Congress, they will outlaw abortion in all 50 states. Not just Mississippi, Texas and all these red states, but EVERYWHERE. We can’t let that happen. https://t.co/Jcf0vouLVx"
RepCohen,"Our democratic system is built on checks and balances. As Chairman of the Subcommittee on the Constitution, Civil Rights, and Civil Liberties, I continue to examine reforms to ensure no President can misuse or abuse emergency authorities. https://t.co/05L5IQci12"
RepCohen,"I was proud to sponsor this $3 million project to improve Tom Lee Park, along with 9 other projects to bring nearly $12 million back to Memphis and Shelby County. https://t.co/2lY7vWhgMn"
RepCohen,"The Kremlin weaponized Russia’s deposit insurance system to target opponents and shield sanctioned oligarchs, so I sent a letter with @RepJohnCurtis recommending @POTUS and @SecBlinken sanction the Deposit Insurance Agency to help fight Russian kleptocracy and protect dissidents. https://t.co/38bES3dgVu"
RepCohen,We’d have a President!
RepCohen,@TigersAthletics And the  iconic Scripps-Howard American flag?Not party of Liberty Stadium?
RepCohen,Return to sender…address unknown
RepCohen,DeJoy was no joy to the postal employees and customers.Hit the road Jack…. https://t.co/p9HnVgBNRf
RepCohen,If only… https://t.co/xG2Ytm2nt7
RepCohen,"@JTStacy @therowanator62 @memphistigerjeb @jmtigers1974 @jayharvey1 University has given me two of its most prestigious awards, the eye of the tiger award and the most distinguished alumni award. So I have to say  that I’ve been there since day one ,every day as both of state senator when I passed the lottery for scholarships"
RepCohen,@hsvtiger1 @JTStacy @therowanator62 @memphistigerjeb @jmtigers1974 @jayharvey1 Always advocating for U of Memphis. Never have refused a request and have helped with many grants and earmarks. @uofmemphis my law alma mater.
