handle,text
RepDanKildee,"My bill is named after Bob von Schwedler, who worked at Delphi for 36 years before losing his pension and benefits. The Health Coverage Tax Credit was critical in helping Bob beat cancer. My bill will restore and increase this critical program to help more people like Bob. https://t.co/p0qby1egMb"
RepDanKildee,"Every Michigander deserves access to quality, affordable health care, including Delphi Salaried Retirees and those who lost jobs due to bad trade deals.

That’s why I just introduced legislation to lower health care costs for these workers and retirees.
https://t.co/6JqwXpDJ3m"
RepDanKildee,"Congratulations to Little Miss Flint! Since the start of the Flint water crisis, when you were only 8 years old, you have advocated for our community with determination and grace. Our community is grateful for your voice.
https://t.co/UECk3xgrKZ"
RepDanKildee,I'm working on legislation to fix our broken supply chains by making more things in Michigan—including semiconductors so important to automotive jobs. https://t.co/jou3mQVfzj
RepDanKildee,"I helped pass bipartisan legislation to quickly clean-up these forever chemicals from our drinking water and hold polluters accountable, and I’ll keep fighting to keep Michiganders safe from these dangerous forever chemicals.
https://t.co/DAQA2DTxNf"
RepDanKildee,"Congratulations, TK, on this huge achievement. Morehouse College is going to be lucky to have you!

I’ll keep working in Congress to ensure our schools and teachers have the resources to help every child succeed.
https://t.co/9HQDc3mjl8"
RepDanKildee,"My heart breaks for the Buffalo community &amp; for the families who lost their loved ones in this racist and hateful attack.

We must combat gun violence and the rise of violent extremism happening in our country.

In Congress, I’ll keep working to pass common sense gun reform."
RepDanKildee,Helping to lower gas prices is one way that we can immediately put more money back in the pockets of working families. Congress should pass my bill to suspend the federal gas tax to lower prices at the pump and cut taxes for Michiganders.
RepDanKildee,"I am honored to receive an A on this years’ @stopbigmoney democracy scorecard.

In Congress, I will always fight to protect and expand the sacred right to vote, stop corruption and bring Republicans, Democrats and Independents together to protect our democracy. https://t.co/XtZSegRkrj"
RepDanKildee,"To the men and women who serve our country, happy #MilitaryAppreciationMonth. I am forever grateful for your service and sacrifice.

In Congress, I'll keep working to ensure you receive the resources and benefits you’ve earned. https://t.co/kGUPrGKtRw"
RepDanKildee,Everyone should feel safe in their community. That’s why I’m proud to introduce legislation to increase funding for mid-Michigan police departments to help reduce crime and keep our neighborhoods and communities safe. https://t.co/lI0PgFDKtw
RepDanKildee,"Today, Congress held the first #AmericaCOMPETESAct conference to work on a bill to fight inflation &amp; lower costs for MI families. My priorities are:

➡️ Boost domestic production of semiconductors
➡️ Help communities hurt by unfair trade deals
➡️ Bring manufacturing back to MI"
RepDanKildee,"This #NationalPoliceWeek, and every week, I am grateful for our local law enforcement, and leaders like Sheriff Swanson, who work to keep our communities safe.

In Congress, I have written legislation to fund local law enforcement so they can hire and train more officers. https://t.co/niDqCNBVKZ"
RepDanKildee,"By cleaning up contaminated and blighted properties, we can strengthen neighborhoods and improve the quality of life for mid-Michigan families. Thanks to the Bipartisan Infrastructure Law, we are making these investments to create new economic growth &amp; opportunities in Michigan. https://t.co/GWEUSlUdCa"
RepDanKildee,"I’m meeting with Republican and Democratic leaders from the House and Senate to find compromise on our legislation to strengthen U.S. supply chains and boost domestic chip production:
https://t.co/HFbsZQFFav"
RepDanKildee,"Our firefighters put themselves in harm's way to protect us. We have to protect them when they get injured or sick on the job.

That’s why I voted to ensure federal firefighters have access to the same compensation and benefits as other firefighters across the country."
