handle,text
RepDavidTrone,"@RepDonBeyer Thanks, @RepDonBeyer. Always appreciate the support — and so do our first responders! Especially during #NationalPoliceWeek."
RepDavidTrone,"🚨Tonight, my bill, the #PublicSafetyOfficerSupport Act, PASSED in the House. I introduced this bill in honor of Montgomery County Police Officer TJ Bomba, who died by suicide in 2019. I spoke on the House floor on why this bill does right by our first responders &amp; their families https://t.co/tGn44sOORb"
RepDavidTrone,"Tonight, I proudly voted to improve families’ access to baby #formula. It should be a no-brainer to ensure every American child has access to safe nutrition. Based on tonight's vote, thankfully we have enough folks willing to put partisanship on the shelf and help feed our kids!"
RepDavidTrone,"This year, I requested $1.5 million in #CommunityProjectFunding for Garrett County! Over the last year, we worked with community leaders to identify projects that will have the greatest impact on the community.
Learn more about our community projects here:
https://t.co/SWBPIosRCk https://t.co/rBFMvB3lCZ"
RepDavidTrone,The families in Maryland have felt the pain of the infant formula shortage firsthand. That is why I am voting with @HouseDemocrats to get the FDA the resources it needs to address this shortage &amp; help prevent it from ever happening again. #FeedOurInfants https://t.co/LBnIrgleqn
RepDavidTrone,"Always proud to work with my #NewDem colleagues to advance effective policies that make a real difference in Americans’ lives. This year marks 25 years of @NewDemCoalition promoting impactful, common-sense legislation. Here's to 25 more!"
RepDavidTrone,"With the Senate’s bipartisan deal on the House-passed Honoring our PACT Act, which includes my FASTER Presumptions Act, we are one step closer to delivering health care to veterans exposed to toxins during service. Thank you to @VetAffairsDems @RepMarkTakano for his leadership. https://t.co/YcdF7JvBAv"
RepDavidTrone,"Today marks @NatlHeadStart's 57th anniversary! Over nearly 6 decades, #HeadStart has helped 39+ million American children and their families succeed. Together, we're prioritizing our youth and ensuring no family suffers from educational inequity. #GetaHeadStart https://t.co/VWGcha0UJE"
RepDavidTrone,"I'm proud to announce that $10.8 million in #CommunityProjectFunding is coming to Frederick! Over the last year, we worked with community leaders to identify projects that will have the highest impact on the community. 

Learn more about our projects here: https://t.co/SWBPIosRCk https://t.co/Kr0Y2X8xR4"
RepDavidTrone,"Nobody should face discrimination for who they are. Everyone deserves acceptance — regardless of who they love. On this International Day Against Homophobia, Biphobia, and Transphobia, I'm committed to protecting LGBTQIA+ folks and bringing an end to hate and bigotry. #IDAHOBIT https://t.co/Gv27tLTC4R"
RepDavidTrone,"Today, alongside 150 of my @HouseDemocrats colleagues, I urged @POTUS to continue working to address the shortage of infant formula. We're taking action to get infant formula back on shelves and prevent a shortage like this from ever happening again.
https://t.co/p49DDujSL5"
RepDavidTrone,"I had the honor of showing @SecMartyWalsh around our district last year, including attending a roundtable on substance use disorder. He's the real deal. At @USDOL, he's ensuring folks with #SUD have the support and treatment they need to get back on track. https://t.co/DFw1LSHkSp"
RepDavidTrone,Modernizing our @DeptVetAffairs medical facilities couldn't be more important. Our #veterans have served our country honorably - they deserve top-notch health care. We can't afford to sit pretty. Thank you to @ColinAllredTX and @SenatorTester for addressing this issue. https://t.co/uygROl0JFX
RepDavidTrone,"I'm thrilled to announce nearly $33 million in #CommunityProjectFunding requests for our district. This is nothing short of a team effort among our state and local leaders to help us get the job done. Today, we're highlighting the CPFs in Allegany County!
https://t.co/SWBPIosRCk https://t.co/qteaFMPPGH"
RepDavidTrone,"This #NationalPoliceWeek, I'm thinking of all the sacrifices our law enforcement officers and their families make to protect us every day. This week, and every week, we tip our hats to police officers across Maryland — your service doesn't go unnoticed! https://t.co/400KH9fqxc"
RepDavidTrone,"So glad to hear you’re ok and on the mend, @ChrisVanHollen. Sending best wishes for a speedy recovery, and looking forward to seeing you back in action in Western Maryland soon! https://t.co/ACf2aa8iKr"
RepDavidTrone,"This is wonderful news. We couldn't be happier to hear that Bridget is now with her new family, the Graves, safe and sound in Maryland. https://t.co/z8qSPrBUE9"
RepDavidTrone,"As a dad, I know how scary it can be to not have the supplies to feed your child. @HHSGov launched a new webpage that provides resources that parents use to obtain #formula, including contacts with companies, food banks, and health care providers. https://t.co/eRdTTIrPEG"
RepDavidTrone,"I’m proud to be ranked among the most bipartisan members of Congress! We put our differences aside and worked across the aisle to tackle problems, find solutions, and help everyday Americans. It's the only way to get the job done. https://t.co/w43DFbj1Kn"
RepDavidTrone,"Thanks to the #BipartisanInfrastructureLaw, we are bringing high-speed internet to EVERYONE across the U.S.

The #internetforall initiative is investing $45 billion to provide internet for all Americans by the end of the decade. https://t.co/QBgpMOKRJe"
RepDavidTrone,"Over 107,000 Americans died from drug overdoses last year.

This crisis started with Big Pharma valuing profits over people's LIVES and I won't stand for it.

Enough is enough. It's time for real change. https://t.co/l7tKCpY6aN"
RepDavidTrone,"It’s official: I’m a grandfather! Meet my first grandchild, Chase Richard Clinch. As you can tell, he’s thrilled to be joining the family. Chase and my daughter Michelle are doing great. First selfie with grandpa ✅ https://t.co/0i1VNWgnh8"
RepDavidTrone,"This week, Maryland was ranked as the 5th best state in the nation to be a police officer. It comes as no surprise to me — Maryland's first responders work tirelessly to keep our communities safe, and I couldn't be prouder. #NationalPoliceWeek https://t.co/oSqSH3sQE1"
RepDavidTrone,@JanGardnerExec This is great news for our students and educators! Congratulations! Can't wait to visit.
RepDavidTrone,"I’m proud to have received an A+ on the @stopbigmoney scorecard. We must protect the freedom to vote, stop corruption, and strengthen ethics and accountability in Congress. https://t.co/fO1U5XEi3E"
