handle,text
RepDerekKilmer,"As a parent, I know how important it is to ensure your kids have the nutrition they need. The current infant formula shortage is unacceptable. That’s why I’m voting for legislation to get the FDA the resources it needs to address this shortage and prevent it from happening again. https://t.co/YH8STXleqq"
RepDerekKilmer,"As a dad, I know how much our kids learn in the first few years of their life, and how important it is to their success down the road. Join me in celebrating the 57th Anniversary of Head Start, which provides terrific preschool programs to children and families across the nation! https://t.co/Gl4fp07iUf"
RepDerekKilmer,"For 25 years, the New Democrat Coalition has been committed to advancing policies that make our economy and our government work better for folks. That mission is more important than ever!

Proud to be a #NewDem. #25YearsofNewDems @NewDemCoalition https://t.co/1ePppivj8f"
RepDerekKilmer,"Every home in the U.S. is eligible to order a 3rd round of free at-home COVID-19 tests. Order yours today ⬇️ 
https://t.co/sc19IA6Whw"
RepDerekKilmer,"As families are feeling pinched by rising gas and home energy fuel prices, major oil companies are posting record profits. That's why I'm supporting @RepKimSchrier's legislation to stop price gouging at the pump and help bring down costs for Washingtonians.https://t.co/FjacaeN40Y"
RepDerekKilmer,"Great to be back at Washington's oldest, longest continuing running festival - the Sequim Irrigation Festival! This year marked the 127th consecutive year of the terrific festival, where the community celebrated everything that makes Sequim ""our little piece of heaven."" https://t.co/fEO6avuIS8"
RepDerekKilmer,"I support reproductive freedom and I support the ability of people to make decisions about their own bodies. I was proud to stand with hundreds of folks in Kitsap County this weekend who believe in that, too. I’ll keep working to protect every person’s right to choose. https://t.co/BukjLIUa5e"
RepDerekKilmer,"Every time I meet with young people from our region, I'm reminded how bright the future is! It was terrific to meet with the outstanding fellows from the Institute for Democratic Future - who represent the next generation of Democratic civic leaders from across Washington State! https://t.co/gqAJ4pebRj"
RepDerekKilmer,Thank you to retired Sen. Jim Hargrove and the faith leaders and mayors of Grays Harbor for a wonderful prayer breakfast last week! https://t.co/xGulo00ExP
RepDerekKilmer,"Super catching up with Brig. Gen. Gent Welsh, the Commander of the Washington Air National Guard. Please join me in thanking all those who serve in the Guard! @WAANGCC https://t.co/SHrkheqllV"
RepDerekKilmer,Awesome visiting with the team from the Washington Education Association. We discussed the importance of filling teacher shortages and addressing youth mental health challenges. We’ll keep at it! @washingtonea https://t.co/cnOVHpCIpX
RepDerekKilmer,"It's Puget Sound Day on the Hill! Great to meet with tribal leaders and environmental champions from our region to discuss how we can keep making progress in our effort to restore habitat, improve water quality, and improve shoreline resilience. I'll keep at it! #SaveOurSound 🌅 https://t.co/DJkc11xO8x"
