handle,text
RepDonBacon,@Yankee18Michael We will discuss and help push along.
RepDonBacon,"Russian cyber experts are frequently attacking U.S. businesses with ransom-ware. Our cyber professionals in the Federal Govt must do more to protect against these attacks and stop these foreign hackers from preying on Americans and hurting our economy. 
https://t.co/RcWO7g1Shf"
RepDonBacon,"Thank you to the Prime Minister of the Hellenic Republic, Kyriakos Mitsotakis, for addressing Congress yesterday. Maintaining and strengthening our relationship with Greece is vital to our national security and economy. @PrimeministerGR https://t.co/p1UmRw91fQ"
RepDonBacon,Happy 57th Birthday @NatlHeadStart! Thank you for making a positive impact on countless children in Nebraska and throughout the country. https://t.co/sCQXrTSQA0
RepDonBacon,"@dontell51 We are, and we also defend people’s right to worship freely and to express their faith openly."
RepDonBacon,@CBakerShow @BenSasse Been there twice. We have a President who is not enforcing the law.
RepDonBacon,"My bill, HR 5658 - the DHS Roles and Responsibilities in Cyber Space Act, passed the House with a vote of 313 to 105! This is common-sense legislation, and with this strong showing of bipartisan support from the House, I look forward to this bill quickly becoming law. https://t.co/NsiUKkmCxY"
RepDonBacon,"Iranians want a government that respects their human rights. Iranians want freedom and a government that they can respect. We hope to see someday soon an Iran that safeguards its citizens freedoms, that is secular, nuclear weapons free and at peace with its neighbors. https://t.co/E6zV2zTwVW"
RepDonBacon,Glad to be a cosponsor of the Protect and Serve Act. Our law enforcement put their lives on the line to protect our communities. This bill establishes a new criminal offense for knowingly assaulting or attempting to cause serious bodily injury to a police officer. #BacktheBlue https://t.co/ROvnkXutb9
RepDonBacon,"ICYMI: @RepCarbajal and my firefighters bill passed last week. Firefighters suffer higher risk of cancer because of the smoke and toxic fumes they encounter while on duty. We need to support our firefighters who protect us. 
https://t.co/3X0mBHj80A"
RepDonBacon,Thank you to my constituent Nick Triantafillou for attending today's Joint Session with me. He and his wife Huong Truong are very kind and humble people. We enjoyed having them here in DC. https://t.co/kb8NkDyMRZ
RepDonBacon,Thank you to the @alzassociation for stopping by our DC office today! The Comprehensive Care for Alzheimer’s Act is just one of the many Alzheimer's bills I support. We need to keep raising awareness &amp; increasing funding for research at the NIH if we want to combat this disease. https://t.co/V1OMZMZeNQ
