handle,text
RepDonaldsPress,"HAPPENING NOW: 

I'm hosting a LIVE Virtual Town Hall - tune in! 

https://t.co/AzrzVdSSVR"
RepDonaldsPress,“Build Back Better” https://t.co/duDR3xf7fO
RepDonaldsPress,".@PressSec is correct. A war is to blame for the increased gas prices. Biden's war on America's energy industry. 

Stop with the ""Putin's Price Hike"" talking points. No one believes you. 
@pdoocy https://t.co/JyckISj896"
RepDonaldsPress,"🚨REMINDER🚨

I'm hosting a Virtual Town Hall tonight! 

Join me at 7PM EST to receive a congressional update, ask questions, and share your concerns. 

Visit my website for event details: https://t.co/wMeLoSyilA https://t.co/kZ9JJ8DW1I"
RepDonaldsPress,"ICYMI: Today in @HSBCgop, I had the opportunity to question Patrick Kelley of the @SBAgov. 

I questioned Mr. Kelley on the bandwidth of the SBA’s direct lending program, the agency’s inability to increase access to affordable capital, and more. 

Watch my full remarks below ⬇️ https://t.co/aqaNWVCslz"
RepDonaldsPress,This guy gets it. https://t.co/6vgv7R6Ohb
RepDonaldsPress,"Nina Jankowicz must have gotten tired of flagging her boss's tweets as disinformation. 

Goodbye, Ministry of Truth. Hello, Freedom! 

Republicans will continue to fight for freedom and stand up to the Biden administration's Orwellian tactics. 

This is America, not North Korea. https://t.co/G01gQCtkCO"
RepDonaldsPress,"The failure of Joe Biden's radical agenda is showcasing the dysfunction of governing with talking points and not strategic policy.

Biden's inability to implement sound economic policy is inflicting severe financial harm to millions of families across the U.S.

@Varneyco https://t.co/Izf6KFVATs"
RepDonaldsPress,"Donalds: Biden Doesn’t Want to Discuss CA Shooting Because He Can’t Use It Against GOP, Doesn’t Want to Upset Chinese Government

https://t.co/pFbM5ylmat"
RepDonaldsPress,I’ll be live at 9:15 AM! https://t.co/aiAon2lJ08
RepDonaldsPress,"In March, I introduced a bill alongside @MarioDB, @RepBobGibbs, &amp; @TXRandy14 to prohibit the importation of petroleum products from the socialist dictator of Venezuela. I encourage more of my @HouseGOP colleagues to join this effort.

https://t.co/bmqtgIkz3e https://t.co/Cs1FdzmrF6"
RepDonaldsPress,"Joe Biden and Democrats are politicizing the evilness that occurred in Buffalo this past weekend to spin this tragedy and fearmonger the American public to push their radical agenda and stay in power.

It's atrocious and distasteful to the families who lost a loved one. https://t.co/6WkahcuaW9"
RepDonaldsPress,"Today is a special day in my office, my Legislative Director, Alex is celebrating a birthday! Alex is an integral part of our team and a devoted public servant to Florida’s 19th Congressional District. 

Happy Birthday, Alex, and thank you for all you do. https://t.co/4FO3dJ8L01"
RepDonaldsPress,"The WHO is an arm of the CCP and should have zero say over any policy related to our nation. The response by the WHO amid the pandemic made it clear that they are a sham organization that prioritizes the needs of our adversaries, not the American people.⬇️
https://t.co/x0nIcIdvmk https://t.co/zy7w8crbyg"
RepDonaldsPress,"Nurses play a vital role in our communities and @GovRonDeSantis’ unparalleled $125 million investment in training the next generation of Florida’s nurses will be instrumental in advancing our state’s healthcare industry and workforce.

Thank you, Governor! https://t.co/m2JRGUcNtP"
RepDonaldsPress,"🚨We Are One Week Away From Title 42 Expiring🚨

Since taking office, President Biden handed over our border and national security to radical ACLU progressives putting our nation, its people, and our sovereignty in grave danger. 

Read my complete statement below: ⬇️ https://t.co/jXkAjt0lIA"
RepDonaldsPress,"This May, we celebrate #MilitaryAppreciationMonth and the heroic men &amp; women that bravely defend our nation.

It is because of their selfless service &amp; unwavering courage that we as Americans enjoy the greatest freedoms in the world. 

May God Bless our Armed Forces. 🇺🇸 https://t.co/qv0C7TWddP"
RepDonaldsPress,"It’s #NationalEMSWeek! 

Join me in celebrating the EMTs and first responders who have dedicated their lives to selflessly serving our communities. 

These emergency medical professionals provide lifesaving care while consistently going above and beyond the call of duty. https://t.co/SVmM6m7Roh"
RepDonaldsPress,God bless the life and memory of Aaron Salter. https://t.co/8o8lMhd3km
RepDonaldsPress,"This #NationalPoliceWeek, join me in honoring the brave men &amp; women that heroically risk their lives to protect our families, homes, and communities. 

This week, and every week, I am eternally grateful for the selfless service of our LEOs.

We must always #BackTheBlue. https://t.co/fcjVBayYcl"
RepDonaldsPress,"The deliberate neglect of our southern border is not just a national security crisis but a constitutional crisis. The president has the constitutional obligation to protect and defend the United States, and his policies are purposefully endangering our security. https://t.co/rFONmL0aBQ"
RepDonaldsPress,Erika &amp; I join the nation in mourning the innocent victims of the horrific &amp; hate-filled attack in Buffalo. The heinous actions of this deranged murderer speak to the very worst of humanity which has no place in America. Let’s never forget those we lost.
RepDonaldsPress,"Today, we bow our heads in prayer honoring the peace officers who lost their lives in protecting their community and country.

We honor their service, sacrifice, and their bravery in answering the call of duty. 

May God Bless them &amp; their families. 
#PeaceOfficersMemorialDay https://t.co/QHN2b2w4ln"
RepDonaldsPress,"ICYMI: I joined @IngrahamAngle last night to discuss how the Biden administration’s inability to implement sound policy has led to continued failure &amp; the decline of America’s economy.

The American people know that it’s Biden's radical agenda destroying our nation. https://t.co/dp8EzmfvC7"
RepDonaldsPress,"While Americans face unprecedented prices in every facet of their daily lives and parents desperately search shelves for baby formula, the DEMs are focused on relitigating 1/6. The American people are tired of these political games. It's time to work for the American people.

📩 https://t.co/I1byWBGHb6"
RepDonaldsPress,🇺🇸 https://t.co/WsEx8rz7pH
RepDonaldsPress,"I'm grateful to my colleagues for supporting this legislation.

@RepAndyBiggsAZ
@RepDanBishop
@RepBoebert
@Rep_Clyde
@RepFischbach
@RepHerrell
@JodyHice
@RepDLamborn
@RepRalphNorman
@RepTiffany
@Congressman_JVD"
RepDonaldsPress,"Under the guise of Biden’s so-called ‘leadership,’ this admin has excessively wasted taxpayer funds by routinely providing cell phones to illegal immigrants—which are more than likely to be disposed of at a later date to avoid government detection.
https://t.co/D6RIoUwzsh"
RepDonaldsPress,"Today, I introduced the No More Phones Act to prohibit U.S. govt officials from using taxpayer funds to provide cell phones to illegal immigrants.

This common-sense legislation seeks to combat wasteful spending while simultaneously condemning Biden’s open-border catastrophe. https://t.co/l6aAnnNIUh"
RepDonaldsPress,"The Biden-Harris administration does more to support ending a pregnancy on-demand than supporting efforts to keep babies alive by addressing the baby formula crisis. Republicans are calling for the administration to take action, America’s babies can’t wait any longer. https://t.co/R0Cqk0jruQ"
