handle,text
RepFredKeller,"May 18, 2022:

CNBC: ""Households are now spending an estimated $5,000 a year on gasoline""

Fox Business: ""Gas prices reach new record high, shoot up 4 cents overnight""

USA Today: ""Experts predict gas prices will continue to climb throughout the year"" https://t.co/G8yVuenKv7"
RepFredKeller,"""We have people coming across our border that are on the terror watch list. We have fentanyl coming across the border at record levels...We need an America First administration."" https://t.co/691NQGwrm5"
RepFredKeller,"If President Biden removes Title 42, it goes beyond bad judgement. It's reckless, and it will turn the crisis at the southern border into chaos. 

@FoxFriendsFirst https://t.co/fMzBGCZyKH"
RepFredKeller,"""I know here in America, we do [energy] better...American energy production is good for national security, good for the economy, and for the environment.""
https://t.co/65080YLyTK"
RepFredKeller,Today I offered a common sense measure at @RulesReps that recognizes and supports the only solution to Biden's energy crisis: unleashing American energy. https://t.co/pYDf810nlg
RepFredKeller,"Americans are seeing the worth of every dollar saved—for a rainy day, a down payment on a house, kids’ college, retirement, long-term care—diminish with each day Joe Biden is in office. https://t.co/CJuO3FXJS3"
RepFredKeller,"🚨""The average price for a gallon of gas in Pennsylvania set a new record high today of $4.62""

""The average price of gas in Pennsylvania is 46 cents higher than a month ago and $1.50 higher than a year ago.""

https://t.co/Dqp2HyY4xh"
RepFredKeller,"""The Left has said many times that overturning Roe v. Wade is radical...Overturning Roe v. Wade is not radical. What is radical is allowing abortions up until the day of a baby's birth."" https://t.co/uMDnCOmHg1"
RepFredKeller,"This National Police Week, we thank our police officers for upholding our laws and protecting our communities. Our nation owes our men and women in blue a debt of gratitude. https://t.co/lQN1UlExcO"
RepFredKeller,"American families are scrambling as 40% of the nation's baby formula is out of stock. 

Meanwhile...

@townhallcom: The Biden Administration Is Shipping Pallets of Baby Formula to the Border

https://t.co/7fLgYHLx6Z"
RepFredKeller,Prices of everything are on the rise and now we’re seeing a nationwide shortage of baby formula. @HouseGOP is demanding action from the Biden administration to support American families. https://t.co/OQ2M0WL41r
RepFredKeller,Speaking to the Anne B. Anstine Excellence in Public Service Class of 2022. Our nation is in great hands with these outstanding women leaders. Thanks to Bernie Comfort for her continued leadership and mentorship. https://t.co/AM9QE02ivL
RepFredKeller,"Ever notice how President Biden always makes excuses when things go wrong but never fails to take credit when times are good?

My grandmother always said, “people who make excuses are weak.”

She’s right."
RepFredKeller,"Inflation is barreling ahead at an unsustainable rate, but President Biden isn't changing course. 

In fact, he said that his policies ""help, not hurt"" inflation.

Bold statement from a president that has perpetuated big gov't spending &amp; destroyed American energy. https://t.co/l5pBKqqXAe"
