handle,text
RepFrenchHill,"We lost over 117,000 Americans to overdose in 2021, 2/3 of these deaths linked to illicit fentanyl. I introduced the Preventing Overdoses and Saving Lives Act 2.0 w/ @RepDebDingell &amp; pleased to announce the inclusion of this legislation in a broad package.
https://t.co/XlRbrxlcCB"
RepFrenchHill,"Yesterday I introduced H.R. 7799, the Public Servant Protection Act, the companion legislation to the bill @SenTomCotton introduced in the Senate last week.

This bill will ensure the safety of our public servants and their families.

My full statement:
https://t.co/BhnpiGSI0E"
RepFrenchHill,"As of this morning, roughly 43% of baby formula across the nation is out of stock - a 29% jump from Nov 2021. Stores have begun rationing formula, leaving parents unable to get what they need to keep their children fed. We need effective leadership to combat this crisis. https://t.co/sYl84hugxz"
RepFrenchHill,This is not what operational control of our southwest border looks like @SecMayorkas. https://t.co/j7wmAM20Le
RepFrenchHill,"I’ve taken action to combat this crisis and introduced the Preventing Overdoses and Saving Lives Act 2.0 alongside my friend, @RepDebDingell. Our bill reauthorizes 2 grant programs to combat the opioid crisis and encourages co-prescribing and access to opioid reversal drugs."
RepFrenchHill,"Over 107,000 Americans lost their lives last year due to a drug overdose. Two thirds of those tragic deaths were because of fentanyl. 

That is a crisis. 

https://t.co/qB7VZfc7Fa"
RepFrenchHill,"Russia’s brutal and illegal invasion of Ukraine should serve as a wakeup call to the world. As members of Congress, we should do everything in our power now to send a message that similar behavior will not be tolerated in the future."
RepFrenchHill,"Introduced the bipartisan Taiwan Conflict Deterrence Act alongside @BradSherman. This bill would deter Chinese aggression against Taiwan by requiring the Treasury Sec. to publish and freeze the financial assets of senior CCP officials and their relatives.
https://t.co/K4weM0i7V3"
RepFrenchHill,"No vaccine available? That's blatantly false. Thanks to President Trump and Operation Warp Speed, President Biden received his first shot a month before he was sworn into office... https://t.co/klJg0KFuc0"
RepFrenchHill,I am saddened to learn of Sgt. Maj. John Canley passing. I had the pleasure of meeting Sgt. Maj. Canley in early 2020 and thanked him for his service. Sgt. Maj. Canley was a hero in the Vietnam War and his selflessness will not be forgotten. https://t.co/T9H5qDNZgf
RepFrenchHill,"I am proud to #BackTheBlue today and everyday. This week, #NationalPoliceWeek, we thank the brave men and women who work to keep our communities safe. Your service is appreciated! https://t.co/NPBzbutofh"
RepFrenchHill,"At today’s @FinancialCmte hearing I asked Sec Yellen about cyber risks. I’m worried progress on important issues, like improving cyber resiliency in the financial sector are falling by the wayside in favor of political issues outside mandate and expertise of financial regulators. https://t.co/nazTsPs79n"
RepFrenchHill,"Gas prices are at record highs and the Biden Admin cancelled oil and gas lease sales. They're doing nothing to unleash American energy and make it easier for companies to get the permitting they need, build the pipelines, and boost domestic production. https://t.co/bAYCGSsbv1"
RepFrenchHill,"Joined @FerroTV, @lisaabramowicz1, and @kaileyleinz this morning on @bsurveillance to discuss inflation and actions the Biden Administration should take to address it. https://t.co/f3KHBFaHCw"
