handle,text
RepGarretGraves,"4. And, the canceled lease sales will result in less hurricane protection funding. (3/3)
https://t.co/bN3EvQNgDo"
RepGarretGraves,"3. They continue to prioritize other countries over our own communities when it comes to taxpayer dollars and disaster assistance. (2/3)
https://t.co/MYamUVyPGz"
RepGarretGraves,"There are 14 days until the next hurricane season.

1. Louisiana’s communities *still* have unmet needs from Hurricanes Laura, Delta, Zeta and Ida.

2. There are still blue tarps on homes, and people living in hotels and FEMA trailers. (1/3) https://t.co/r4ufsmasaE"
RepGarretGraves,"We can talk all day about economic activity, jobs, families, education – you name it. 

But none of this matters if it’s all underwater. 

This bill addresses fundamental needs. More here: https://t.co/nzA4CXewuF https://t.co/LoGHUdvXO3"
RepGarretGraves,"Click here to read more about the Water Resources Development Act of 2022 (WRDA) and our provisions.
https://t.co/uxA0AJWOdT"
RepGarretGraves,"Big day for Louisiana’s future in the U.S. House Transportation &amp; Infrastructure Committee.

We are working on “WRDA” – advocating for LA's ports, inland waterways, flood protection, restoration &amp; other water-related infrastructure priorities.

TUNE IN NOW https://t.co/DvpXwsF1Jn https://t.co/hw1hCTJMtZ"
RepGarretGraves,"Changed it up this week - we’re doing our Facebook Live from the U.S. Capitol Rotunda. 

Talking energy, transportation &amp; infrastructure legislation, border, baby formula, and more. Tune in!

https://t.co/gvsX1dvB7P https://t.co/MYNO3VdaK8"
RepGarretGraves,"Good news: Biden Admin is finally talking about new oil &amp; gas production that could provide billions of $ in new revenue.  

Bad news: The beneficiary would be an authoritative regime that has kidnapped Americans — Venezuela.  

What does the Biden Admin have against Americans? https://t.co/VHCoomQ4Zy"
RepGarretGraves,"Folks are getting crushed by high energy costs. But who is next in the Admin’s blame game? Maybe Bigfoot &amp; the Loch Ness Monster.

We warned this would happen on Jan. 27, 2021, &amp; we just brought the receipts to the House Floor. Press release- 475 days ago: https://t.co/ZKRsWiNMaP https://t.co/XdWYPkG1CF"
RepGarretGraves,"These are the highest energy costs our constituents have seen. Louisiana is averaging $4.143 a gallon today.

We need - and have proposed - real solutions. The price gouging bill proliferates a false narrative and is not the answer.

My remarks from @RulesReps today: https://t.co/1xQptdGm9W"
RepGarretGraves,"I’m testifying NOW about the Price Gouging bill. 

The energy costs we are seeing today were entirely preventable.

🔗 Statement from January 27, 2021 where we predicted this would happen under the Biden Administration: https://t.co/bWJOzNQJ8E https://t.co/Cf0Hl3WjNF https://t.co/UJNi7Yb5b0"
RepGarretGraves,The Biden Administration has doubled and tripled down on bad policies. Their unforced errors have led to the record inflation. https://t.co/0d10BS4T9z
RepGarretGraves,"“The Biden administration’s announcement that they will cancel new offshore oil and gas production approaches levels of irresponsibility and reckless stupidity never seen before,” said U.S. Rep. Garret Graves, R-Baton Rouge
https://t.co/yDp2VCHaaa"
RepGarretGraves,"“When you have record gasoline prices, you have one in every five Americans who can’t even afford to pay their electricity bills, you would think that necessity, even if it’s a reversal on their part … would drive decisions,” Graves said.
https://t.co/BfamNcJEHA"
RepGarretGraves,"We are monitoring the baby formula shortage and asking officials for answers. This has to be addressed immediately. We’ve heard from folks back home that are having trouble consistently finding a supply.

Full letter: https://t.co/YBwsAnSca8 https://t.co/fK7WYinuOO"
RepGarretGraves,"This morning I gave a speech on the U.S. House Floor to honor the brave men and women who have lost their lives in the line of duty. 

We continue to pray for the peacekeepers who lost their lives in Baton Rouge on July 17, 2016, as well as those who survived the ambush. https://t.co/ytIq0iBX5R"
RepGarretGraves,"Talked with @Fox44fred about the Biden Administration's energy policies, the overnight canceled lease sales, and more. Stay tuned for the full interview. https://t.co/8aMZBikOgT"
RepGarretGraves,"It is past time for the Biden Administration to put Americans first.

We are paying record prices for gasoline and to heat and cool our homes - a result of their flawed energy policies. https://t.co/TG4V17szuY"
RepGarretGraves,"Folks are having to decide between paying grocery bills or filling their cars to head to work.

The Biden Admin's none-of-the-above energy strategy is stupid, reckless, &amp; costing us all. Today's canceled lease sales is more of the same stupidity.

👇@NatResources this morning: https://t.co/WpHnSEmhTa"
RepGarretGraves,"""It is past time for the administration to put Americans first. This is the only administration in modern history to not issue lands and waters for oil and gas production.  Not only is this illegal, but it is hurting families across the country."" (4/4)"
RepGarretGraves,"""Rather than using American energy sources to help solve the problem and lower prices, the Biden Administration continues to carry out policies that only benefit Russia, China, Iran, Saudi Arabia, Venezuela and other apparent allies of this White House... (3/4)"
RepGarretGraves,"""We are paying record prices for gasoline and to heat and cool our homes... (2/4)"
RepGarretGraves,"Statement on Biden Admin Canceling Lease Sales, Two in the Gulf of Mexico:

""The Biden Administration's announcement that they will cancel new offshore oil and gas production approaches levels of irresponsibility and reckless stupidity never seen before... (1/4) https://t.co/oKVI4r3Iba"
