handle,text
RepGonzalez,Glad to hear @POTUS is invoking the Defense Production Act which will bring relief to American families with increased formula production. https://t.co/g06QdT5h2I
RepGonzalez,"Yesterday, we passed 8 bills that would support our veterans and bring them sorely needed relief. I will always stand with our veterans and ensure they receive the help that we promised them. https://t.co/xJiIRIo7Fm"
RepGonzalez,"When I came to Congress, I joined the @NewDemCoalition – a group of House Democrats that are focused on getting bipartisan legislation across the finish line &amp; advancing policies that foster economic growth.

Proud to be a #NewDem &amp; celebrate their 25th anniversary! https://t.co/HG9TR6vbS2"
RepGonzalez,You can now get your 3rd round of COVID tests for free at https://t.co/ZeVjFbwFP0
RepGonzalez,"Happy to hear that the Donna Irrigation District will be receiving $1,975,000 from the @USBR from the #BipartisanInfrastructureLaw to update resources, minimize water loss, and alleviate pressure on the shared water resource with Mexico. https://t.co/tcnMLedYsY"
RepGonzalez,"Texas is known for its fluctuations &amp; high temps. We need to be better prepared to take care of Texans—enough is enough. 

Thanks to the #BipartisanInfrastructureLaw the Federal Govt. is investing $2.5 billion to modernize our energy grids. 

It’s time for @GovAbbott to step up. https://t.co/VKCXOMn0OJ"
RepGonzalez,"Last week, my Northern District Director, Albert Martinez, presented a flag in my stead to honor Brooks County Judge, Eric Ramos, for his work on behalf of South Texas. https://t.co/z8oltXMqyx"
RepGonzalez,Congratulations to our #SouthTexas 2022 Grads! https://t.co/oQPPz6se0L
RepGonzalez,This week we celebrate our brave law enforcement officers who continuously put themselves on the front lines to protect our community. Thank you to our #SouthTexas police officers for all you do! https://t.co/2u9GPrk5BM
RepGonzalez,"This week we voted on vital legislation up in D.C. to protect our federal firefighters, provide better benefits for TSA agents, and reauthorize the Community Services Block Grant Program to uplift low-income communities across the country.
 
Watch my floor speech ⬇️ https://t.co/vQRbBOK1mk"
RepGonzalez,"Governor, what kind of country lets innocent children starve for their parents’ action of seeking a better life? As Christians, children are off limits and should be treated in a humane manner no matter where they come from.  

Remember what is said in Proverbs 3:27. https://t.co/GVOsFPxsfM"
RepGonzalez,"1 million is an unimaginable number of lives to lose. My thoughts are with the loved ones of all those lost as we mark this somber milestone.
 
Remember, the best way to protect yourself is to get vaccinated and get tested if you have symptoms.
 
https://t.co/WpLe6AdTec"
RepGonzalez,@DrMAUrsani @ACRheumDC Great to meet you! -VG✌️
