handle,text
RepGregMurphy,🚨 Biden is overseeing the 9th STRAIGHT day of all-time record gas prices. Families and job creators in my district cannot afford the #BidenGasHike 🚨 https://t.co/gYwXR8blw8
RepGregMurphy,A win for free speech! https://t.co/214OpOJ1lP
RepGregMurphy,"I’m joining @FoxBusiness with @LizMacDonaldFOX shortly to discuss the latest on China, COVID-19, and the Biden Administration’s decision to end Title 42. Tune in! https://t.co/EjSbWRbKKH"
RepGregMurphy,Had a productive meeting with @USCG today regarding shoaling and hazardous conditions at Oregon Inlet. We discussed the USCG’s local notice action plan to inform constituents of the specific dangers within our local waterways. Thank you for all you do! https://t.co/36TrSNz21K
RepGregMurphy,"Inflation is the #1 concern for American families. Despite this dismal economic reality, liberals are doubling down on their Far-Left spending agenda. No matter what lies you may hear from Biden, Dems control the House, the Senate, and the White House. The buck stops with them."
RepGregMurphy,President Biden’s anti-American energy agenda is a national security liability. Our SPR is not a fallback plan for @POTUS’ failed economic policies. https://t.co/hTdFiNUPBp
RepGregMurphy,"I don’t throw around the word impeachment lightly. But in my view, President Biden has committed two major impeachable offenses. ⬇️

@MariaBartiromo @FoxBusiness https://t.co/0SG6j9mXER"
RepGregMurphy,"Blessed are the peacemakers. Today, we honor the men and women of law enforcement who have lost their lives in the line of duty. We must never forget the selfless servants who sacrifice so much to protect and serve our communities. #BacktheBlue https://t.co/96jhBaIYA9"
RepGregMurphy,"Biden’s War on America is costing American lives. We have no Operational Control of our border.

More with @MariaBartiromo on @FoxBusiness 👇 https://t.co/LbEkqwpDSr"
RepGregMurphy,"❌ FACT CHECK: 100% FALSE. ❌

Biden's first dose: Dec 21, 2020
Biden's second dose: Jan 11, 2021

Millions of doses were distributed and administered before Biden took office. ""No vaccine available"" is a flat out lie. #DisinformationGovernanceBoard https://t.co/eTZvnq0KII"
RepGregMurphy,The American people are suffering the consequences of President Biden’s reprehensible failure of leadership. https://t.co/O8oeuQFiah
RepGregMurphy,Thank you to @NCFOP1 President Randy Hagler and Treasurer Chet Effler for meeting with me for National Police Week. It’s an honor to represent our heroic men and women of law enforcement. We thank you for your outstanding service to our state and to our country. #BacktheBlue 🇺🇸 https://t.co/5UvQkNdLv8
RepGregMurphy,Good morning! I’m joining @MariaBartiromo on @MorningsMaria at 6:35am ET to discuss the baby formula shortage and the Biden Border Crisis. Tune in to @FoxBusiness! ☀️
RepGregMurphy,"It was an honor to have Sheriff Buck and Sheriff Hughes represent ENC law enforcement today during our National Police Week press conference in Washington, D.C. Thank you @RepKatCammack for hosting this important event to #BackTheBlue! 🇺🇸 https://t.co/yoBpHVGOrf"
