handle,text
RepHaleyStevens,"Today, the House passed two critical pieces of legislation to address the baby formula shortage. One to expand access to formula for families who participate in WIC, another to appropriate emergency funding to produce more formula and ensure future shortages do not occur."
RepHaleyStevens,"In the wake of 8 tragic mass shootings in 72 hours, I'm proud to introduce the Accountability for Online Firearms Marketplaces Act with @RepJasonCrow, @RepKatiePorter, &amp; @RepJeffries. This bill requires background checks and ends blanket immunity for online firearms marketplaces. https://t.co/KxSY14bmpA"
RepHaleyStevens,"When I came to Congress, I joined the @NewDemCoalition – a group of House Democrats focused on getting legislation across the finish line and advancing policies that foster economic growth. 
 
Proud to be a #NewDem and celebrate their 25th anniversary this year! #25YearsofNewDems https://t.co/lyEsIeFpU1"
RepHaleyStevens,"DON’T FORGET‼️This Friday, I’m hosting a @HouseScience field hearing back home in Michigan – the heart of the automotive industry – on workforce needs to position the United States at the center of growth for EVs. RSVP: https://t.co/rfUyuthxr5 https://t.co/JDtps7rOUQ"
RepHaleyStevens,"As a workforce development professional, I know that job creation is fostered by enhancing equity, expanding successful programs, &amp; promoting effective partnerships. 

The Workforce Innovation and Opportunity Act does all that &amp; more. I’m thrilled to see it pass the House today."
RepHaleyStevens,"#OTD in 1954, SCOTUS struck down the separate but equal doctrine with the decision of Brown V. Board of Education - the first major step in ending segregation in the United States.
 
68 years isn't that long ago – the fight for racial justice isn't over. I won't stop working. https://t.co/MsStrt4UVM"
RepHaleyStevens,"So inspired and humbled by the incredible turnout this morning at the National Council of Jewish Women Rally for Abortion Justice. Democratic women are leading the charge, standing up and fighting for our rights, and I’m proud to stand with this incredible group @NCJW! https://t.co/TfsVIKUmS3"
RepHaleyStevens,"We also recognize that LGBTQ+ rights are still being infringed on, abroad and at home, and condemn those heinous laws and call for their abolishment.
 
Love is love. I’m proud to celebrate it always."
RepHaleyStevens,"On the International Day Against Homophobia, Biphobia, and Transphobia, we celebrate the right to love whomever your heart desires and the strength our communities gain from diversity in people’s sexual orientation and gender identity."
RepHaleyStevens,"In the wake of an alarming rise in hate crimes, the House proudly passed the Nonprofit Security Grant Program Improvement Act today. This legislation offers federal support to houses of worship and non-profit institutions to keep spaces safe for their community and members."
RepHaleyStevens,"Wage theft disproportionately harms our most vulnerable communities, and we have a responsibility to crack down on this hideous behavior and make clear how worker protections only enhance honest businesses. Grateful to @EdLaborCmte for holding a hearing on this egregious issue. https://t.co/YW8OTp5Zlh"
RepHaleyStevens,"From Buffalo to Laguna Woods, I’m absolutely devastated by the wave of senseless gun violence we witnessed in our country this past weekend.
We can't go on like this. I urge all my colleagues to join me in passing legislation to keep our communities safe.
https://t.co/Jy5gmxtHcE"
RepHaleyStevens,"Devastated and disgusted at this racially motivated act of terrorism. In addition to reforming our gun laws, we have to address the rise of white extremism in this county. Americans deserve to grocery shop without fear of gun violence. https://t.co/95Anp4t2zf"
RepHaleyStevens,"In February, I asked @USDOT to update our crash test standards to ensure that women’s safety is considered equally as important as men’s. Women’s lives are on the line – we must act now. https://t.co/u6DohiE96k"
RepHaleyStevens,"One year ago today, the House passed the Pregnant Workers Fairness Act, which prohibits employee practices that discriminate against reasonable accommodations for workers experiencing pregnancy, childbirth, or related medical conditions. It’s time for the Senate to do the same!"
RepHaleyStevens,"Next Friday, I’m thrilled to be holding a @HouseScience field hearing back home in Michigan – the heart of the automotive industry – on workforce needs to position the United States at the center of growth for EVs. I hope you’ll join! https://t.co/rfUyuthxr5 https://t.co/mrgpWpOU6M"
RepHaleyStevens,"Thrilled to vote for the Community Services Block Grant Modernization Act today. The CSGB Program hasn't been reauthorized since 1988. With costs and inequality on the rise, it far past time we reauthorize this program that exists to lift Americans out of poverty."
RepHaleyStevens,"What a joy it was to meet with the Michigan Education Association yesterday to discuss important issues such as the teacher shortage, school inclusivity, and bullying. These issues are top of mind, and I am working toward solutions as a proud member of @EdLaborCmte! https://t.co/feE1pGGdmL"
RepHaleyStevens,"Yesterday, I met with @RazomforUkraine to discuss the ongoing situation on the ground, hear about the contributions this incredible group is making, and get briefed on the breadth of legislative opportunities to support the people of Ukraine that are currently before Congress. https://t.co/Nc8Jnrkmn9"
RepHaleyStevens,"It’s time for TSA workers to be granted the same workplace rights as all federal employees. Today, I voted to pass the Rights for the TSA Workforce Act, which puts TSA workers on the same pay scale as other federal employees and provides them with needed workplace protections."
RepHaleyStevens,"This year, we will celebrate our 246th-year as a nation. I hope my fellow conferees work with me to pass this legislation by Independence Day – to lay the foundation for the next century of American leadership. Michiganders can no longer afford for us to idle on this package."
RepHaleyStevens,The one message I want to communicate to my fellow conferees – my top priority here is to get this done.
RepHaleyStevens,Americans need us to deliver on this package and shepherd our country into a new phase of leadership on the global stage and assert ourselves as the world leader in innovation and competition.
RepHaleyStevens,We don't have time to be politicking and distracting from the issues at hand. Our work on this committee is not to get “soundbites” and “gotcha headlines.”
RepHaleyStevens,it has dramatically impacted Michigan’s small to midsize manufacturers. We must work urgently to remedy the chips crisis not only for our automotive sector but to bring prices down for everyday Americans who use chips in everything from their smartphones to laptops to microwaves.
RepHaleyStevens,"Since Michigan’s 11th District sent me to Congress, I have championed the innovation economy in my state - the heartland of the automotive industry. Every day, I wake up to headlines about the chip shortage. The impact of the CHIPS crisis is wide-ranging –"
RepHaleyStevens,I am extremely alarmed by the lack of urgency from my Republican colleagues. It is imperative that we work together to pass this legislation immediately.
RepHaleyStevens,"🧵Today was the first meeting of the Conference Committee of Bipartisan Innovation and Competitiveness Legislation. It marked an incredible start to the process, and I am so proud to be working with my colleagues from across the aisle and in the Senate."
RepHaleyStevens,"One million American lives lost to COVID-19, and each one a soul who is deeply loved and missed.

We don’t want to see any more lives lost. https://t.co/TjxKL9Tc05 is your one-stop shop for all things prevention, detection, and treatment of the virus. https://t.co/P2ik4jgoql"
