handle,text
RepHerrell,"No surprise: Pro-Abortion fanatics' ignorance of science extends beyond their inability to recognize a human--they think men can get pregnant!  

From sports to biology to abortion, why is the Left so eager to erase women? https://t.co/Kns1oydGjq"
RepHerrell,"Bye, Felicia! https://t.co/jW4PXVwhbr"
RepHerrell,"Proud to have co-sponsored legislation that would defund this unconstitutional, authoritarian ""Ministry of Truth"" permanently. Looks like enough Americans raised hell that even Joe Biden is realizing his mistake. https://t.co/kBxpD9EWWV"
RepHerrell,"Outsourcing supply chains, manufacturing, and vital energy components to China has always been both a moral and strategic mistake. https://t.co/5Wf4uwjToD"
RepHerrell,"Correct. 

The border was open beginning on January 20th, 2021. https://t.co/Ymi4qeVkNm"
RepHerrell,Joe Biden trashing Title 42 as we hit the worst illegal immigration levels in US history is like taking off all the storm windows just in time for a hurricane. https://t.co/as3F0C4k10
RepHerrell,Inspiring words from @SenatorTimScott! We should work to build a country where every child and every mother has the opportunity to flourish. https://t.co/EtvMS1QdrP
RepHerrell,Thanks for all you do! https://t.co/PtKIy3Gggf
RepHerrell,"If we don't get this under control NOW, history books will point to these months as when America stopped being a country. https://t.co/eo3pczChJv"
RepHerrell,Zing! https://t.co/FdndzjReCY
RepHerrell,"Which country are we at war with, @LeaderHoyer? I don't remember a Declaration of War coming up for a vote recently. https://t.co/ZtA7mkT2Rm"
RepHerrell,"The Biden administration's terrible policies encourage illegal immigrants and human traffickers to use children as ""get out of jail free"" cards and bargaining chips. This disaster is squarely on the shoulders of Biden and Mayorkas for reversing successful Trump-era policies. https://t.co/0nUqUgGoY7"
RepHerrell,"I was honored to present a wreath today at the National Law Enforcement Officers Memorial on behalf of all New Mexico police who lost their lives in the line of duty. 

To those who have served, and all those who continue to protect our communities: thank you. 💙🖤 https://t.co/oYvKE2fayQ"
RepHerrell,"Heads up Lincoln County! The Small Business Administration and the New Mexico Small Business 
Development Center Network are opening a SBA Business Recovery Center in Ruidoso to help businesses impacted by fires--details below: https://t.co/TCrWOaUsYl"
RepHerrell,"More bad news for American businesses, workers, and their families. https://t.co/7Yumwnwkxx"
RepHerrell,https://t.co/S8e9nMQuPy
RepHerrell,This is unacceptable. Everyone involved in this terrible decision should be fired. https://t.co/wL9wXvoiuG
