handle,text
RepJenniffer,"Recognizing the pending cliff in NAP dollars starting in June, I am requesting additional funds for this important program in the upcoming fiscal year alongside @RepDarrenSoto. https://t.co/TZJeXJR8s3"
RepJenniffer,"Comunicado de Prensa | Jenniffer González coauspicia medidas para reforzar inversiones en agencias de ley y orden 

https://t.co/P9mwW1Mgve"
RepJenniffer,I am encouraged by the application of #Finland and #Sweden to join #NATO and I welcome the comments of Secretary General @Jensstoltenberg- Expediting their application is essential to both our security and their continued sovereignty. https://t.co/AA9DYIRsst
RepJenniffer,"WRDA's reauthorization, which we are discussing today at @TransportGOP Mark-up, includes language we secured to reauthorize the projects under @USACEHQ of the Guanajibo, Nigua, Grande de Loíza rivers in Gurabo &amp; the study on federalizing the maintenance of the port of Yabucoa. https://t.co/qZfkzpSk24"
RepJenniffer,"Today the @NatResources Committee is holding a hearing on the FY 2023 budget request for the Office of Insular Affairs, which has jurisdiction over American Samoa, Guam, the Northern Mariana Islands, and the U.S. Virgin Islands. 

Watch part of my remarks: https://t.co/amIJbIz1f5"
RepJenniffer,"Today I was proud to give a special recognition to our U.S. Marine honoree, Sergeant Hannah Witham. You are paving the way for future generations. https://t.co/C1tUY7qC2L https://t.co/nlMyXJbr4L"
RepJenniffer,Honored to join my colleagues from the Congressional Caucus for Women’s Issues at the 24th Annual Wreath Laying Ceremony to recognize women who have played a vital role in defending and protecting our country through military service. https://t.co/LYdxba0BU0
RepJenniffer,"Comunicado de Prensa | Jenniffer González Colón anuncia $6.6 millones en fondos federales

https://t.co/vY257oEryB https://t.co/zRq9N4Gfoh"
RepJenniffer,"Press Release | EPA to Award over $1.6 Million to Address Contaminated Sites in Puerto Rico

https://t.co/5IIJcOmjq3 https://t.co/jMElwVYgtw"
RepJenniffer,"Comunicado de Prensa | @EPAregion2 otorga más de $1.6 millones para el redesarrollo de lugares contaminados en Puerto Rico 

https://t.co/rz7SgayHq9 https://t.co/DXiWVSpZhz"
RepJenniffer,"Today, I hosted a Virtual Roundtable with proprietary institutions in Puerto Rico to discuss federal regulations impacting these institutions of higher education and their students. https://t.co/OzkrzwW8LR"
RepJenniffer,"Comunicado de Prensa | Jenniffer González presenta 15 proyectos comunitarios para consideración de financiamiento federal

https://t.co/rKEyJaTUrR https://t.co/31qcFSPHue"
RepJenniffer,"Comunicado de Prensa | Jenniffer González anuncia $96,112,504 en fondos de HUD

https://t.co/PipggMC2gn https://t.co/R4tiXQ3Qyi"
RepJenniffer,"At today’s @NatResources Water, Oceans, and Wildlife Subcommittee. I encouraged the Bureau of Reclamation to proactively conduct outreach about WaterSMART Grants in Puerto Rico and across the rest of the non-contiguous states and territories. https://t.co/Dbcoo8ZVlc"
RepJenniffer,"Press Release | Congresswoman Gwen Moore and Congresswoman Jenniffer González-Colón Lead Bipartisan Effort to Increase WIC Funding

https://t.co/GUc55pYa8r https://t.co/pvoC0ystiZ"
RepJenniffer,"Comunicado de Prensa | Jenniffer González y Gwen Moore lideran esfuerzo bipartita para aumentar los fondos del programa WIC

https://t.co/maCerh0rvM https://t.co/hAFLSyXYic"
RepJenniffer,"These two pieces of legislation will provide additional flexibilities to ensure more small, low-income, &amp; rural law enforcement agencies in PR &amp; across the rest of the U.S. can continue accessing federal resources to hire officers, acquire equipment &amp; keep our communities safe. https://t.co/cgHRght72h"
