handle,text
RepJimBaird,"The price of diesel in Lafayette is the highest it's ever been: $5.41 per gallon.  Hoosiers are paying the price for this administration's war on American energy, and they've had enough."
RepJimBaird,"Honored to spend part of my afternoon yesterday with Hoosier heroes participating in the #HonorFlight. This is such a special tradition, and it’s great to be able to thank our Veterans and welcome them to our nation’s capital. https://t.co/YU4XIzjzyj"
RepJimBaird,"That's not the only record the president broke, @GOPLeader. Last month, there were 234,088 migrant encounters at the Southern border— the highest number in DHS history. 

The only records this administration is breaking are the wrong ones. https://t.co/88FNr6ETOo"
RepJimBaird,"On Sunday, the average price of diesel in Indiana was $5.38 a gallon— the highest recorded in state history.

Hoosier farmers have been hit hard by supply chain issues &amp; soaring costs thanks to skyrocketing inflation. They simply cannot afford this admin's war on American energy."
RepJimBaird,"Biostimulants are significantly beneficial for farmers, yet unclear regulations limit their potential. We need a consistent path to market, which is why I’m proud to introduce the Plant Biostimulant Act with @RepJimmyPanetta to clear the way for agricultural advancement"
RepJimBaird,"For the last seven days, we've watched each day usher in a new record high for gas prices. 

This is the cost of this administration's anti-American energy agenda. https://t.co/Ca9bLni0bQ"
RepJimBaird,Imagine how much worse it will be when President Biden rolls back Title 42. https://t.co/OPRW16lMYX
RepJimBaird,"This year, inflation will cost Americans an additional $5,200 and has already cost American workers an average of two paychecks. 

Inflation is a tax on every single American, and as a result of this administration's costly policies, Americans are paying more for less. https://t.co/oIHWDeibUG"
RepJimBaird,"Monday, staff will be in Tippecanoe County from 4:00 pm – 6:00 pm to help constituents work through issues with federal agencies. Check back here and on my website for upcoming locations: https://t.co/DSeclUx3Wf https://t.co/BkTA0EmRXT"
RepJimBaird,"Respectfully, this should have happened weeks ago. Hoosier parents and families across the country are struggling to feed their infants as a result of this shortage. These families simply cannot wait, nor should they have to. https://t.co/mUDeUKgANr"
RepJimBaird,"This #NationalPoliceWeek, we honor the brave men and women who selflessly serve our communities. https://t.co/PZLbvPnRsL"
RepJimBaird,I will always fight to protect the most vulnerable among us. https://t.co/8GXCqNaoEq
