handle,text
RepJimBanks,"The SBA deemed Planned Parenthood affiliates ineligible for Paycheck Protection Program funds, but still received over $65 million.
 
Taxpayers should never be forced to pay for abortion.
 
Thank you to my colleague @RepTenney for leading this effort.
 
https://t.co/HiYw6j6vdO"
RepJimBanks,"This would be a great Saturday Night Live skit if:
 
1) SNL was still funny
2) It wasn’t a real example of how detached Democrats are from reality https://t.co/BSsKf9VUBW"
RepJimBanks,Good news! https://t.co/5H9z0lNRKY
RepJimBanks,"Yep, Biden's Border crisis is 100% INTENTIONAL!"
RepJimBanks,"Sending retiree's savings to #CCP companies complicit in genocide is shameful. Biden must follow President Trump’s example and say no to this insanity! 
https://t.co/KiB8FI9Kat"
RepJimBanks,"Biden must learn from his failure to deter Putin's invasion.
 
The US must stand up to Xi and stand with our ally #Taiwan
https://t.co/MTbVVX8m1G"
RepJimBanks,"Israel, the only Jewish state in the world, is America’s closest ally.

Will @SpeakerPelosi condemn this disgusting anti-Semitism or is Democrat leadership now totally in lockstep with The Squad?

Shameful and dangerous!

https://t.co/KBnaAmtuZ8"
RepJimBanks,"I’ve seen the IGs report and it confirms every single one of @RepTroyNehls’ claims. 

The Capitol police investigated a sitting member of Congress. https://t.co/ixFYtfF2LD"
RepJimBanks,"Democrats’s radical agenda reflects Venezuela more every day: food shortages, inflation, and total government control. 

Legitimizing a socialist dictatorship is unAmerican and wrong! https://t.co/3Fh5Nhe0zV"
RepJimBanks,"It’s Tuesday and already this week gas prices hit a record high and DHS announced a record # of illegal border crossings… 
 
Joe Biden is the worst president of all time."
RepJimBanks,"President Biden and Democrats in Congress are turning a blind eye to CCP spies abusing our visa system. 
 
That's why I've introduced a bill to stop it.

@IngrahamAngle https://t.co/Gg0IRJ7XNz"
RepJimBanks,“A nation without borders is not a nation” - President Trump #TrumpWasRight https://t.co/LwkiAKGa8n
RepJimBanks,"Record inflation. Record gas prices. Record crime. Record illegal immigration. 

The Biden presidency is a historic disaster. https://t.co/LwkiAKGa8n"
RepJimBanks,"House Republicans are united around saving women’s sports! 
 
@RepGregSteube @RepublicanStudy  
https://t.co/VlYkbNpySZ"
RepJimBanks,"Another record for @JoeBiden! 
https://t.co/SSf4dWhKzm"
RepJimBanks,"Radical pro-abortion activists are trying to intimidate our most sacred branch of government through violence and crime. AG Garland must EQUALLY enforce the law!

Read about my letter to AG Garland at Fox News here 👇

https://t.co/iaUkQPB5Co"
RepJimBanks,"This week’s episode of #GroundedWithJimBanks is the final conversation I was a part of at my first Northeast Indiana Defense Summit. It features my talk with @jacobhelberg. 

Listen here: https://t.co/cqkkQjlJO0 https://t.co/wrEWE9urtZ"
RepJimBanks,⏰ ⏰ https://t.co/LwGP9glzfw
RepJimBanks,"Today, I spoke against a bill House Democrats are pushing to strip the religious and conscience protections of faith-based community service providers.
 
Religious liberty is the foundation of all liberties, which is why I'll always oppose any attack on it. https://t.co/YgNT3RhQLC"
RepJimBanks,10 days till border catastrophe! #Title42
RepJimBanks,"No one in the Biden admin can estimate how many #CCP members are currently in the US.
 
I have a bill that would require all visa applicants to disclose their ties to the Communist Party. 
 
https://t.co/rwoQNtpSmL"
RepJimBanks,America can’t lead abroad when we are so weak at home.
RepJimBanks,"The ""pro-choice"" caucus doesn't want Democrats to say ""choice""... or for abortion to be rare. https://t.co/96DHAZeOCr"
RepJimBanks,"During #NationalPoliceWeek, police should know that America's leaders have their backs, just like they have ours. 
 
Read my latest in @FoxNews 👇
https://t.co/ZfQALupUz0"
RepJimBanks,.@speakerpelosi is the only Member of Congress covering up key docs related to 1/6. #SubpoenaPelosi
RepJimBanks,"While young parents scramble to feed their children, federal officials are stocking up on baby formula and other supplies in anticipation of nearly 20,000 illegal immigrants crossing our southern border every day once Title 42 is revoked.

#AmericaLast

https://t.co/ggvy58UJ2d"
RepJimBanks,"The Biden administration has repeatedly and intentionally put the consideration of illegal immigrants before that of the American people. 

There must be transparency.

https://t.co/ggvy58UJ2d"
RepJimBanks,Subpoena Pelosi!
RepJimBanks,"“I want you to look in my eyes. I guarantee you, I guarantee you we are going to end fossil fuel”—@joebiden https://t.co/ICBK1fTTmL"
RepJimBanks,"Yesterday, we learned last year was the highest number of drug overdoses on record with more than 100,000 American deaths reported.
 
The Democrats’ solution? Free crack pipes and needles.
 
This is evil and shameful! https://t.co/NRtb1G9395"
RepJimBanks,"The Biden admin is doing everything it can to raise gas prices in order to push electric vehicles and further the Left’s radical climate agenda.

The pain at the pump is the point! https://t.co/T7G1Z0hpIb"
