handle,text
RepJimmyPanetta,"I had an informative meeting with the Peace Officers Research Association of California to discuss federal training standards, collaboration with mental health professionals, and retirement security for our first responders. https://t.co/2rDWguEvm0"
RepJimmyPanetta,"Today, I presided over the debate for two bills that will support our brave men and women in law enforcement – the Public Safety Officer Support Act and the TBI/PTSD Law Enforcement Training Act. https://t.co/6aCU9wkTFz"
RepJimmyPanetta,It was great meeting with the team at the Alzheimer's Association of Northern California to discuss how I can support their vital advocacy efforts in Congress. https://t.co/1qpkeYV1aK
RepJimmyPanetta,"This International Day Against Homophobia, Biphobia &amp; Transphobia, we're reminded of the ongoing threat of  violence and hate facing the LGBTQ+ community. Let us commit ourselves to a brighter, safer, and more equal future."
RepJimmyPanetta,"Today, I launched the Congressional Service Organization Caucus with @CongressmanGT to recognize the many local and national nonprofit service organizations that are making the world a better place.
https://t.co/F27bRwI9ts"
RepJimmyPanetta,"This #AAPIHeritageMonth , I'm celebrating the vibrant Asian American and Pacific Islander communities here on the Central Coast who have contributed to our rich multicultural history. https://t.co/ICv8h1XnBL"
RepJimmyPanetta,"As Police Week comes to a close, I want to thank the men and women who put their safety on the line to protect our families and communities here on the Central Coast. My thoughts are also with our fallen officers and their families this week. https://t.co/JbXG5S604X"
RepJimmyPanetta,"This weekend, I had a great interview with Luka Chavez from Watsonville School of Arts, who participated in this year's #DayofSilence for LGBTQ+ students across the country. Keep up the great work, Luka! https://t.co/fyXKfi45Rl"
RepJimmyPanetta,Thank you to Kip Sorenson for sending me this Marine Corps challenge coin. Our office has worked closely with Kip on ensuring he gets the care and services he deserves from the Department of Veterans Affairs. https://t.co/s30qaL5l2N
RepJimmyPanetta,"As we wrap our arms around the victims and families of the Buffalo shooting, let us continue to wrap our heads around the hateful ideology behind such evil acts and what we can do to stop it. We must also prosecute the perpetrator of such evilness to the fullest extent."
RepJimmyPanetta,"Last week, we passed the Federal Firefighters Fairness Act, which would support our firefighting force here on the Central Coast with the benefits and compensation they deserve. https://t.co/kRMstIzYDM"
RepJimmyPanetta,"My E-Bike Act will make it easier to afford e-bikes, which are showing promise for both rehabilitation efforts and cutting our carbon emissions. https://t.co/tG0XLPgyrF"
RepJimmyPanetta,We urgently need to fix our outdated Social Security rules. I introduced the Marriage Equality for Disabled Adults Act because people with disabilities shouldn't have to choose between healthcare and the person they love. https://t.co/d0c5ORa0Gj
RepJimmyPanetta,"By making plant biostimulants more accessible, our agriculture producers, especially on the Central Coast, can continue to produce more food while protecting the environment.
https://t.co/MHEN2e0re3"
RepJimmyPanetta,We stand firmly in support of a woman's right to choose. The draft SCOTUS opinion on Roe v. Wade underscores the need for Congress to act now and protect reproductive healthcare. https://t.co/AvwCIe1Dlj
RepJimmyPanetta,"I’m excited to display the winning pieces of this year's Congressional Art Competition in the U.S. Capitol and my Salinas District Office for visitors from across the country and around the world to see and enjoy.
https://t.co/xbWpz3eGjj"
RepJimmyPanetta,"My bipartisan bill would help create a formal standardized definition of plant biostimulants so that innovative companies can better navigate regulatory hurdles and get to market sooner.
https://t.co/CCwJLHadtF"
RepJimmyPanetta,"Yesterday, I had the pleasure of meeting with Angela Der Ramos, a 5th-grade teacher from Salinas. She's also a leader for her community, representing District 4 for the National Education Association. Thank you, Angela, for all you do to support our students and teachers. https://t.co/2uo2t7Oe7h"
RepJimmyPanetta,"Thanks to the @UCSC students who joined me today for a discussion on pell grants, student financial support, campus safety, and the Women's Health Protection Act. https://t.co/i0m4BNUznT"
RepJimmyPanetta,"As we close out #NationalNursesWeek, I'd like to recognize the nurses here on the Central Coast who dedicate themselves to serving and caring for our community. We are forever grateful.
https://t.co/ZilhOZRHGN"
RepJimmyPanetta,"I'm proud of our Monterey County Board of Supervisors for passing this powerful resolution on a woman's right to choose. Thank you for reaffirming our community on the Central Coast as a champion for reproductive healthcare.
https://t.co/Nc7PQJ4gBt"
