handle,text
RepJohnKatko,I was proud to join my colleagues in voicing out support for the HELPER Act. This bipartisan and bicameral bill will create a new home loan program for first responders and teachers to help them become homeowners. https://t.co/sOZcv1DJts
RepJohnKatko,ICYMI: Developing policy solutions to better mental healthcare has been a top priority for me. I joined @TheHillEvents to discuss my recent work to expand access to pediatric mental healthcare and effectively implement the new 9-8-8 Suicide Prevention Lifeline. Watch below. https://t.co/ql4Ntq2eFQ
RepJohnKatko,"As cyber threats evolve and become more prevalent, now more than ever, we must enhance our country’s cybersecurity capabilities. I joined @axios to discuss these new threats and what we should be doing to protect ourselves. https://t.co/LLLLNC7ZY8"
RepJohnKatko,"My statement on the mass shooting at a supermarket near Buffalo, New York this afternoon. https://t.co/LkDtT0R7sa"
RepJohnKatko,"As head of the American Security Task Force, I have spent the past year meeting with law enforcement officials from across the country. From these conversations, our task force developed a plan to support law enforcement &amp; restore public safety. 
https://t.co/QNI6TFlEh7"
RepJohnKatko,"I was glad to lead members of  @SyracusePolice on a tour of the U.S. Capitol today. It has been an honor to support our law enforcement officers throughout my career in Congress, and I am especially proud to celebrate their indispensable role this #NationalPoliceWeek. https://t.co/pzpamWyseH"
RepJohnKatko,"In honor of #NationalPoliceWeek, this morning I participated in the Back the Blue Bike Tour and visited the National Law Enforcement Officers Memorial to pay tribute to Syracuse Police Officer Wallie Howard Jr., who died in the line of duty in 1990. https://t.co/aF0FJ9ODG9"
RepJohnKatko,"Today on International Nurses Day, I join the global community in celebrating the tremendous contributions of nurses in Central New York and around the world. https://t.co/ewZIOwn8NA"
RepJohnKatko,"I joined my Republican colleagues in requesting information from the @US_FDA on steps that can be taken to address the nationwide baby formula shortage. Parents are understandably frustrated and scared by this crisis. They deserve answers. 
https://t.co/LiTASthTLO"
RepJohnKatko,"The troubling rise in overdose deaths has had a tragic impact on families across Central New York, and it is unacceptable that this trend is being fueled by fentanyl flooding across our southern border. 
https://t.co/r4dlBvKBhG"
