handle,text
RepJohnLarson,"The families in #CT01 have felt the pain of the infant formula shortage firsthand. That is why I voted for emergency funding to improve access to safe formula now, get the FDA the resources it needs to address this shortage, and help prevent it from ever happening again!"
RepJohnLarson,My @WaysMeansCmte colleagues joined me in urging the Biden Administration to create a Beneficiary Advocate within the Social Security Administration. We must ensure SSA &amp; Congress know what beneficiaries need! https://t.co/NVQZw5HFUg
RepJohnLarson,"It was an honor to join with dedicated activists today as we work to repeal WEP/GPO. I'm proud Social Security 2100: A Sacred Trust would fix this problem that reduces Social Security benefits for many public servants, including teachers! https://t.co/s2tJc2nJvE"
RepJohnLarson,Rebecca Vallas of the @TCFdotorg emphasized eligibility does not equal access. We must make sure Americans can access the Social Security benefits they've earned and assistance from SSA! https://t.co/wMJh3YqRp0
RepJohnLarson,"The Social Security Subcommittee of @WaysMeansCmte heard from President and CEO of @NHCOA, Yanira Cruz, about how important benefits are to all kinds of Americans, especially people of color and women, across the country. https://t.co/wMJh3YqRp0"
RepJohnLarson,"Honored to hear from Alison Weir of @GHLA_Hartford speak about the challenges we need to address so SSA can provide accessible, quality, and quick customer service to beneficiaries. https://t.co/wMJh3YqRp0"
RepJohnLarson,"NOW: We're hearing from Bethany Lilly of @TheArcUS, who is emphasizing how long COVID will bring new challenges to the SSA and how important it is for SSA to have the resources to address their backlog. https://t.co/wMJh3YqRp0"
RepJohnLarson,Tracey Gronniger from @justiceinaging emphasized how we must ensure Social Security beneficiaries can access assistance from SSA no matter their zip code or economic background! https://t.co/wMJh3YqRp0
RepJohnLarson,"NOW: Grace Kim is testifying before the Social Security Subcommittee of the @WaysMeansCmte. SSA employees play a vital role in ensuring beneficiaries get the benefits they've earned, and we need to make sure they have the resources they need to do so! https://t.co/wMJh3YqRp0"
RepJohnLarson,Nearly 150 of our colleagues joined @JoaquinCastrotx &amp; I in sending a letter to President Biden urging his Administration to continue diligently addressing the formula shortage &amp; ensure this doesn't happen again. We cannot let our nation’s families ration formula or go hungry. https://t.co/SSshn5FzSB
RepJohnLarson,"Today is the International Day Against Homophobia, Transphobia, and Biphobia. I am committed to supporting LGBTQ+ Americans and their families. We must stand together against discrimination in all its forms both at home and abroad."
RepJohnLarson,"Today at 2pm, I'm chairing a hearing with the Social Security Subcommittee of the @WaysMeansCmte on how we can Strengthen Social Security's Customer Service. We'll be hearing from key stakeholders on how SSA can meet the needs of Americans! Watch here: https://t.co/5TxbcdDOOc"
RepJohnLarson,"🚨 Every household is now eligible for a third round of free, at-home tests delivered straight to your mailbox. Visit https://t.co/nfGRKycqty or call 1-800-232-0233 to place your order today! 🚨"
RepJohnLarson,"As we recognize #MentalHealthAwarenessMonth, I met with local officials to hear how they are using funding we secured in Congress for new mental health initiatives, like behavioral therapy in South Windsor and a service navigation program in Middletown. https://t.co/sPQV1N6cLE"
RepJohnLarson,"My heart goes out to the victims and their families after this tragic, hate-filled shooting. The Senate's filibuster continues to stand in the way of common-sense gun violence prevention measures. Enough is enough. https://t.co/aVGmBiKUjV"
RepJohnLarson,The Abbott Nutrition recall has led to a heartbreaking shortage of infant formula on the market. Visit the site below for resources from @HHSGov to help obtain formula during this shortage. https://t.co/1r6niK561N
RepJohnLarson,"We secured critical assistance for homeowners in Congress by passing the #AmericanRescuePlan. Assistance is available for missed mortgage payments, future payments, and other housing costs with MyHomeCT. Find out if you are eligible and apply today at https://t.co/HPVg7n23Kd!"
RepJohnLarson,"We need to meet families where they are by investing in community-based solutions that can end the cycle of poverty. Today, I voted to modernize the Community Services Block Grant so we can lift more Americans out of poverty by helping them secure jobs, housing, and education. https://t.co/KpWdy7t4OQ"
RepJohnLarson,It was an honor to stand in solidarity with my Democratic colleagues as we fight to defend the right to reproductive care and abortion. America cannot go backwards. https://t.co/HPjppTepY0
RepJohnLarson,"We're fighting to make improvements to #SocialSecurity because beneficiaries need it! This program serves our nation's seniors, widows, children, and disabled and we must ensure it's protected for years to come. https://t.co/j6q2Q0Ybc8"
RepJohnLarson,"In February, I asked @USDOT to update our crash test standards to ensure women’s safety is considered equally as important as men’s. This must be a priority; women’s lives are on the line. https://t.co/uppMxIMkM4"
RepJohnLarson,Congratulations to Maya Palanki of West Hartford for being selected as a 2022 U.S. Presidential Scholar. We are so proud of you! https://t.co/ywNwiwsGaH
