handle,text
RepJoshG,"Following a bipartisan call from 20 of us in the House today to invoke the Defense Production Act, the White House has now announced this new action to boost baby formula production.

With both sides of the aisle working together, we're working to ensure no baby goes hungry. https://t.co/UBKC44KQKB https://t.co/y4WZB29sUP"
RepJoshG,"Today, I’m leading a group of 20 in the House to urge the President to invoke the Defense Production Act to boost baby formula production &amp; ensure it gets to all regions of the nation.

No baby should go hungry &amp; no mother or father should have to struggle to feed their child. https://t.co/JpOVQ5mTXI"
RepJoshG,"Thank you to Aaron DeNicola, from #NJ5, and the great folks at @alzassociation for all their hard work to ensure those suffering from Alzheimer’s and their caregivers have the support they need.
 
Great to meet with Aaron again as we continue our fight to #ENDALZ. https://t.co/usGP4LPd16"
RepJoshG,"Last week, a group of bipartisan Members of Congress demanded that Congressional leadership bring my bipartisan, bicameral Invest to Protect Act to the floor for a vote. It will ensure that police departments in small towns &amp; communities have the resources &amp; training they need."
RepJoshG,"We need to fund — not defund — local law enforcement to keep them and our communities safe.
https://t.co/pYGf3zJSxv"
RepJoshG,I’m grateful for his offer to serve.
RepJoshG,"Congratulations to Owen Roy from Allendale for being accepted to the U.S Military Academy. I’m honored to have nominated such an outstanding Fifth District student for his excellence in the classroom, in our community, and his sense of duty to our community. https://t.co/26lBoM1PmU"
RepJoshG,"As a proud member of the bipartisan Congressional Hellenic Caucus, I will continue to support strong U.S. relations with Greece &amp; Cyprus.
 
I'm so proud to represent such a vibrant and strong Jersey Greek community."
RepJoshG,"Honored to be at the joint session of Congress with Greek Prime Minister @kmitsotakis to commemorate the Bicentennial of the Greek Revolution.

Great to have Dr. Zenon Christodoulou with @AHEPABergen285 as my official guest! https://t.co/S8UX1u2EHV"
RepJoshG,"We need qualified &amp; defined stablecoins backed by the U.S. dollar or equivalents to help boost innovation, protect consumers, and prevent runs on the market. My stablecoin legislation will do just that."
RepJoshG,"Just last week, @Tether_to and @terra_money — whose financial stability is unclear — experienced runs and shocked the market."
RepJoshG,"Joined @SquawkCNBC this morning to talk about how my new stablecoin legislation can help prevent a run on the crypto market which hurts consumers. 
https://t.co/SskBvYA3B4"
RepJoshG,"The killing of Palestinian-American journalist, Shireen Abu Akela is tragic and heartbreaking.
 
There must be a full investigation with submission of all forensics and cooperation from all parties."
RepJoshG,"With resources like Nonprofit Security Grants, I will continue working across the aisle to ensure our houses of worship have the resources they need to stay safe."
RepJoshG,"Congratulations to Congregation Beth Abraham for officially breaking ground on your new building and renovation!

Donny Morris' memory will live on not only in the namesake of this building, but also through the congregants and students here at Congregation Beth Abraham. https://t.co/vLfIGFQVFD"
RepJoshG,"It was great to stop by Bris Avrohom and speak with Rabbi Mordechai Kanelsky and Rabbi Mendel Zaltzman! 
 
I’m always grateful for the time I spend with North Jersey’s great congregations.
 
https://t.co/Gg8qtkNkXX"
RepJoshG,"This bill will help save lives, and there’s nothing partisan about that."
