handle,text
RepKimSchrier,I’ve been pushing for the President to invoke the DPA so I’m glad to finally see this action today. This is one important way to address the infant formula shortage and get formula back on shelves faster. Next week I’ll be looking into what happened in an oversight hearing. https://t.co/lX6b5NwQip
RepKimSchrier,Today I joined @JDBalartMSNBC to talk about the ongoing baby shortage formula. No parent should have to worry about being able to feed their newborn. There are steps we can take now to get formula back on shelves. This was preventable. We must prevent it from happening again. https://t.co/CSUked0wgf
RepKimSchrier,"Several of my bills will be debated during today's markup, including a bill that will help children access mental health care. Tune in here: https://t.co/PO1ZghjHQU https://t.co/scyZeRnP0r"
RepKimSchrier,"Due to votes going late tonight, I've unfortunately had to postpone this evening's telephone town hall. It has been rescheduled for next Thursday, May 26th @ 5:00 p.m. PT. I look forward to speaking with you then! https://t.co/QLdyZRywXJ"
RepKimSchrier,"While it is welcome news that Abbott is preparing to reopen their plant, it shouldn’t have taken this long. We need supply right now and we need to make sure this doesn’t happen again. I hope to hear from the FDA soon about what can be done to prevent this from happening again."
RepKimSchrier,"ICYMI: On Friday @RepDustyJohnson &amp; I sent a letter to FDA about the baby formula shortage. No parent should worry about being able to feed their newborn. When there is a voluntary recall of essential nutrition impacting the nation, we need to ensure quick action can be taken. https://t.co/uTrSZKEpfD"
RepKimSchrier,"This week the House will voting on my bill to prevent price gouging at the gas pump. At a time when people in the 8th &amp; across the country are feeling the pinch at the pump, Congress must do all it can to bring down costs for American families. https://t.co/PE9M0d9do0"
RepKimSchrier,"My next town hall will be a telephone town hall on Tuesday, May 17th @ 5:00 p.m. PT. To make sure you get a call, RSVP here: https://t.co/j1dXI96FBS https://t.co/NW6eVhbCxx"
RepKimSchrier,"Earlier this week, I joined my colleagues from both sides of the aisle in support of Ukraine. This legislation will send defense assistance funding and humanitarian aid to the people of Ukraine to help them defend their country. https://t.co/KjRL8UJ0Hx"
RepKimSchrier,"From now until Memorial Day, my office is collecting info and photos of fallen servicemembers to display on a virtual wall of portraits. None of our fallen heroes who made the ultimate sacrifice should be forgotten. More details here: https://t.co/VOoz89QNOO https://t.co/3UZ6nDKdOz"
RepKimSchrier,The U.S. has mechanisms in place in other supply chains to trigger rapid response to shortages that I think we should also have in place for infant formula. This was a preventable crisis. We need answers and action ASAP.
RepKimSchrier,"Today @RepDustyJohnson &amp; I sent a letter to FDA about the baby formula shortage. No parent should have to worry about being able to feed their newborn. When there is a voluntary recall of essential nutrition impacting the whole nation, we need to ensure quick action can be taken. https://t.co/X7wxcD401d"
RepKimSchrier,WA potato farmers got some huge news this week with Mexico finally accepting U.S. potato exports! This has been a long time coming. Expanding markets for Washington's agricultural products is so important right now for our state's economy. https://t.co/9tnkgXeFVV
RepKimSchrier,"During National Police Week, we honor law enforcement officers who died in the line of duty. This year the names of 7 WA officers will be added to the Memorial wall. I am grateful to police officers who are willing to put their lives on the line to keep our communities safe. https://t.co/TT7zk9ctOT"
RepKimSchrier,"Today the #SubEnergy held a hearing on streamlining the hydropower licensing and relicensing process. In WA state, hydropower generates nearly 2/3 of our energy each year. In an increasingly electric world, clean and affordable hydropower will help ensure grid reliability. https://t.co/RtZ2PG3KRv"
RepKimSchrier,"This bill will make sure that smaller police departments, like most in the 8th district, can access these important grants to keep themselves and our communities safe."
RepKimSchrier,"This morning I joined colleagues from both parties to call on leadership to bring the bipartisan Invest to Protect Act up for a vote. I have met with police chiefs and officers about what resources they need, including body cameras and grants to hire and retain officers. https://t.co/YJYi8zQgwD"
