handle,text
RepKweisiMfume,"This bill supports federal law enforcement and investigative agencies in a combined effort to combat domestic terrorism and other domestic threats in our country, including threats stemming from white supremacist and neo-Nazi beliefs."
RepKweisiMfume,"My prayers go out to all who were affected by the horrific shootings that occurred this past weekend across the country. This evening, I will vote in favor of the Domestic Terrorism Prevention Act in the U.S. House of Representatives."
RepKweisiMfume,These are critical bills to combat this consequential shortage and protect American families. #FeedOurInfants now! https://t.co/fXSQu34enX
RepKweisiMfume,"And the Access to Baby Formula Act, which allows lower-income families to utilize their WIC benefits to buy safe formula as we battle this crisis."
RepKweisiMfume,"The Infant Formula Supplemental Appropriations Act, 2022, which will fund the FDA with $28 million to address the shortage and safely re-establish supply."
RepKweisiMfume,"To the mothers and families directly impacted by the baby formula shortage, I hear your understandable pleas and stresses during this crisis. Today, I will be voting in favor of two bills to address this emergency. They are:"
RepKweisiMfume,"To do so, it is essential Congress stay committed to #InvestingInWorkers, and this bill triumphantly falls in line with this objective."
RepKweisiMfume,"In a recovering economy with businesses searching for employees, this bill funds workforce development programs that can be a link between developing our workforce to meet today’s demands and create an America where all who want to work, can work. https://t.co/BS0nDScYzD"
RepKweisiMfume,"H.R. 7309, the Workforce Innovation and Opportunity Act (WIOA) of 2022 passed in the U.S. House of Representatives this evening. https://t.co/ujpJ2dgq7c"
RepKweisiMfume,@JointCenter @NAACP_LDF @NAACP @AFTunion  @BTUBaltimore @GBULorg @BaltCitySchools @BaltCoPS @HCPSS @MSEAeducators
RepKweisiMfume,"#OnThisDay, 68 years ago, the U.S. Supreme Court decided in Brown v. Board that segregation in education was a practice that violated the U.S. Constitution. Today serves as a reminder that the fight to provide a truly equal education for all children still lives on. https://t.co/9fam4mKnmZ"
RepKweisiMfume,Hang in there @ChrisVanHollen and get well. We need your voice and we need you. We are praying for a quick and complete recovery. https://t.co/L0ArHbITcM
RepKweisiMfume,"Very enlightening conversation with the League of Women Voters yesterday. Thank you LWV of Maryland (@LWVMD), the LWV of Baltimore City (@LWVofBalt_City), and the national League of Women Voters (@LWV) for all you do for our democracy. #Democracy https://t.co/vhAiqfjNN9"
RepKweisiMfume,"This bill will maintain the CSBG program for 10 years, and I am proud to have supported its passage in the U.S. House Education and Labor Committee (@EdLaborCmte) and U.S. House. #EndPoverty"
RepKweisiMfume,"The CSBG program supports Community Action Agencies (CAAs) which worked with nine million Americans in 2019, helping less affluent people change their lives through employment, education, and housing opportunities."
RepKweisiMfume,"Today, we passed the Community Services Block Grant Modernization Act of 2022 in the U.S. House of Representatives. This bill and the Community Services Block Grant (CSBG) program associated with the bill have one core mission: reduce poverty in the United States. https://t.co/5IyFuyPSN5"
RepKweisiMfume,TSA provides crucial security that allows American and international travelers to safely traverse the skies. Let’s treat their employees accordingly.
RepKweisiMfume,These notable provisions allow the agency to better build its workforce and combat the current low employee morale at TSA.
RepKweisiMfume,"This classification will allow TSA employees to participate in collective bargaining, possess disciplinary appeal rights, and be fairly compensated for the work they do."
RepKweisiMfume,"Today, my colleagues and I voted in favor of H.R. 903 – the “Rights for the TSA Workforce Act of 2022.” This legislation provides much-needed support to the TSA workforce by listing agency employees under the title 5 personnel system primarily used by federal agencies. https://t.co/Zp1yDIJCdP"
RepKweisiMfume,"I urge you to have no shame in reaching out for mental health care, and always be vigilant of warning signs in others. Be sure to check on your friends and family and please know that whoever is reading this, you matter and have a purpose. 
#BreakTheStigma #MentalHealthAwareness"
RepKweisiMfume,"The total age-adjusted suicide rate in the United States increased 35.2% from 1999 to 2018, and this tragedy is now considered a leading cause of death in the United States."
RepKweisiMfume,"May is recognized as Mental Health Awareness Month. It is time to treat mental health as seriously as we take our physical health, as those struggling with these challenges are growing in the United States. https://t.co/dsKtykficK"
