handle,text
RepMarkTakano,"I had a chat with the First Minister of Scotland, Nicola Sturgeon, about Scotland exploring a shortened workweek, and my 32-Hour Workweek Act which will allow us to do the same here in the U.S.

Workers across the globe are ready for change and it’s time we deliver. https://t.co/70Vf1yX2z9"
RepMarkTakano,"Congratulations to Riverside CHP Officers Vincent Mendoza, Ryan Smith, and Robert Paul III on being awarded medals of valor from President Biden.

These officers showed true heroism in responding to the fatal shooting of Officer Andre Moye Jr. They have made our community proud. https://t.co/2Uzqb1wzps"
RepMarkTakano,"Today is the is the International Day Against Homophobia, Biphobia and Transphobia, a day to to draw attention to the violence and discrimination experienced by LGBTQ+ people around the world.

As we fight for LGBTQ+ rights abroad, we must model an inclusive society here at home. https://t.co/6TwiNIFc3P"
RepMarkTakano,"I knew and admired Urvashi Vaid. She understood the intersectionality of being both gay and AAPI, and was a champion and pioneer for the LGBTQ community.

Her ferocity and her generosity will be greatly missed. My condolences to all who knew and loved her – she left us too soon. https://t.co/fZBnfSBhxJ"
RepMarkTakano,"I hope the attacker is prosecuted to the fullest extent of the law. But, It’s not enough to continue responding to these attacks – we must prevent them from occurring in the first place.

I’m grieving the lives that were taken and thinking of those who were seriously injured."
RepMarkTakano,"The vile, racially motivated act of domestic terrorism in Buffalo, New York, is the result of radicalized right-wing extremists fueled by the great replacement theory and enabled by Republican lawmakers who refuse to address the threat this has on our communities and our country. https://t.co/6bzuG9i5U8"
RepMarkTakano,"I am outraged that in 2022, women's reproductive rights are still under attack.

If you are not equally as outraged, you are not paying attention.

#ProtectRoe https://t.co/H6oPN3KwmG"
RepMarkTakano,"I had the honor of attending Speaker Pelosi's Association of Southeast Asian Nations Special Summit and was very pleased to her the Speaker raise LGBTQ+ issues during the discussion.

LGBTQ+ issues are global issues that require all of us working together to address. https://t.co/aYziPB8lCb"
RepMarkTakano,"We have reached a tragic milestone: 1,000,000 American lives lost to COVID-19.

My heart continues to ache for the individuals and families affected. Please continue taking precautions to keep yourselves and your loved ones safe. https://t.co/4IagX9kL3q"
RepMarkTakano,"SCOTUS' decision to strike down Roe v. Wade is the culmination of Republicans’ decades-long radical plan to take away women’s fundamental, constitutional freedoms.

This is the grim reality of what our country would look like if the decision stands. https://t.co/BrD7JR6YLa"
