handle,text
RepNancyMace,"Bipartisan vote today for the Water Resources Development Act (WRDA) 2022 in the Transportation and Infrastructure Committee. This bill will direct important resources to SC01 ecosystem restoration projects, water conservation, &amp; natural environmental infrastructure projects. https://t.co/bgWEW4HiFn"
RepNancyMace,"Bikes and Treads are all over $1,000. 

Most people in Congress are not going to pay these prices for exercise equipment, but still get this All-Access Membership for free? (2/2)"
RepNancyMace,"Not to forget-@SpeakerPelosi is giving everyone in Congress All-Access Memberships. These memberships require Peloton Bike, Bike+, or Tread. 

@FoxBusiness article states no equipment needed, however @onepeloton website says differently. (1/2) https://t.co/m4xJ2sOJeL"
RepNancyMace,".@SpeakerPelosi is adding unnecessary spending and is costing the taxpayers even more. 

Think of what $100,000 or more per month could fund instead. https://t.co/V3CUbNm3s2"
RepNancyMace,"Wrong Carolina, governor @GovInslee. Maybe you need a map. 

Houses are not falling into the Atlantic in my district. Also, I work hard to keep our beaches beautiful &amp; environment healthy in SC01 &amp; have a 100% rating with the conservation voters of SC. Better luck next time. https://t.co/dSuP1bTfix"
RepNancyMace,"Today, aviation is at the forefront of innovation, &amp; is the most secure mode of transportation in the world. I joined the Transportation &amp; Infrastructure Subcommittee on Aviation this afternoon to discuss sustainable airline fuel (SAF) in combating an ever changing environment. https://t.co/4dOf5LPPGP"
RepNancyMace,"On Monday, the Administration plans to lift Title 42. 

Staggering numbers from April show just how awful the crisis at the border is. We have to keep Title 42 in place. https://t.co/NZVBUm9RM7"
RepNancyMace,"I joined @FoxBusiness to discuss the bill I introduced which will temporarily lift tariffs imposed on infant formulas. 

Parents must be able to feed their children. #babyformula https://t.co/HTuJEn9txr"
RepNancyMace,Free concert &amp; fireworks show in Charleston on July 2! Who will be attending? 🇺🇸🎆 https://t.co/lhFujNSLP2
RepNancyMace,Headed back to DC tonight where I’ll be filing a bill to waive the tariffs on imports of baby formula for the next 90 days - until this shortage is no more. #babyformula https://t.co/rwtCMo9Kt6
RepNancyMace,"Tonight I will be dropping a bill which will temporarily waive tariffs levied on infant formula products. 

I urge @SpeakerPelosi &amp; @GOPLeader to bring this bill up to suspension immediately."
RepNancyMace,"Today I joined The Blood Connection in effort to help our national blood shortage. If you are able to, please donate! @BloodConnection https://t.co/YvsGRPI8wb"
