handle,text
RepPaulTonko,"My Mainstreaming Addiction Treatment Act will increase access to lifesaving addiction medication at a moment when we need it most. 

With more than 107,000 of our neighbors lost to overdose last year, Congress must not delay in advancing our #MATAct."
RepPaulTonko,"My HEART Act will ensure that the voices of patients are heard when the FDA makes decisions about new treatments for rare diseases and patient safety. 

With insight &amp; guidance from experts, the FDA can make critical progress on approving badly needed treatments."
RepPaulTonko,"Advanced out of committee today was my bipartisan Substance Use Prevention, Treatment, and Recovery Services Block Grant Act, which addresses the opioid crisis head-on by reauthorizing funding for lifesaving addiction services for 1.4 million+ Americans each year."
RepPaulTonko,"Today I joined @EnergyCommerce to advance a number of key health bills, including legislation I authored. 

These provisions will expand critical addiction treatment services, accelerate development of treatments for rare diseases, and more!"
RepPaulTonko,"Honored to accept the AIM Humanitarian of the Year Award for my work to support individuals and their loved ones living with Alzheimer’s. 

The steadfast work of families &amp; advocates fuels my voice and strengthens my resolve. I will always stand with you in the fight to #ENDALZ! https://t.co/YTeL4wA0hy"
RepPaulTonko,"Today we mark the International Day Against Homophobia, Biphobia and Transphobia. We must stand together to protect the fundamental rights of every person to live free from discrimination and hate.

This day and every day, I'll fight to advance LGBTQI+ equality. #IDAHOBIT"
RepPaulTonko,"I’ve long pushed for legislation that provides needed care to Americans struggling with Alzheimer’s. Proud to introduce 2 bills that steer federal investments to address this devastating disease &amp; give scientists the tools to develop effective treatments.
https://t.co/Pzmho3fTiZ"
RepPaulTonko,"I’m working in Congress to advance strong legislation that will tackle supply chain shortages, create jobs, and lower costs for American families. Read my newsletter to learn more.

https://t.co/yXFv840nFW"
RepPaulTonko,"Communities must be equipped with the tools they need to lift families out of poverty. 

Just voted in the House to pass bipartisan legislation that will deliver these resources and help Americans in our region &amp; across the nation access education, housing, and employment."
RepPaulTonko,"The pandemic is causing a huge influx in chronic illnesses like myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and other illnesses tied to Long COVID. 

We must lift up the voices of those living with ME/CFS and commit to researching these illnesses. #WorldMEDay"
RepPaulTonko,"Joining my fellow House and Senate conferees today to begin negotiations on #AmericaCOMPETES &amp; #USICA. 

I'm ready to work to deliver legislation that invests strongly in chip manufacturing &amp; supports domestic supply chains, creates jobs and bolsters American competitiveness. https://t.co/mSAHIgzrA8"
