handle,text
RepPressley,"Happy #HaitianFlagDay! Today marks 1 year since we revived the House Haiti Caucus to center voices from Haiti in our foreign policy.

#MA7 is home to one of the largest Haitian communities &amp; I'm so grateful for the contributions of Haitian Americans to Massachusetts &amp; our nation. https://t.co/YQPrF91Oe3"
RepPressley,"There are over 17,000 federal clemency applications pending—that means over 17,000 lives hanging in the balance.

The US Pardon Attorney must release demographic data on the clemency backlog so we can better understand this problem and address its impacts. https://t.co/udhPrZx2GY"
RepPressley,".@POTUS has been fighting hard to address the baby formula crisis &amp; we must keep it up.

That's why myself, @RepBowman, @RepJayapal &amp; @RepGraceMeng are urging him to use every executive authority to end the shortage &amp; help feed our babies, including the Defense Production Act. https://t.co/5eG3M1Eu6B"
RepPressley,"It's been nearly impossible for families in Massachusetts to find baby formula, especially for those on WIC.

That's why @RepLoriTrahan, @RepKClark &amp; I want answers from Abbott Nutrition on their plans to restock Similac baby formula in the Commonwealth.
https://t.co/ZjL9AsZoVo"
RepPressley,"Hey #MA7, we're holding a virtual town hall on Monday, May 23rd @ 7pm EST.

We'll take questions, update you on our work in Congress &amp; @rhartholder of @reproequity_now will give an update on the fight to protect abortion rights.

Hope you'll join us! https://t.co/cIfChsT19a https://t.co/ZR4x3XIFGm"
RepPressley,"Many student borrowers became first-generation homebuyers, new parents, and small business owners because of the pause on student loan payments.
 
Imagine how transformative it would be for @POTUS to #CancelStudentDebt!"
RepPressley,"Income is not wealth. If you have student debt, you need relief in the form of cancellation—period.
 
@POTUS must #CancelStudentDebt and be as broad and inclusive as possible.
https://t.co/zHauRsm32F"
RepPressley,"Our communities have waited long enough. 

@POTUS has the authority to #CancelStudentDebt and provide real, tangible relief to millions of borrowers. It’s time to act."
RepPressley,"With Supreme Court Justices &amp; anti-choice lawmakers across the country waging a full-fledged assault on our reproductive freedom, we must act like our humanity, bodily autonomy, and collective liberation are at stake, because they are."
RepPressley,☀️Daily reminder that abortion care is a fundamental human right.
RepPressley,"I want the #LongCOVID community to know that what you’re experiencing is not imaginary. It is real &amp; you deserve help. 
 
That’s why I won't stop fighting to #TREATLongCOVID &amp; get our #LongHaulers the care &amp; resources they need. https://t.co/x0A9RNJTdc"
RepPressley,"Black women are the most educated group in America but also the most burdened by student debt.
 
This is a racial &amp; economic justice issue and @POTUS must #CancelStudentDebt.
https://t.co/z2q8YWfsDz"
RepPressley,"Today, Roe v. Wade is still the law of the land. If you have an appointment, keep it. If you need care, seek it.

Abortion care is a fundamental human right, and we will not stop organizing, mobilizing, and marching until our policies and budgets reflect that truth."
RepPressley,"🚨The House passed our amendment to the Community Services Block Grant Modernization Act!

Our amendment makes it easier for local orgs who serve folks experiencing trauma to access critical federal grants so they can continue the work of helping our communities heal &amp; thrive. https://t.co/DTnOufb5Lg"
RepPressley,"Throughout its history, the Jim Crow-era rules of the U.S. Senate have prevented progress, obstructed justice &amp; kept a foot on the neck of Black America.

Enough. It's time to #AbolishTheFilibuster."
RepPressley,"The Work to protect our reproductive rights &amp; freedom continues.

Proud to join @RepNikema on a resolution opposing the criminalization of those seeking abortion, gender-affirming care and other comprehensive reproductive healthcare.
 
Nobody is free until everyone is free."
RepPressley,"@USDA's child nutrition waivers have helped feed millions of kids during the pandemic.
 
@RepMcGovern, @RepBarbaraLee &amp; I are urging action to extend these waivers so our children can continue accessing free, healthy school meals. https://t.co/3MucuAACd0"
