handle,text
RepRichHudson,"I am honored to help lead @GOPLeader's Healthy Future Task Force with @VernBuchanan &amp; @RepGuthrie.

Read more from my op-ed with @RepJimBanks &amp; @TomColeOK04 on how we can strengthen our medical supply chain, secure our borders from drug trafficking, and hold China accountable: ⤵️ https://t.co/MVnDVbzf57"
RepRichHudson,"Today @HouseCommerce approved three bills I introduced to improve youth mental health, reduce drugs costs, and hold China accountable.

I am glad our bipartisan KIDS CARE Act and other common sense legislation will now move to the full House. Read more:
https://t.co/1TAHkrhp4w"
RepRichHudson,"Like gas prices, the #BidenBorderCrisis has just set a new record: 234,088 illegal migrants encountered in April.

This is the fourth time since Biden took office that encounters have passed 200k. Ending Title 42 will only make this worse!
https://t.co/ODQ1h8Rgjc"
RepRichHudson,"🚨Gas prices set another record today ($4.52), yet House Democrats just BLOCKED our American Energy Independence from Russia Act – for a 6th time.

It’s time to end the war on our domestic production and UNLEASH American energy! https://t.co/6dnmsCfxrO"
RepRichHudson,Congratulations to @MethodistU's @MUMensGolf on their DIII championship victory last week. They have once again made our community and state proud! https://t.co/A68YUMww4n
RepRichHudson,".@ConcordNCPolice Officers Shuping, Baker, Stackenwalt &amp; Robinson displayed incredible courage to protect our community. Today's Medal of Valor awards ensure Officer Shuping (#EOW 12/16/20) and his colleagues receive the recognition they deserve.
https://t.co/OmX18ugo94"
RepRichHudson,"Families across our country are reeling from the highest gas prices in history. The President's response? Cancel oil and gas leases.

We need to unleash American energy, not stifle it! #BidenPriceHike 

https://t.co/yNmi13yxux"
RepRichHudson,"Today, @HouseGOP is demanding the Biden administration act to address the baby formula shortage.

Families are already paying $5,200 more this year due to #Bidenflation. Now this shortage is impacting families across our country- including North Carolina:

https://t.co/Xoe86n0SMU"
RepRichHudson,"As a dad of a young child, I know parents should never have to worry about finding baby formula.

Yet that's exactly what's happening across our country.

That's why I joined @HouseCommerce Leader @cathymcmorris &amp; @HouseGOP to demand the Biden admin act to address this shortage⤵️ https://t.co/NUIMAPvpBf"
RepRichHudson,"As a member of @GOPLeader’s Healthy Future Task Force, I am focused on improving health care for all Americans.

I’m proud my commonsense bills to improve youth mental health, reduce drug costs, and hold China accountable have advanced in @HouseCommerce:

https://t.co/U1Dfi151lA"
