handle,text
RepRickAllen,"This administration’s efforts to regulate Americans’ freedom of speech online are straight out of 1984. 

I’m glad their “Disinformation Board” is now scrapped. It should have never been proposed. https://t.co/u7r98I39SA"
RepRickAllen,"President Biden is breaking all the wrong records.

His administration can now add the highest number of border encounters in a single month to its growing list of ""accomplishments."""
RepRickAllen,"Every state in the union now has average gas prices of over $4/gallon. 

Americans cannot afford President Biden’s war on domestic energy. https://t.co/CyHW66zF3y"
RepRickAllen,"Inflation is an invisible tax on every American. But it’s more than just a tax — it’s also a pay cut.

@BLS_gov reports average hourly earnings “decreased 2.6 percent, seasonally adjusted, from April 2021 to April 2022.”"
RepRickAllen,"In case you missed it, I joined the @WilkowMajority this week to discuss the Employee Rights Act – legislation I introduced with @SenatorTimScott to modernize the American workforce and ensure workers, not union bosses, call the shots.

Full interview ⬇️
https://t.co/mQEruC9jRC"
RepRickAllen,"Baby formula shortages are an urgent problem that must be addressed immediately. Proud to join Chairwoman @cathymcmorris and 100+ of my fellow @HouseGOP members in calling on this administration to act now.

https://t.co/bOuusWI76B"
RepRickAllen,"Contrary to what President Biden says, record-high gas prices aren't the result of ""transitory"" inflation or some so-called ""Putin price hike.""

They're the result of this administration's failed policies. https://t.co/565YruZqsz"
RepRickAllen,Republicans will always Back the Blue! 🇺🇸 https://t.co/jywQHCjEHJ
RepRickAllen,TUNE IN: https://t.co/7Q9vvDM7FL
RepRickAllen,I’m heading over to a press conference led by @RepKatCammack to honor our nation’s law enforcement personnel on #NationalPoliceWeek.
