handle,text
RepSarbanes,"Americans should not live in fear of violence fueled by hate, racism and anti-Semitism. I voted to provide new resources to prevent, investigate and prosecute domestic terrorism.
https://t.co/hSocDjFLox"
RepSarbanes,"With rising prices putting a real strain on Marylanders, I’m glad that Democrats and Republicans came together to pass a federal budget bill that will help lower the cost of living for families. See my latest #SarbanesStandard for a legislative update:
https://t.co/FO61ZHD2kM"
RepSarbanes,"This legislation will build on @POTUS’ actions to work directly with infant formula manufacturers, crack down on unfair market practices and increase importation of infant formula products from abroad.
https://t.co/HLmHwb4QVL"
RepSarbanes,"The infant formula shortage is distressing for parents nationwide. Today, I’m voting for two bills that will provide @US_FDA with the resources to address this shortage, improve WIC participants’ access to formula products and prevent these crises moving forward. #FeedOurInfants https://t.co/TNUjLN1YaY"
RepSarbanes,"Today, we celebrate #57YearsofHeadStart! Over the past 57 years, @NatlHeadStart has provided early learning opportunities and critical health services to children in Maryland and across the country. I will continue to support programs that help our children and families succeed. https://t.co/gb11ZJLuuX"
RepSarbanes,"Today, we proudly welcome Greek Prime Minister @KMitsotakis to the U.S. Capitol. As a Greek American, I am especially pleased to celebrate the bicentennial of Greek Independence Day and the democratic traditions that will always unite our two nations. https://t.co/kaRxgI4YlW"
RepSarbanes,"As Memorial Day approaches, and we remember those who made the ultimate sacrifice in service of our nation, we must honor our servicemembers, veterans and their families by improving their access to comprehensive health care benefits. #SarbanesStandard
https://t.co/BbVzQcv6pa"
RepSarbanes,Good news – you can now order a third round of free at-home #COVID19 tests through @USPS! Visit https://t.co/SejNItFztp today to order 8 tests straight to your doorstep.
RepSarbanes,"Thanks to local efforts, many Marylanders have seen the power of workforce development programs. This legislation will expand those opportunities and career pathways for workers, developing a more qualified workforce and a stronger economy."
RepSarbanes,"Today, I’m voting for legislation to help Americans acquire the skills and training they need to succeed in good-paying, high-demand jobs. The Workforce Innovation and Opportunity Act will invest in workforce training programs and career navigation services - #InvestingInWorkers."
RepSarbanes,It was a great honor to serve on the Escort Committee for Prime Minister @KMitsotakis today as he addressed Congress to commemorate the Greek bicentennial and celebrate the strong relationship between our countries. https://t.co/FqRdpAmKqf
RepSarbanes,"Across the country, Americans of all political stripes want to pry our democracy from the grip of big money in politics. This decision does just the opposite."
RepSarbanes,"The Supreme Court’s ruling in FEC v. Cruz sides with donors over American voters. It undermines the commonsense campaign finance laws that guard against corruption or the appearance of it, diluting voters’ voices. 
https://t.co/LcGCxl2CdJ"
RepSarbanes,"Today, @Call_Me_Dutch and I visited the Glen Burnie VA Clinic to thank the staff for their dedication to the well-being of our nation’s veterans. We also met with @mdvagov for updates on the system’s capacity to serve veterans now and throughout #COVID19. https://t.co/NCrIdG5PDE"
RepSarbanes,"If you'd like to sign up for future telephone town halls, please visit: https://t.co/1jC4gAbLHZ"
RepSarbanes,"Last week, I held a telephone town hall to talk with Marylanders about several important topics. Listen here: https://t.co/nLM2KqwbKy"
RepSarbanes,"Wishing my friend and colleague, @ChrisVanHollen, a quick recovery. https://t.co/6ZcOabUOcL"
RepSarbanes,Our nation mourns after another tragic mass shooting. This heinous act was rooted in the hate bred by white supremacist conspiracy theories and shocks our collective conscience to the core. My heart goes out to the families of the victims and all of Buffalo.
RepSarbanes,#NationalNursesWeek is a time to thank the nurses in Maryland and across the country who selflessly care for our communities. Continuing to improve healthcare funding and working to address staffing shortages are just some of the ways we can honor these healthcare heroes.
RepSarbanes,"📱📞Please join my live telephone town hall TONIGHT at 5:45 PM. 

To ask me a question or to just listen in, please sign up here: https://t.co/1jC4gAbLHZ."
