handle,text
RepSeanMaloney,We can't rely on thoughts &amp; prayers to prevent domestic terrorism. This week's shooting in Buffalo is a tragic reminder of how unwavering we must be in combating attacks led by white supremacists. I proudly voted for the #DomesticTerrorismPreventionAct to counter future threats.
RepSeanMaloney,"As the proud dads of adopted kids, Randy &amp; I went through our fair share of baby formula and know first-hand how vital it is for families to have access to formula. 

Today, I was proud to vote for legislation to get safe formula to families &amp; fix this shortage. #FeedOurInfants https://t.co/ro4jSrM7TR"
RepSeanMaloney,"Today, we're celebrating #57YearsOfHeadStart! 

Head Start programs have provided kids across the country with the resources they need to thrive. I’m proud to have delivered over $10 Million to NY Head Start programs, ensuring more children have the opportunity to succeed. https://t.co/rlNG3aEvrW"
RepSeanMaloney,"Right now, Facebook is a tool of Putin and they are not doing enough to stop this weaponization. Today, I led my @HouseIntel colleagues in demanding Facebook take action to stop Russian disinformation campaigns that are undermining democracies in Eastern Europe. https://t.co/f5nORkzOua"
RepSeanMaloney,"ICYMI: Last week, I joined local leaders and residents in Lewisboro to celebrate the $1.8 million investment I secured to clean up PFAS chemicals in the local water supply.

I’m going to keep fighting to ensure clean drinking water for communities across the Hudson Valley. https://t.co/oGiMKpK5ax"
RepSeanMaloney,"Every May, we mark Jewish American Heritage Month to honor the rich culture and history of the American Jewish community. 

Jewish Americans have shaped our nation for the better and, while we celebrate those contributions, we must also recommit to fighting antisemitism. #JAHM https://t.co/yQTIO5gS0t"
RepSeanMaloney,"In the last 24 hours, there have been two mass shootings and 10 people killed. In Buffalo, the attack was racially-motivated &amp; targeted.

My prayers are with all those affected in Buffalo &amp; Milwaukee. We must confront the threat of white supremacy &amp; pass common sense gun reforms."
RepSeanMaloney,"As scammers use more and more sophisticated tricks to target our seniors, we must invest in tools to stop them and protect seniors' hard-earned savings.

This week, we passed legislation to make those investments.

Learn more ⬇️
https://t.co/ctmLZhWps2"
RepSeanMaloney,"Every day, police officers put their lives on the line to keep us safe. During #NationalPoliceWeek, we remember those who have lost their lives in the line of duty and honor the dedicated officers who protect and serve today. 

Thank you to all the brave men and women who serve. https://t.co/86d0FP9ROP"
RepSeanMaloney,"This weekend, I met with a local gas station owner &amp; the 360Fuel team to discuss ways we can lower gas prices and give folks more options at the pump.

I'm proud to have helped bring $1.4 million in grants to NY gas stations which will increase access to US-produced biofuels. https://t.co/6Y33wXjeK3"
