handle,text
RepShontelBrown,"I am extremely concerned that families are struggling to find baby formula.

This a crisis that Congress can and must address.

Today, I will vote for 2 bills to provide emergency funding to ease the shortage and improve WIC participants' access to formula."
RepShontelBrown,"Thank you, @Richmond46, for your service and your tireless work on behalf of the American people. https://t.co/VUXprVdaw7"
RepShontelBrown,"Yesterday, Greek Prime Minister Kyriakos Mitsotakis celebrated 200 years of partnership between Greece and the U.S. in a joint meeting of Congress. 

His words served as a powerful reminder of why we must strengthen and protect democracy in the face of global threats. https://t.co/2wywJLmYgO"
RepShontelBrown,"For 25 years, the @NewDemCoalition has worked to deliver key wins—from the ACA to the Bipartisan Infrastructure Law. 

As a member, I'm proud of the work the New Dems do to cut through gridlock in Washington and deliver real results for the American people."
RepShontelBrown,"We used to celebrate infrastructure week.

Now we are celebrating the beginning of an infrastructure decade.

Just 6 months after it was signed into law by @POTUS, the Bipartisan Infrastructure Law has delivered $3B to Ohio to repair roads, bridges, railways and water systems."
RepShontelBrown,"Workers need new skills to compete in the modern economy. That’s why I voted for legislation today that will help workers gain the skills they need to access better-paying jobs in high-demand occupations. 

#InvestinginWorkers https://t.co/4lmyKmxiWn"
RepShontelBrown,"Great to sit down with @UAW representatives from Northeast Ohio today.

We talked about why Congress must pass the #PROAct to protect and strengthen workers’ right to organize. https://t.co/L9ifOhtw0E"
RepShontelBrown,@kimtfiu I had the same reaction!
RepShontelBrown,"Congratulations to Nina Harvey, of Bedford Heights High School, for winning this year’s grand prize in the 2022 #OH11 Art Competition!

Her impressive charcoal drawing titled, “Seventeen,"" will be on display in the Capitol for visitors across the country to see. https://t.co/8rx5SkXmPt"
RepShontelBrown,"Roe vs. Wade is about more than just reproductive health care. 

It is also about our rights and our freedoms."
RepShontelBrown,"Today marks the 68th anniversary of the Supreme Court's Brown v. Board of Education decision.

The decision ended legal segregation in education, yet public schools remain separate and unequal for many students.

It is long past time to fulfill the promise of equity in education. https://t.co/BRgEPNQ5Oi"
RepShontelBrown,Cutting costs and preventing profiteering–this is how we get prices under control and put money back in people's pockets. https://t.co/gzaPiHOLVc
RepShontelBrown,"Great news, @RepMarcyKaptur! 

I look forward to working with you on the Ag Committee to support Ohio's farmers in rural and urban communities and ensure no American goes hungry. https://t.co/Z9kWjJm2X6"
RepShontelBrown,"I am horrified by the shooting in Buffalo—and disgusted by its apparent motivation.

Hatred, racism and bloodshed are all on the rise. 

But let’s be clear: they have no place in our great nation.

My prayers are with the victims, their families, and the entire Buffalo community."
RepShontelBrown,"The Community Services Block Grant program has a clear goal: Reduce poverty, regardless of cause or condition. 

Today, I voted to deliver more resources to the local organizations in our community who are delivering on this goal."
RepShontelBrown,#ProtectRoe https://t.co/vhiPiRNjUk
RepShontelBrown,Congratulations to Evelyn Zhang of Beachwood High School for being recognized as a 2022 U.S. Presidential Scholar! https://t.co/k5Cue7Iw5I
RepShontelBrown,I am so grateful for our teachers who prepare the next generation for success and who have carried our students forward despite the difficult last 2 years. https://t.co/uBjuEUltuP
RepShontelBrown,"@SteveLuttner $1 million of this funding will go to @NOACA_MPO to clean up sites across Northeast Ohio, including in Cleveland."
RepShontelBrown,"Roe vs. Wade has been the law of the land for 50 years. 

We must keep it that way."
RepShontelBrown,"Thanks to the Bipartisan Infrastructure Law, Ohio will receive $6 million this year to restore polluted and contaminated sites, many of which are located in Black neighborhoods.

https://t.co/BuWnbuMfoR"
RepShontelBrown,"A heartbreaking milestone: 1 million American lives lost to COVID-19.

Mothers and fathers, siblings and friends, neighbors and colleagues—more than a statistic, each death marks a soul who was deeply loved and will be forever missed.

Today, we remember all those we have lost."
RepShontelBrown,"For more information and to apply, visit: https://t.co/zTN2dndQaR."
RepShontelBrown,"Access to high-quality internet is not a privilege in today’s day and age—it is a necessity and a right.

Thanks to the Affordable Connectivity Program and @POTUS' new partnership with internet providers, millions of Americans can gain internet access for no cost. https://t.co/RwN6WKRLKF"
