handle,text
RepSpanberger,"🚨 The White House JUST announced that it will invoke the DPA in response to the national baby formula shortage.

Over the last week, I’ve been pressing @WHCOS &amp; @POTUS to take this step, and I’m glad they are listening to the concerns of Virginia parents.
https://t.co/Hhxgu5QJm6 https://t.co/IRZjSZIm9p"
RepSpanberger,Thank you Senator Tester for using your expertise to shape our bipartisan bill! https://t.co/r3T9yJNDts
RepSpanberger,"My bipartisan TRUST in Congress Act would ban Members of Congress from buying, trading, or selling individual stocks while in office — ensuring that access to inside information cannot be abused for personal gains."
RepSpanberger,"🚨 My bill to crack down on consolidation in the meat processing industry is heading to the House floor!

As the big four meat packers rake in record profits, this bill would help enforce anti-trust laws and lower grocery costs for families in Virginia and across the country. https://t.co/GhY10fycRe"
RepSpanberger,"When retired Virginia police officer Wally Bunker told my office of a requirement blocking him from accessing a tax benefit for his health coverage, we listened.

And we are determined to resolve this issue for Wally and thousands of officers nationwide.
https://t.co/SVLBt7Iye9"
RepSpanberger,"#HappyBDayHeadStart! Head Start supports thousands of Virginia children.

But a recent survey found almost 1 in 3 staff positions are going unfilled.

I'm proud to lead a bill to make these positions eligible for Work-Study funding, supporting those who support these children. https://t.co/RwKALs2YEz"
RepSpanberger,"As Americans face high prices at the grocery store, I am proud to work with my Republican colleague @RepAGonzalez on legislation to support our producers, combat supply chain challenges, and lower food costs for American families.
https://t.co/XidoEvD1QA"
RepSpanberger,"Today’s Police Week Memorial Service served as a time to remember and honor Virginia’s fallen heroes.

I am deeply grateful to the Virginia police officers whose service — and for far too many, ultimate sacrifice — keeps our neighbors and our communities safe. https://t.co/YD301duxlp"
RepSpanberger,"On the 68th anniversary of #BrownvBoard, we celebrate Virginian Barbara Johns — who led a walkout at her all-Black school to protest inferior conditions.

Her case was one the Supreme Court reviewed in making this landmark decision.

Soon, she'll be honored in the U.S. Capitol. https://t.co/lafJRIAz6P"
RepSpanberger,"As I made clear to the White House last week, parents need an immediate solution to the baby formula shortage.

I've been pushing for increased imports, and I'm encouraged by this announcement.

But I will not be satisfied until formula is on the shelves.
https://t.co/0VrNix9hdR"
RepSpanberger,"To better protect our communities and keep Americans safe, we must invest in our local police departments.

That is exactly why we are calling on @SpeakerPelosi, @GOPLeader, @RepJerryNadler, and @Jim_Jordan to bring our bipartisan bill to the floor ASAP.
https://t.co/CuQn1NEhB7"
RepSpanberger,"TOMORROW my team is holding in-person office hours for Seventh District residents in and around Culpeper County!

Please stop by if you are having an issue with securing VA benefits, receiving your tax refund from the IRS, or any other issue with a federal agency or benefit. https://t.co/jS0zep5TPP"
RepSpanberger,"My Republican colleague @RepTomRice and I are calling on House leadership to bring our bipartisan bill up for a vote to increase funding for local police departments.

We cannot merely talk about the need to support law enforcement.

We need action. #NationalPoliceWeek https://t.co/tYN5BcY4Yf"
RepSpanberger,"When Phyllis could not get a response from the IRS about her mother’s tax refund, she turned to our office for help. In less than three months, this issue was resolved.

Hear what Phyllis had to say about working with our team: https://t.co/mycJwiVoPr"
RepSpanberger,"Too many families know far too well the pain of a loved one not returning from their patrol.

On Peace Officers Memorial Day, we express our gratitude for those who work so hard to keep us safe — and those whose lives were lost in the line of duty.
https://t.co/e3k3fOgcp4"
RepSpanberger,"The mass shootings at a Buffalo grocery store and in Milwaukee remind us that we have so much work to do when it comes to keeping all Americans safe and preventing gun violence.

I am praying for the victims, those injured, and their families during this horrific moment."
