handle,text
RepSteel,"The House just passed my bill, the Access to Baby Formula Act. This legislation is an important step to address the ongoing formula shortage, and I urge my Senate colleagues to send it to the President's desk immediately so we can prevent future crises like this. https://t.co/vMPQX7pukn"
RepSteel,"The House just finished debating my bill, the Access to Baby Formula Act. I'm urging all my colleagues to vote YES to prevent a crisis like this from ever happening again.
https://t.co/riu0RGHStY"
RepSteel,"WATCH: Yesterday I joined @capitolreport with @SteveLanceNTD to talk about how the ongoing inflation crisis is crippling Orange County families, and the HARVARD Act, my bill to combat racial discrimination in higher education. https://t.co/5KBcONaknk"
RepSteel,"Today, @RepMikeLevin, @RepKatiePorter, and I held a moment of silence on the House floor in memory of Dr. John Cheng - a hero who risked his own life to save others. May he rest in peace. https://t.co/zSuugoxDLw"
RepSteel,"BREAKING: I just introduced a bill to tackle the #FormulaShortage and make sure that there is a plan in place to ensure that this crisis never happens again.
https://t.co/emUlMySxqV"
RepSteel,"Our Spring D.C. interns Justin, Michael, and Ryan (not pictured) have been such valuable members of my team these last few months. Thank you for all of your hard work on behalf of Orange County! https://t.co/Xfgl30z6bH"
RepSteel,"May is #MentalHealthMonth and it’s estimated that 2 in 5 Americans struggle with mental health. In July, the 988 national mental health crisis hotline will go live. If you or someone you know is in crisis, text NAMI to 741741 for free mental health support, 24/7."
RepSteel,"The average gallon of gas in CA just hit $6. Meanwhile, Gov. Newsom and Sacramento Democrats are hiking gas taxes. This is absurd.
https://t.co/iVyHt17muM"
RepSteel,Our broken supply chain is making it hard to get even the most essential goods. 40% of the nation’s baby food is now out of stock. Governor Newsom and the Biden Administration can and should take concrete steps to roll back the burdensome regulations driving this crisis. https://t.co/i18OE06903
RepSteel,"I’m deeply saddened to learn about the death of John Cheng. His bravery and sacrifice saved lives, and he is truly a hero. My prayers are with his wife and children. https://t.co/qlg6lvsMKN"
RepSteel,"Did you know that 67 cents of every dollar spent at a small business ends up back in the community? More than half of the workers in my district are employed by our nearly 23,000 small businesses. Now, 1/3 of business owners say that inflation is the biggest they’re facing. https://t.co/CzN1C6TtXJ"
RepSteel,"I joined @GOPLeader, @RepBryanSteil, @RepMariaSalazar, and @RepFeenstra for a roundtable on the ongoing challenges facing our small businesses under inflation. Catch our full discussion here: https://t.co/4gXZQonle0"
RepSteel,This is heartbreaking. I am grateful for the updates from @OCSheriffBarnes @OCSheriff and for their quick response yesterday. Please join me in praying for our community and those suffering from this tragic violence. https://t.co/42KMypv1kc
RepSteel,I visited Trang Bui of Trang Bui Designs in Midway City to recognize her talent and work designing Áo dài for both men and women. She has contributed so much to our community by supporting efforts to celebrate the beauty of traditional Vietnamese dress. https://t.co/DaNYI505KA
RepSteel,"I spoke on the House Floor to recognize #ÁoDàiDay. The Áo Dài represents the adaptability &amp; strength of the Vietnamese people. I am proud to represent nearly 200,000 Vietnamese Americans who have worked hard to build their American Dream. I join them in celebrating this day. https://t.co/qwpQ2JM2bl"
RepSteel,Thanks to everyone who turned out for our Korean Community Resource Fair in Garden Grove and to all the agencies and organizations that participated. Missed the event but need help with a federal agency? My office can still help! Call us anytime at (714) 960-6483. https://t.co/n0At78lDVU
RepSteel,"I’m so proud to represent the brave law enforcement officers of Orange County. This #NationalPoliceWeek, let’s thank them for putting their lives on the line every day to serve us and protect our communities. https://t.co/F3WAESN8ix"
RepSteel,"An extra $55 billion collected in taxes, and this summer California Democrats still plan to raise the gas tax to 54 cents a gallon. People are sick and tired of paying more and getting less. Your money belongs in YOUR pocket, not Governor Newsom’s. https://t.co/9ZKYGDLKp1"
RepSteel,The Seal Beach Lions Club recently completed renovation of the WWII Submarine Memorial at the Seal Beach Naval Weapons Station. I was proud to join them in honoring the legacy of our fallen servicemembers and to thank them for their hard work to recognize our veterans. https://t.co/gWmoC7nxxY
RepSteel,"Whether it’s here in Washington, D.C., or back in Sacramento – President Biden and Governor Newsom need to commit to unleashing energy independence today.

The people of this country need relief and they need it now. https://t.co/UNaSvCooNs"
RepSteel,"RESCHEDULED: 5/13 Mobile Office Hours in Laguna Niguel, due to the ongoing local response to the fire. Stay tuned for more information about future mobile office hours."
RepSteel,"It’s National Police Week, and I’m proud to #BacktheBlue today and everyday. Our law enforcement officers put their lives on the line every day to keep our communities safe. THANK YOU! #DefendthePolice https://t.co/FGM4gjaiAh"
RepSteel,This support will ensure that state and local authorities have the resources they need to continue addressing this emergency to save lives and homes in our community.
RepSteel,I'm urging @fema to immediately approve CA's request for emergency grant funding to combat the wildfire spreading in #LagunaNiguel. https://t.co/WYPtxB0bHq
