handle,text
RepSylviaGarcia,"I had a a great evening becoming the President of the @TXStateSociety at tonight’s reception. 

Having served Texas my entire career, it’s an honor to continue my service to the Lone Star State.

I’d like to thank Jack Peterson for all his hard work as former President. https://t.co/GNpwjvjJl8"
RepSylviaGarcia,"I always said cash is king.

I'm proud today that the @FSCDems passed @RepDonaldPayne's Payment Choice Act -- which I supported and helped lead. 

Cash is a valid form of payment in my book! https://t.co/sI6AwTUEs4"
RepSylviaGarcia,"As a Christian and Catholic, I support the freedom for women to make personal decisions about their own #reproductivehealthcare. 

Republicans have no place in imposing themselves on a woman's right to choose. Period. 

#ReproductiveRights are #HumanRights. https://t.co/5bxiggPPgO"
RepSylviaGarcia,@MollyJongFast The numbers don't lie. But Republicans will say they didn't get the memo...
RepSylviaGarcia,"It's simple. Republicans are not listening to the MAJORITY of Americans who indeed believe women should have access to reproductive healthcare. 

They are only listening to their political base. 

Watch my full interview with @cspanwj: https://t.co/ofzLIcsmip https://t.co/tQuZjwyhUq"
RepSylviaGarcia,"Today I participated in a member hearing hosted by the @AppropsDems' State, Foreign Operations, and Related Programs subcommittee.

I spoke in support of an FY23 appropriations request that would provide funding for #LGBTQIA+ individuals. 

#IDAHOBIT2022 https://t.co/L5Vdq4AW8B"
RepSylviaGarcia,"Simply put, cash is king. It always has been. Businesses should not be refusing cash payments from residents. It's a valid form of payment in my books!

That's why I was proud to support and lead @RepDonaldPayne's Payment Choice Act in today's @FSCDems markup. https://t.co/NfxU8MS6rB https://t.co/WWfCjedHms"
RepSylviaGarcia,"Today I participated in the Fiscal Year 2023 Budget Members' Day Hearing held by the @HouseBudgetDems.

I spoke on projects of importance for residents in my district. 

I will always fight for the constituents of TX-29! https://t.co/MbYcNGmOf1"
RepSylviaGarcia,"Today, @FSCDems are coming together to markup a number of important bills aimed at modernizing our regulatory frameworks and protecting vulnerable communities. 
 
Join us here: https://t.co/LzVXU6UdPn https://t.co/30pryaJqba"
RepSylviaGarcia,"It was great hearing from @kmitsotakis, Prime Minister of the Hellenic Republic at the United States Capitol alongside my House colleagues. https://t.co/b4RM39drpm"
RepSylviaGarcia,"It's International Day Against Homophobia, Biphobia, and Transphobia -- also known as #IDAHOBIT!

Today we reaffirm our commitment to respecting and protecting diversity and inclusion. 

Tomorrow, we keep that same energy! https://t.co/VNSjcLEcwc"
RepSylviaGarcia,"Protecting Texas children is my greatest priority. 

Please read my statement below in response to the ongoing baby formula shortage. 

For help, visit: https://t.co/BUpUoGHSfQ https://t.co/RZzuSvJv5V"
RepSylviaGarcia,"Today I had the opportunity to preside over the House floor proceedings.

Always a great way to start my week! https://t.co/lZSOhh7OFd"
RepSylviaGarcia,"$10 billion in #AmericanRescuePlan funds have been committed to making our communities safer. 

$52 million is going to Houston’s One Safe Houston Plan, which will reduce crime in the first 100 days. https://t.co/5obwp6vE00"
RepSylviaGarcia,"Recently, our nation reached one million lives lost due to COVID-19.

Their families and loved ones are in our prayers. https://t.co/aKbiGaGyuC"
RepSylviaGarcia,"It was wonderful to attend the Rotary Club of North Shore's 47th Annual Fish Fry and Crawfish Boil and Auction. 

Great friends, great fish, and a great opportunity for our community to come together after not being able to do so for the past two years. https://t.co/1yJ3RSYpAJ"
RepSylviaGarcia,"#bansoffourbodieshouston is in full force today. 

We must protect a woman’s right to reproductive rights. Motivating to see so many powerful Texas Women out today— don’t mess with us!

Thanks to @HoustonHoochies for leading the effort. https://t.co/px2U139PRY"
RepSylviaGarcia,"Want to know how I spent my week serving you? 

Watch my weekly update video below! https://t.co/fG3bCr7azJ"
RepSylviaGarcia,"The SCOTUS draft ruling would:

🚨 Overturn the nearly 50-year-old precedent of Roe v. Wade
🚨 Undermine the Constitutional right to privacy
🚨 Rip away women's right to make the most intimate and personal decisions

We must #ProtectRoe. https://t.co/YokEanvS34"
RepSylviaGarcia,"This week is #WomensHealthWeek, a time to recommit ourselves to the wellness of women and girls and remind ourselves that all healthcare decisions a woman makes are between her and her doctor. https://t.co/6z332gcc42"
RepSylviaGarcia,Earlier today I participated in a hearing held by the @FSCDems to receive a report from @SecYellen of the @USTreasury on our nation's financial stability. https://t.co/tgFmU9plxx
RepSylviaGarcia,"Today, we kicked off the first meeting of the #AmericaCOMPETES and #USICA conference! 

We’re coming together to support:

🛥️ Maritime Funding 
👩‍🏫 Early-Career researchers
🤝Increasing diversity in STEM
🌎Fighting climate change
🏫Minority Serving Institutions &amp; HBCUs https://t.co/x5kctyXO2h"
RepSylviaGarcia,"I’m excited to kick off the COMPETES Conference with our first official meeting today with my colleagues in the Senate. 

It’s time to come together to get our bipartisan #COMPETESAct to @POTUS' desk!

Watch: https://t.co/Osj5cPOwtc https://t.co/8OW9rp2Ciy"
RepSylviaGarcia,"I will continue to stand side by side with my colleagues for a woman’s right to choose.

I will always fight for women.

#ReproductiveRights #WomensRights https://t.co/xsB3dSXAIc"
RepSylviaGarcia,"Honored. That's the word that comes to mind as I sit in my first @HASCDemocrats hearing since being appointed yesterday.

I look forward to advocating for all the personnel who defend our nation. https://t.co/82urjByldY"
