handle,text
RepThomasMassie,I condemn the Radical Left's last ditch effort to influence the Supreme Court through intimidation. https://t.co/KAi5BdzLSB
RepThomasMassie,"The biggest loser in last night’s primaries was @KyChamber.

They backed all of the incumbent state representatives in NKY who lost their elections, and they backed @SavannahLMaddox’s challenger who lost his. 🤦‍♂️

Article by @joesonka 
https://t.co/Ht5zOSl7H8"
RepThomasMassie,"Thank you to @congbillposey for cosponsoring HR 5874, the Restoring America's Leadership in Innovation Act of 2021 (RALIA). RALIA reverses several harmful changes to patent law that arose from Supreme Court rulings and the enacted Leahy-Smith ""America Invents Act."""
RepThomasMassie,"Including the $40 billion for Ukraine we passed in the House last week, Congress will have allocated more money for Ukraine in less than 6 months than Congress typically spends on US roads and bridges in a year (2019, 2020, 2021 average). @TransportGOP 
https://t.co/LvYioPNuEz https://t.co/mWrOCZgtWF"
RepThomasMassie,What she’s saying is blatantly untrue. https://t.co/tjZn8mkTt7
RepThomasMassie,"🍼 vs 💉 

If the @US_FDA were as gung-ho to authorize baby formula production as they were to authorize mRNA vaccine production, we’d be swimming in it."
RepThomasMassie,"The @US_FDA has had the same impact on baby formula 🍼 manufacturing as the @USDA has had on meat 🥩 processing in the 🇺🇸 United States.

The US-duh and the F-duh are working every day to keep prices high and supply low, while making sure no new businesses can enter the market."
RepThomasMassie,"How about a caption that works for both your picture and mine:
“Patriotism and Family Values.” https://t.co/4tut5ql2W2 https://t.co/bHsXLeL3t6"
RepThomasMassie,"When the government taxes, you pay now.

When the government borrows, you pay later.

When the government prints, you pay forever through inflation."
RepThomasMassie,"I'll be a guest on @Newsmax TV's ""National Report"" at 10:15 AM Eastern. Tune in!

https://t.co/8hoZwjIIfy"
RepThomasMassie,@DeanClancy Your think-tank is on empty. https://t.co/eJU3aUaUwd
RepThomasMassie,"You have a degree in journalism _and_ a blue check mark, and this is the best criticism you could articulate? https://t.co/kH2jsXqiHv"
RepThomasMassie,House Dems want war with Russia because they still believe the false narrative that Russians got Trump elected.
RepThomasMassie,".@HouseDemocrats are recklessly putting American lives at risk by drawing us into a war with a country armed with nuclear weapons. Their policies will prolong the war and cause more inflation and shortages here at home, while enriching the military industrial complex. https://t.co/huG1hpte5M"
RepThomasMassie,Thanks @RepMTG … why do they always leave me out of the picture? lol https://t.co/BvKLZYZzIq
RepThomasMassie,"@SmileyGnome I’d suggest there is a provision. It’s called “throw them out during the election,” but the voters don’t exercise that provision frequently enough."
RepThomasMassie,@ThatLawGuyKev What a maroon. https://t.co/b89uma25bW
RepThomasMassie,"Treaties don’t override our Constitution.

If a treaty purports to supersede our Constitution, that treaty is unenforceable.

It’s seditious to promote the idea that a President and 67 Senators have license to void the Constitution or any of our laws."
RepThomasMassie,"Lemme fix that title for you:
@RepMTG, Rep Massie, @RepGosar, @RepMattGaetz and a few others have voted to avoid escalating Ukraine war into a world war, against wasting US tax-payer money, against causing increased energy and food prices to US consumers.

https://t.co/Eortn3Wli9"
RepThomasMassie,"Are anti-war-democrats extinct in DC?

“This is the real story. Not that there’s 57 Republicans who’ve woken up to the folly of what we’re doing in Ukraine, but that there are zero Democrats. Every single one of them is on the wrong side of this.”
https://t.co/OGyjboGDUt"
RepThomasMassie,"@4k2s33f Also don’t forget to thin them, right about now. Here’s a before and after. https://t.co/GMEaKlZBmb"
RepThomasMassie,Must watch! The uniparty in DC is marching to war. https://t.co/mjtPJEKWyS
RepThomasMassie,"@4k2s33f Make a raised mound of good dirt when planting.

Prune in the shape of a vase (open center) in late winter.

Spray with Malathion (and/or Carbaryl) after blossoms drop, and at least once more in summer. 

Spray with Indar (and Captan) just before the peaches ripen.

works for me!"
RepThomasMassie,@PaoloDiLauro4 I use Indar (very effective) to prevent brown rot. I spray about three weeks before the peaches ripen and then about a week before. I mix it with Captan (not very effective in its own) to try and prevent the brown rot from developing a resistance to the Indar.
RepThomasMassie,"@Chupacobra77 Brown rot is cruel. It takes the peaches in their last week just as they ripen. I use Indar, and it works great."
RepThomasMassie,@v4victoriously They’re enjoying life on the farm this morning too. https://t.co/YqXWg5EG24
RepThomasMassie,@Chupacobra77 I recommend thinning them this year. Here’s a before and after of my trees this morning. https://t.co/7kk2hsDNyS
RepThomasMassie,Good morning from Kentucky! The peaches are doing fine this year. https://t.co/ywQSmQOXIi
RepThomasMassie,"Yikes! She should have said  “We are not at war with Russia.” Instead she said “the American people also deserve a lot of gratitude for their sacrifices and their support of this war.”

American tax-payers should not be conscripted into this war, but that’s what’s happening. https://t.co/HYRXnrJQQb"
RepThomasMassie,What the heck. We didn’t vote for war. https://t.co/zCSKpV766Q
RepThomasMassie,I'm worried the Military-Industrial Complex doesn't want an end to the Ukraine conflict. https://t.co/uJXeGHlzOS
RepThomasMassie,@chiproytx @RepChipRoy I rest my case your honor.
RepThomasMassie,@_Hank__Rearden_ @RepChipRoy My car predates sentry mode. It’s serial #3347
RepThomasMassie,@csd09110872 Government should not pick winners and losers. 😉
RepThomasMassie,"I have restored dignity to my bumper.

Texas bourbon is fiat bourbon. https://t.co/Kwh3yde4Ad"
RepThomasMassie,https://t.co/lbkdFvOraC
RepThomasMassie,.@RepChipRoy claims he doesn’t know who defaced my car with a Texas-bourbon (oxymoron) bumper sticker. Yet he was spotted a few weeks ago at said distillery. Next tweet in this thread contains actual footage of Chip applying the bumper sticker. https://t.co/rxOebH7lR7
