handle,text
RepTimRyan,"Americans—particularly Black, Asian and Jewish Americans—are being killed by racist acts of violence.

Today I voted on legislation that will provide law enforcement and our communities with more resources needed to combat domestic terrorism.

Hate has no home here. https://t.co/aN4en2eeKq"
RepTimRyan,"Our nation's formula shortage is a life or death issue – not only for parents with babies, but for those with metabolic conditions who rely on formula to survive.

The legislation we passed tonight will address this shortage immediately and get every Ohioan the formula they need. https://t.co/FKyaG4PIap"
RepTimRyan,"For 57 years, @NatlHeadStart has stepped up to meet the needs of countless children across our country and given them the tools to succeed, including right here in Northeast Ohio.

Join me in wishing them a happy birthday!

#HappyBDayHeadStart https://t.co/MDvMdQhJWW"
RepTimRyan,"It’s unacceptable that millions of parents in this country are struggling to find baby formula. 

I will vote today to help solve this crisis with a bill that addresses supply chain issues and empowers the FDA to deal with this shortage directly."
RepTimRyan,Now Congress must pass the SFC Heath Robinson Honoring our PACT Act immediately and finally get our veterans who’ve put their lives on the line for us the quality healthcare they deserve.
RepTimRyan,"I was proud to work with @sensherrodbrown in passing our bill, the SFC Heath Robinson Act, in the House. It’s in Heath’s name that we will make sure our veterans who’ve been exposed to toxic burn pits get the attention and help they deserve. https://t.co/BHtpgTOU15"
RepTimRyan,BREAKING: The Senate has reached a deal on legislation that supports our veterans exposed to toxic burn pits and named it after Ohio veteran SFC Heath Robinson. https://t.co/kNUYlOrHUO
RepTimRyan,"We can all learn something by the example Thomas is setting. Thanks for making our community a better place, @PodcastHometown! Keep up the amazing work. https://t.co/NYcHRCw72b"
RepTimRyan,"Bullies only understand one thing: strength. 

This is about freedom vs. tyranny. It’s not our job to manage Putin’s feelings. https://t.co/8yOskhyzY3"
RepTimRyan,"I’m joining my colleagues in urging @POTUS to take immediate action to address the infant formula shortage. 

No parent in this country should be struggling to keep their babies fed. We can never let this happen again. https://t.co/PrY0RVXrhO"
RepTimRyan,"Ohio is on the verge of leading the world into the next generation of manufacturing. 

It’s never been more important that we reinvest in the job training programs that will make sure our workers are skilled and ready to go. https://t.co/hGtN7lPpcU"
RepTimRyan,"A $6,000,000 shot in the arm for economic development in Youngstown and Warren. 

It’s investments like these that are going to revitalize our communities and help working families get on their feet again. 

Proud to help bring these federal dollars home.

https://t.co/JWOw3CIaCA"
RepTimRyan,We cannot allow a world where our daughters have fewer rights than they were born with. That’s what’s at stake.
RepTimRyan,"WATCH: I'm asking @SecDef to work with us to support Ukraine and our allies by getting natural gas from Eastern Ohio over to Eastern Europe—knocking the legs right out from underneath Vladimir Putin, investing in our local economies, and rebuilding American energy independence. https://t.co/OhmVZJdvUj"
RepTimRyan,"Heartbroken for the victims, their families, and the entire Buffalo community devastated by a racist terror attack. 

Our thoughts and prayers are empty without meaningful action. 

We must do more to end both epidemics of gun violence and racism in this country."
RepTimRyan,"Women’s freedom is under attack. We must fight back with everything we’ve got, for as long as it takes. I’m in this all the way."
RepTimRyan,"Winning the economy of the future means going all in on the industries of the future. Here in Ohio. With Ohio workers.

I’m proud to have fought for #VoltageValley from the beginning.

https://t.co/LfwIJR04X9"
RepTimRyan,"If we want to compete with the rest of the world, our kids need to be prepared for the future.

Shop class, vocational programs, trade school — all of these are just as important as a 4 year degree in getting us there. We need to start treating it that way."
RepTimRyan,This is not an empty threat. They will not stop with Roe. https://t.co/6egTpOLxm2
RepTimRyan,"We need to be more proactive when it comes to the mental health of our servicemembers. 

Listen to my exchange with @SecDef about how our government can provide the best care to our men and women in uniform 👇 https://t.co/gXpzDl4OIL"
RepTimRyan,"I’ve always known it and it’s clear Foxconn does too: Ohio has the best workers in the world and they’re ready to get to work to make the Mahoning Valley the North American hub for electric vehicle production.

Plenty to look forward to in #VoltageValley.

https://t.co/uJoy2Qk7qs"
RepTimRyan,"Why did we not see this shortage coming? This is ridiculous. 

We need to exhaust every possible option to get our shelves restocked and mothers the baby formula they need to feed their kids. And then we need to make sure this never happens again. https://t.co/xArwpwlJqZ"
RepTimRyan,"America used to dominate manufacturing and now we’re asleep at the wheel while countries like China run circles around us.

We can lead again, but only if we set working people up to succeed and invest in the middle class like never before."
RepTimRyan,Proud to stand with American Red Cross workers in their fight for a safer workplace and a fair contract. ✊ https://t.co/zuvguyhWLP
RepTimRyan,"Wearing this green ribbon to show my support for #MentalHealthAwarenessMonth.

I hope you’ll join me as we strive to end the stigma around mental health and ensure everyone has the support system they need. https://t.co/IQCDcVe4NC"
