handle,text
RepTroyNehls,"Military Sexual Trauma is a serious issue and MST survivors deserve a claims process that is expedient and effective.

That is why I introduced H.R. 6064 to create a comprehensive review of the MST disability exam. https://t.co/jvFQJmpjoV"
RepTroyNehls,Congress doesn’t need Peloton memberships.
RepTroyNehls,"@VishBurra @elonmusk I wouldn’t say he’s officially crossed, but he’s at least waist deep."
RepTroyNehls,"The “Disinformation Governance Board” is dead.

Long live Free Speech!"
RepTroyNehls,https://t.co/1pa6xD6r12
RepTroyNehls,Where is Hunter? https://t.co/E2HY28YTUv
RepTroyNehls,Why is Project Veritas still banned from Twitter?
RepTroyNehls,@Cernovich They really don’t.
RepTroyNehls,@RepLisaMcClain Thank you @RepLisaMcClain!
RepTroyNehls,"Joe Biden eases sanctions on Venezuela, but won’t ease his sanctions on our oil and gas industry. https://t.co/i5JY8OhHIC"
RepTroyNehls,"If this Ukraine funding bill passes, we will be spending 8 times the annual budget of the U.S. Border Patrol on a foreign country."
RepTroyNehls,🚨🚨🚨 https://t.co/u39H4I0cdU
RepTroyNehls,@RepBice Thank you @RepBice!
RepTroyNehls,"Stop the ASSAULT on our police officers!

Over 120 law enforcement officers have been shot this year and 19 of them lost their lives in line of duty.

They should not be dealing with a government inflicted crime crisis that puts them on the defensive.

Please pray for them. https://t.co/Kqz9cAX8w8"
RepTroyNehls,How much will this cost? https://t.co/1JvON6Yhwh
RepTroyNehls,There is a mental health crisis in this country.
RepTroyNehls,Good. https://t.co/ooxUoElUDb
RepTroyNehls,Imagine how many American lives would be saved from a fentanyl overdose if we built 40 billion dollars worth of border wall.
RepTroyNehls,".@LeaderHoyer, when did we vote to go to war?"
RepTroyNehls,"Subpoenaing members of Congress does not change the fact that January 6th should never have happened.

They had the intelligence. 

They knew what was coming. 

So why didn’t they stop it?"
RepTroyNehls,Thank you @RandPaul!
RepTroyNehls,"""Know that the God-fearing, God-loving American people stand shoulder to shoulder with you.""

👆My message to law enforcement when I spoke to honor fallen Deputy Constable Caleb Rule at the National Law Enforcement Officers Memorial this morning. https://t.co/2n5vJP3LK5"
RepTroyNehls,https://t.co/DWcRyPw8m7
RepTroyNehls,"Baby formula should go to Americans before illegals. 

This should not have to be said."
RepTroyNehls,"Gas prices are the highest they’ve ever been.

Joe Biden: https://t.co/KX0lngwyL1"
