handle,text
RepUnderwood,"Exciting news! My VA Office of Inspector General Training Act passed the House today with bipartisan support. 

This legislation would empower @DeptVetAffairs employees to report waste, fraud, and abuse, so that veterans receive the world-class care and benefits they’ve earned."
RepUnderwood,"Today, on International Day Against Homophobia, Biphobia &amp; Transphobia — and every day — I'm proud to stand up for equality for all and against discrimination and violence against the LGBTQI+ community. #IDAHOBIT https://t.co/ctHCzPy9mK"
RepUnderwood,"American women are facing an unprecedented loss of our fundamental right to make decisions about our own bodies, but we will not stand by silently as Republicans criminalize health care. 

We won’t stop fighting."
RepUnderwood,"It is unconscionable that while families are paying higher prices at the pump, oil companies are reaping record profits. 

That’s why I support the Consumer Fuel Price Gouging Prevention Act, which would protect working families against price gouging. 

https://t.co/wIBNQqq1O8"
RepUnderwood,"With the support of @RepRoybalAllard, I secured funding to create an electronic health record system to protect the health and safety of migrants, federal officers, and the homeland.  

Learn more about its groundbreaking implementation ⬇️ (2/2) https://t.co/lVSwJ8WXwp"
RepUnderwood,"When I visited the border in 2019, I witnessed migrants’ medical records being kept on scrap paper, if at all. As a nurse, I know the importance of record keeping in providing quality medical care — and that isn’t what I saw. (1/2)"
RepUnderwood,"Our congressional staff deserve a voice in their workplace.

Behind every member of Congress is tireless staff working long hours to serve the American people, and so I was proud to vote for @RepAndyLevin’s Resolution Recognizing Congressional Workers’ Right to Organize."
RepUnderwood,"No family should have to go without infant formula. 

I know many families are struggling to find formula right now — @HHSGov has put together a fact sheet with manufacturer information and community resources. 

Find help here: https://t.co/Be2dVgvEsx"
RepUnderwood,Abortion is health care. Period.
RepUnderwood,"I delivered the commencement address to the Class of 2022 School of Nursing. I was overjoyed.  

As many prepare to enter the nursing profession, I know they’ll tap into their new skills and innate strength to demonstrate leadership as they serve their communities. (2/2) https://t.co/TlJYGymbDi"
RepUnderwood,"When I was a freshman in college, I took a nursing politics course at @UMich that set me on the path I’m on today. Until I sat down on my first day, I had never realized I could combine the two things I felt most passionate about, nursing and policy, into a career. (1/2)"
RepUnderwood,"I’m working to fight inflation and lower costs — because no family should have to worry about affording the essentials.  

Learn about my work and find resources here: https://t.co/hL5PgJatqy https://t.co/lB4vUSGkBs"
