handle,text
RepVeasey,Families in #TX33 have felt the pain of the infant formula shortage firsthand. That is why I am voting with @HouseDemocrats to get the FDA the resources it needs to address this shortage &amp; help prevent it from ever happening again. #FeedOurInfants
RepVeasey,"The Biden-Harris Administration recently announced that households across the country can now receive 8 additional #COVID19 tests.

Get more information here: https://t.co/aAKSO8zgqd"
RepVeasey,Workers need new skills to compete in the modern economy. That’s why I will vote for legislation today that will help workers gain the skills they need to access better-paying jobs in high-demand occupations. #InvestingInWorkers
RepVeasey,"A huge thank you to the West Dallas Multipurpose Center for hosting this year’s reception! If you are in the DFW area, make sure to stop by the center to see these beautiful art pieces and support our talented young artists!"
RepVeasey,"Congratulations to the winner of my Congressional Art Competition, Giselle Mata, from Grand Prairie High School. Her piece, “American Dream,” will hang in the United States Capitol building. Be sure to stop by &amp; see it if you make a trip to Washington D.C. this summer. https://t.co/bdQe6TfffS"
RepVeasey,These troops will help stabilize the region and make it safer by bolstering counterterrorism efforts.
RepVeasey,"I am encouraged that President Biden has approved of a plan that will redeploy troops into Somalia. I was in Somalia in 2017 just weeks before al-Shabab killed over 500 people in Mogadishu. 

https://t.co/flEhiH8QM6"
RepVeasey,"I am praying for the victims, their families and the people of Buffalo in the wake of yesterday’s horrific and hate-fueled mass shooting.

We must work together to end the spate of senseless gun violence and bigotry that continues to impact far too many communities."
RepVeasey,"As a father, seeing radical and reckless Texas leaders speak about starving young children for political points just feels plain wrong.

We need to put politics aside to help vulnerable infants and families across our state access the resources that they need to survive. https://t.co/jlRgeyZDNx"
RepVeasey,"Desde que la Administración Biden-Harris lanzó https://t.co/b8wokFXCQj, más de 600 000 personas han visitado el sitio, aumentando las inscripciones en un 50%.
 
Averigüe si califica para Internet de alta velocidad gratuito ahora haciendo clic ⬇️
 
https://t.co/b8wokFXCQj"
RepVeasey,"Since the Biden-Harris Administration launched https://t.co/b8wokFXCQj, over 600,000 people have visited the site — increasing enrollments by 50%.

Learn if you qualify for free high-speed internet now by clicking the ⬇️

https://t.co/b8wokFXCQj"
RepVeasey,"The infant formula shortage is hurting families across North Texas.

We can’t play politics when it comes to feeding our babies. We’ve got to work together to address this shortage and ensure that all of our nation's children can access safe formulas.

https://t.co/Mhf2GIajaE"
RepVeasey,"My thoughts are with all of those who were injured during yesterday's shooting in Dallas and their families. My office is closely monitoring the situation as we continue to gather details. 

https://t.co/JtkpY32q99"
