handle,text
RepWesterman,"Gone, but never forgotten.
https://t.co/kqkEV53Kdr"
RepWesterman,"Democrats just blocked my bill to lower gas prices by unleashing U.S. energy independence for a SIXTH time. 

Why are they insistent on forcing Americans to choose between groceries and filling their gas tanks?"
RepWesterman,"Today would be a great day to unleash American energy independence.
https://t.co/DlT38vxoxp"
RepWesterman,I joined @RepMichaelGuest and @RepJuliaLetlow in their resolution supporting National Police Week and recognizing the sacrifice of the 619 police officers who lost their lives or whose case was closed in 2021. #BackTheBlue
RepWesterman,I will not stand by while scholarships and opportunities are unfairly stripped from our daughters in the name of tolerance. #SaveGirlsSports
RepWesterman,"I proudly signed a discharge petition for the Protection of Women and Girls in Sports Act of 2021, calling on @SpeakerPelosi to allow the House to vote on this vital bill that would ban recipients of federal funding to allow biological males to participate in women’s sports."
RepWesterman,"Americans are being crushed at the pump. Russia is threatening the world. Our border is being over run. Crime is skyrocketing across the county.

Are there not more pressing issues for the Intelligence Committee to consider than UFOs?
https://t.co/oCjFshtIXs"
RepWesterman,"Thank you Officer L.C. ""Buckshot"" Smith for your continued exceptional service for the city of Camden. 
We are lucky to have you!
https://t.co/7z6bwFTZ2b"
RepWesterman,"Attempts to villainize businesses only show President Biden’s and Congressional Democrats’ culpability in the condition of our economy. 
https://t.co/MMqXHfqBFA"
RepWesterman,This is why I co-led the Invest to Protect Act. We must support our local police departments and equip them to fight this crisis. https://t.co/zNEYr42dZh
RepWesterman,"President Biden, in a recent speech, refused to take any responsibility for the inflation crisis marking his presidency. 

In reality, inflation hit its stride the moment he became President when he pushed for record spending and enacted smothering regulations https://t.co/MSxH8wdLqg"
