handle,text
RepYoungKim,"Lowering energy costs, reducing emissions and keeping communities running requires use of all of the tools in our arsenal.

That's why I was proud to help introduce H.R. 4394 to support environmentally-friendly options like nuclear energy and hydropower. 
https://t.co/RMKyakRmdd"
RepYoungKim,"All students should have the opportunity to reach their potential and achieve their dream.

California's proposed math equity framework standardizes a race to the bottom, limiting opportunities for students and hurting U.S. competitiveness.
https://t.co/qb2sJ9KJ5b"
RepYoungKim,"President Biden continues to cozy up to socialist authoritarians in Venezuela and Cuba by relaxing sanctions. 
 
Appeasement for dictators will only tighten their grip on power, undermine freedom and democracy, and fuel more human rights abuses."
RepYoungKim,"After witnessing hate crimes, assaults &amp; robberies in his community, Chuck Sun launched the Together Against Crime Foundation (TACF), which is now about 1000 members strong. Before founding TACF, he spent nearly 40 years as a successful aerospace engineer. #APAHM https://t.co/RPWzEAVlNg"
RepYoungKim,"Inflation does not discriminate – it impacts every American and is hurting workers, families and small businesses. 

We need pro-growth policies to support our job creators, create meaningful workforce opportunities and get our economy back on track. 
https://t.co/T4cb2l5yua"
RepYoungKim,May is Mental Health Awareness Month and an important reminder to check in on one another. We all can do our part to create kinder communities. I encourage anyone who may be struggling to call 1-800-273-TALK (8255) and press 1 if you are veteran. https://t.co/L7mdFcgtNG
RepYoungKim,"The Biden administration is still pushing to end the Title 42 policy. 

The border crisis continues to get worse. That's why @RepMichaelGuest &amp; I introduced a bill to create a Southern border strategy.  
https://t.co/ozguC58crX"
RepYoungKim,"Sacramento is RAISING the gas tax in July while gas prices are $6 per gallon in California &amp; the state has a $98B budget surplus.

This makes no sense. 
 
@RepDavidValadao &amp; I wrote to @GavinNewsom in March to suspend the gas tax. I continue to urge him to reverse course."
RepYoungKim,"The U.S. must stand strong against human rights abuses in North Korea.

I thank Senators @marcorubio &amp; @timkaine for introducing the North Korean Human Rights Reauthorization Act of 2022 in the Senate &amp; look forward to getting this across the finish line.
https://t.co/OhXMNnqZHi"
RepYoungKim,"Our small business owners face hurdles with rising prices, supply chain backlogs &amp; labor shortages. I'll always be an unwavering voice for Main Street job creators &amp; work on pro-growth policies to help entrepreneurs achieve their dream.
https://t.co/blAyCgrH2t"
RepYoungKim,"As we celebrate #NationalPoliceWeek, I was thrilled to be able to show members of our @OCSheriff and @sbcountysheriff Departments around the U.S. Capitol. Thank you for all that you do to keep our Southern California communities safe! #BacktheBlue https://t.co/A4MM1oQ7Vk"
RepYoungKim,#StopUyghurGenocide
RepYoungKim,"The average price of gas continues to climb in our Southern California communities and is over $1 higher than the national average.

⛽️ Los Angeles County: $6.067
⛽️ Orange County: $6.051
⛽️ San Bernardino County: $5.954

We need to unleash U.S. energy. 🇺🇸 https://t.co/CHdGeobFxB"
RepYoungKim,"Chief Corey Sianez served in our @BuenaParkPD for over 40 years, setting an example of excellence &amp; leaving an impact that can be seen not only in #BuenaPark but also in neighboring Orange County cities. I thank him for his service &amp; wish him a wonderful retirement. #PoliceWeek https://t.co/nesWxGVfhw"
RepYoungKim,"As a member of the Science, Space &amp; Technology Committee, addressing wildfires &amp; helping our firefighters is a top priority for me. I held a roundtable with federal, state &amp; local front line responders &amp; introduced a bill to boost communications resources.
https://t.co/88bK4pblbW"
RepYoungKim,"Good news for parents and their babies. I will monitor this process closely. We must increase competition, expand our supply chain, ensure quality baby formula, and keep this crisis from happening again.
https://t.co/gbwNTNGoE6"
