handle,text
RepYvetteClarke,"Domestic violent extremists pose a steady and evolving threat of violence to our communities, especially to minority communities and institutions. 

That is why I'm proud to co-sponsor H.R. 350, the Domestic Terrorism Prevention Act. https://t.co/KeFbM9qeNs"
RepYvetteClarke,EPA’s FY23 budget includes a monumental proposal to establish a new Environmental Justice National Program to coordinate and further elevate the Agency’s work to address environmental inequities. I asked about the need for this standalone program area and how it will help EPA. https://t.co/aNKOz997BU
RepYvetteClarke,"@EPAMichaelRegan assured me he is ""laser-focused"" on this initiative. https://t.co/urjkTWrkY5"
RepYvetteClarke,"It’s similarly crucial that we improve air quality by electrifying dirty diesel school buses, which currently pose a major health issue for children and environmental justice communities in my District and across the nation. And so, I asked about Biden's ""Justice 40"" goal. https://t.co/rxlvJlztfX"
RepYvetteClarke,He discussed EPA's two-phased approach to honor its commitment. https://t.co/KFFMoUjHfT
RepYvetteClarke,"At today's @EnergyCommerce Environment &amp; Climate Change Hearing, I asked @EPAMichaelRegan how @EPA  will ensure its Clean Trucks Plan builds off electrification progress already taking place at the state level. https://t.co/KeqPYarStl"
RepYvetteClarke,"Corporate profiteering and monopoly power are big drivers of price increases on basic necessities, like prescription drugs, groceries, diapers, and gas. And it’s taking a massive toll on consumers, workers, and small businesses.

#CorporateGreed"
RepYvetteClarke,"Today is #internationaldayagainsthomophobia, Biphobia and Transphobia (IDAHOBIT). I'm proud to stand in support of the #LGBTQ community every day, and will continue to fight to protect all our human rights. 

#HumanRights https://t.co/L8xKAYoNOK"
RepYvetteClarke,"(3/3) Let's be frank, this draft map targets Black voters and will negatively impact constituents. New Yorkers deserve better. If we had Section 5 preclearance we wouldn't be in this situation. 

#VotingRights"
RepYvetteClarke,"(2/3) The draft redistricting map reflects a total disregard of the spirit of the law and disenfranchisement of those who fought to make voting a reality for Black Americans of Central and South, Brooklyn."
RepYvetteClarke,"(1/3) Here we are again facing another attack on Black voters in New York with the new draft redistricting map. As the only Black woman on the New York Delegation, I take this attempt to suppress the vote, personally."
RepYvetteClarke,"This racially motivated attack on the Black community in Buffalo, NY is yet another reminder of the real and eminent dangers of white supremacists. These extremists are a threat to our American democracy and freedom. 

My condolences to all the victims. 
https://t.co/m8sY03WTI4"
RepYvetteClarke,We must protect American workers from this mindset of profit over people. https://t.co/0WSMjqhfGT
RepYvetteClarke,I won't stand for any political attack on women. #RoeVWade is the law of the land and we must strengthen our resolve to fiercely protect every woman’s right to choose their health care and make their own reproductive decisions. Proud to join @SpeakerPelosi to #ProtectRoeVWade. https://t.co/Xp71WYzSnZ
RepYvetteClarke,"Brittney Griner is a wrongful detainee and must be released immediately. Her one month pre-trial detention extension is another calculated and provocative move by Russia. 

#FreeBrittneyGriner 

https://t.co/kaPHsiy6vM"
RepYvetteClarke,"Today, I proudly introduced my bill: Affordable Housing And Area Median Income Fairness Act of 2022. 

Affordable housing is entirely unattainable for far too many Americans, especially New Yorkers. The time is now to change that. 

#areamedianincome 
#AMI 
#affordablehousing https://t.co/dLnFwAX8hD"
RepYvetteClarke,"I💯applaud this effort because it underscores the real danger and demonstrated threat election disinformation poses to our democracy. 
https://t.co/OAWTnqGJLS"
RepYvetteClarke,"Well said, @SenSanders, well said. https://t.co/mNWPAmOwXp"
RepYvetteClarke,"I fully back this petition, as well @SenatorLujan and @JoaquinCastrotx, because at the end of the day, it's about enhancing @FCC decision-making when it comes to improving diversity in the media marketplace. https://t.co/lCEBvtQEsS"
