handle,text
SenAlexPadilla,"From abortion rights to free speech to gun violence, federal judges make countless decisions that shape our lives. I'm proud to support the confirmation of Judges Trina Thompson and Sunshine Sykes, two well-qualified judges, to serve on the federal bench. https://t.co/Leg1viUuOG"
SenAlexPadilla,"With abortion access under threat across the country, the selling of personal data and tracking people visiting clinics is unconscionable and risks patients' safety and security. https://t.co/tPdj32ABMk"
SenAlexPadilla,Big news! The Senate adopted my resolution to support increasing the number of Latino students and professionals entering careers in STEM. America benefits from a strong and diverse workforce. This resolution is a critical step forward to support Latinos pursuing STEM careers. https://t.co/Eylj9I13cU
SenAlexPadilla,"Happening now: @RepDeborahRoss and I are pushing for action to protect Documented Dreamers. We must begin to fix our broken immigration system by passing the America’s Children Act, a bipartisan proposal to improve the American Dream.
https://t.co/Q5B3uqvWGz"
SenAlexPadilla,Tune in today at 10am ET as @RepDeborahRoss and I join @ImproveTheDream calling on Congress to pass our America’s Children Act to provide Documented Dreamers the protection and certainty they deserve. https://t.co/m5x6wvaALs
SenAlexPadilla,"Joined the Leaders Forum during this AAPI heritage month to speak about the importance of standing by the #AAPI community and the need to reform our immigration system.
 
I will keep fighting for an immigration system that reflects the strength immigrants provide to our country. https://t.co/39HhTvBgAl"
SenAlexPadilla,"Every American household is now eligible to order a third round of free COVID-19 rapid tests delivered straight to their mailbox.
 
Place your order to receive two sets of 4 at-home tests today ⤵️
 
https://t.co/oIGnNxNDtp"
SenAlexPadilla,Restaurants and small businesses are still feeling the painful effects of this pandemic. The Senate must pass the Small Business COVID Relief Act and support the small businesses at the heart of our communities.
SenAlexPadilla,Let me say this loud and clear: We won’t go back. https://t.co/bIeSaUx8eb
SenAlexPadilla,"Families are struggling to find baby formula for their children—that's unacceptable.

That's why I've called on infant formula manufacturers to step up their production to restock shelves as soon as possible. https://t.co/S3ZmHBpw0u"
SenAlexPadilla,"Every person deserves to live authentically, free from fear of discrimination or violence. 

On this International Day Against Homophobia, Biphobia and Transphobia, we celebrate our friends in the LGBTQ+ community and recommit to the fight for equality.  #IDAHOBIT"
SenAlexPadilla,"Honored to have my office participate in the renaming ceremony of the Pacoima Post Office as the Ritchie Valens Post Office. 

Future generations will now always be reminded of Ritchie Valens, a pioneer in music who holds a special place in the heart of the San Fernando Valley. https://t.co/rVilLs8ShG"
SenAlexPadilla,"1 in 6 Americans live in areas with high risk of wildfires. That’s more than 50 million people.
 
We must take action to improve wildfire mitigation and response. Climate action cannot wait.
https://t.co/shDs32fvbs"
SenAlexPadilla,The right to choose what happens to *your* own body is fundamental. I won’t stop fighting until it is protected at the federal level. https://t.co/cirw56ZBqZ
SenAlexPadilla,"My office is closely monitoring the shooting in Laguna Woods. 

Heartbreaking that this type of violence continues across the country. Our prayers are with the victims, their families, and the community during this difficult time."
SenAlexPadilla,"As Californians saw with this week’s devastating #CoastalFire, the 2022 fire season is underway.

Federal wildland firefighters are severely underpaid &amp; understaffed —that has to change. My colleagues &amp; I wrote the Biden admin to ensure firefighters are properly supported."
SenAlexPadilla,"YOU have the right to choose what happens to your own body. Not anyone else. 

I’m so proud represent California, a state that fiercely defends abortion access, and I won’t stop fighting until #RoevWade is codified at the federal level. #BansOffOurBodies https://t.co/5CTqqNWevp"
SenAlexPadilla,"Heartbroken for the Buffalo community terrorized by this senseless and horrific gun violence.

It’s not enough to denounce white supremacy, we must tackle it head-on.
https://t.co/asn3BzYzxm"
SenAlexPadilla,"The right to choose is fundamental. It shouldn’t depend on where you live, how much money you make, or whether you can take time off of work.
 
We will not stand by and lose a generation of progress. Today, I’m proud to join @wmnsmarchla's rally defending abortion access. https://t.co/cvpnIXVpuL"
SenAlexPadilla,"May is #MentalHealthAwarenessMonth, and a reminder of how the COVID-19 pandemic has exacerbated our country’s mental health crisis.
 
I asked Dr. @AbdulElSayed to explain how #MedicareForAll will help expand access to critical mental health care.👇🏽 https://t.co/028oDRUDej"
SenAlexPadilla,"We have a moral obligation to stand with the Ukrainian people.

The Senate must pass the $40 billion House-passed emergency aid package to support their defense efforts, and provide humanitarian aid to millions of fleeing refugees."
SenAlexPadilla,"No family should be struggling to find baby formula to feed and nourish their kids.

That’s why I’m joining @PattyMurray and @SenBobCasey urging infant formula manufacturers to increase production.
https://t.co/qV28qSuW51"
SenAlexPadilla,"Environmental hazards disproportionately affect tribal, low-income, &amp; communities of color.

I'm calling on Congress to provide $1.4 million in funding for @TheJusticeDept's Office for Environmental Justice to hold polluters accountable &amp; advance equitable investments. https://t.co/W1oLOUMr1R"
SenAlexPadilla,"Devastating news out of Orange County. A federal Fire Management Assistance Grant has been approved to help firefighters on the ground fight the #CoastalFire. 

My team will continue closely monitoring the situation to ensure resources reach those in need. https://t.co/nUysIm23Qh"
SenAlexPadilla,"Honored to meet with California’s @Einsteinfellows today — outstanding K-12 educators serving in the national education arena. 

Our country’s STEM education policies will be better for their input. https://t.co/kQpf9lasVH"
SenAlexPadilla,"In the wealthiest nation in the world, access to health care shouldn’t be determined by zip code — and no one should go bankrupt because of rising medical costs.
 
I’m proud to cosponsor #MedicareForAll, and I’m eager to work with my colleagues to move this legislation forward. https://t.co/45EidwNLJS"
SenAlexPadilla,"Health care is a human right — it’s time we take action to lower health care costs.
 
I’m proud to support #MedicareForAll, and today, I’m participating in @SenSanders Budget Committee hearing to move it forward. Tune in below 👇🏽 https://t.co/6Q6wx2bzej"
