handle,text
SenBobCasey,This is welcome news from @POTUS. These steps will help get baby formula back on shelves faster and bring peace of mind to American parents. https://t.co/36pbDJ3FO4
SenBobCasey,"With a $229,000 SAFER Grant from @fema, Cetronia Fire Company No. 1 in Lehigh County will be able to recruit and retain firefighters and emergency responders. #PAMapSpotlight https://t.co/DDKm1j8xMQ https://t.co/DdY0MzR3U1"
SenBobCasey,"We cannot allow 820,000 seniors and people with disabilities to languish on home care waiting lists. If we claim to be the best nation in the world, we must have the best home care in the world."
SenBobCasey,TUNE IN: I'm joining @chucktodd on Meet the Press Daily shortly to talk about the infant formula shortage and my new legislation to stop the next shortage from happening. https://t.co/cdSgd9CPra
SenBobCasey,"Unions built the middle class. Yet decades of special-interest attacks on the right to organize have stacked the deck against workers.

It’s time we leveled the playing field, including ending taxpayer subsidies for anti-union activities. #NoTaxBreaksForUnionBusting https://t.co/ctmbpJkEfs"
SenBobCasey,"OTD in 1965, Head Start was founded. Since then, it’s connected countless kids from low-income families with the promise of early childhood education. One of my Five Freedoms for America's Children is the Freedom to Learn, which includes an expansion of this critical program."
SenBobCasey,BREAKING: PA is receiving more than $26 million from @Interior's Abandoned Mine Land Economic Revitalization Program. This funding will be instrumental in rehabilitating abandoned mine land &amp; investing in the health of our communities. https://t.co/d1kkMbB8RM
SenBobCasey,Few investments are more important than the ones we make in our children and their education. That's why I'm proud of the community project funding I secured for Pennsylvania's students in the federal spending bill. https://t.co/gllc8HnfJJ
SenBobCasey,International Day Against Homophobia and Transphobia is a call to action both in our Nation and abroad to defeat end bigotry against the LGBTQ+ community. #IDAHOBIT2022
SenBobCasey,"Last week, @commercedems voted my bill, the #STURDYAct, out of committee and sent it to the full Senate. Families need STURDY because the safety of our kids is nonnegotiable. #stoptipovers https://t.co/nqTCJcdNF4"
SenBobCasey,"People with disabilities shouldn’t have to hope that they’ll be able to receive care in their homes. It should be reliable, affordable option.

My #BetterCareBetterJobs Act would expand these services."
SenBobCasey,We must take steps now to ensure that these kinds of failures never happen again. I will continue to push both Abbott Nutrition and the FDA to get the answers the American people deserve.
SenBobCasey,This is welcome news to parents across the Commonwealth and Nation who are struggling to find formula. No parent should go through the fear and frustration of not being able to feed their kids. https://t.co/eyR8V5xeWC
SenBobCasey,"🚨You can now order more free COVID-19 tests.🚨

Head to https://t.co/iOtsJDwdEj to order 8 more tests."
SenBobCasey,"Today marks 68 years since the Supreme Court’s landmark decision in Brown v. Board of Education. While we still have work to do to achieve equity in education, it was a significant leap forward for our Nation, ending legal segregation in public schools."
