handle,text
SenDanSullivan,"The “Big 3” Wall Street firms today are the largest shareholders in over 90% of the S&amp;P. They’ve often used this consolidated power to push political agendas most Americans oppose.

My INDEX Act would return the voting power to where it belongs—with fund investors, not advisers. https://t.co/KpIwUr7Xx6"
SenDanSullivan,"BlackRock, State Street &amp; Vanguard  cast about ¼ of all votes at shareholder meetings. 

Today, I introduced the INDEX Act to correct this extreme market distortion and empower investors.

Our bill ⬇️
https://t.co/WcZAsVzQ3d https://t.co/8rcLIRQj9M"
SenDanSullivan,"Today, my colleagues and I introduced the INDEX Act to empower individual investors and foster a healthier, more competitive, and more democratic corporate governance ecosystem.
 
More details 👇
https://t.co/WcZAsVRrrN https://t.co/QUaZ6pEVnW"
SenDanSullivan,"I implore Joe Biden to abandon the radical left’s destructive anti-American energy agenda. There is another way. We can protect the environment AND unleash American energy. Read my American Energy, Jobs &amp; Climate plan, Mr. President.

https://t.co/BcmBlvRk5L"
SenDanSullivan,"Today, gas prices in Alaska hit a record: $5.

The sad truth is, the pain Americans experience each time they fill up their vehicle is part of an intentional plan by this administration—beholden to the ultra-left—to drive up prices to ‘accelerate’ the transition to renewables. https://t.co/txxeP4vctJ"
SenDanSullivan,"Alaskans are mourning the passing of a pioneering Alaskan, Joe Usibelli, Sr., who helped our state realize its great mineral potential. Julie and I offer our prayers and condolences to Peggy and the entire Usibelli family during this difficult time. https://t.co/aVVHu4BFD1"
SenDanSullivan,"With the signing of the American #Fisheries Advisory Committee Act, Alaskans will once again have a voice in directing the millions of federal grant dollars toward the priorities and needs of the fishing industry. https://t.co/p4PA1WvDCb"
SenDanSullivan,"For 50 years, Alaska’s &amp; America’s fishermen have lacked a meaningful seat at the table in the federal #fisheries grant process—a frustration brought to my attention by a Kodiak fisherman in 2015.

I committed to getting this fixed, and we delivered.⬇️
https://t.co/UxnH7GGFic https://t.co/WJ3UqYRjNA"
SenDanSullivan,"Although I respect his experience and knowledge, today I voted against the confirmation of Jay Powell to serve a second term as chairman of the Federal Reserve.

My full statement ⬇️ https://t.co/9emC9u78e7"
SenDanSullivan,"As Gina McCarthy celebrates this decision from the White House, rest assured Vladimir Putin is popping corks in the Kremlin."
SenDanSullivan,"The timing of this decision displays a disturbing disregard for the pain American families continue to feel at the pump, for the Americans whose livelihoods and communities depend on the industry, and for the grave consequences these policies have on national security."
SenDanSullivan,"If it weren’t evident before, today's announcement should make it crystal clear: Joe Biden and his administration are beholden to the radical left."
SenDanSullivan,"The administration claims there was ‘no interest’ among producers. As the former Natural Resources Commissioner for Alaska, I know there is no way they could have confirmed ‘no interest’ until they HELD the lease sale. Joe Biden is blatantly lying to the American people."
SenDanSullivan,"The nature by which this announcement came to news—from the White House's ultra-left Climate Czar Gina McCarthy, just down the hall from the President—not the Department of Interior—raises further questions over who is crafting these disastrous energy policies."
SenDanSullivan,"Just two days ago—President Biden claimed again that he is doing ‘everything in his power’ to bring down historically-high energy prices. The administration’s announcement that it will cancel these lease sales is just more proof that he is not.

https://t.co/uMQDc8c5hM"
SenDanSullivan,"Alaska has been singularly targeted with 23 executive orders &amp; actions from the Biden administration aimed at shutting down economic opportunities and access to our lands. 

The war on Alaska’s working families has to stop. https://t.co/V4Uv7Gxx4E"
